Seat No,CHE 1,CHE 2,CHE P,ZOO 1,ZOO 2,ZOO P,FC 2,PHY1,PHY2,PHYP
13001,4,4,10,4,8,10,7,0,6,10
13002,4,5,10,9,8,10,8,6,6,10
13004,4,5,10,8,9,10,8,6,5,9
13005,0,0,0,0,0,0,0,0,0,0
13006,0,0,8,4,6,9,6,6,6,10
13007,0,4,10,5,4,10,6,6,6,8
13008,8,8,9,10,10,10,10,9,10,10
13009,4,6,10,9,9,10,10,7,10,10
13010,0,4,10,8,9,10,9,6,7,10
13011,4,0,10,4,6,9,8,0,6,9
13012,0,0,4,8,9,10,6,5,0,9
13013,0,0,8,0,0,4,8,0,0,6
13014,7,4,9,9,9,10,9,8,7,10
13015,0,0,9,4,6,8,6,6,6,10
13016,0,0,0,0,0,0,0,0,0,0
13017,0,0,9,4,4,7,8,0,0,0
13018,5,7,4,7,10,10,10,6,7,10
13019,0,0,0,0,0,0,0,0,0,0
13020,0,0,6,4,7,0,5,0,6,7
13021,4,4,9,4,6,4,8,5,6,8
13022,8,7,9,8,9,10,9,8,10,10
13023,0,4,8,7,9,10,9,5,9,9
13024,0,0,10,0,0,0,0,0,0,9
13025,0,0,0,0,0,0,0,0,0,0
13026,6,4,10,9,9,10,10,9,9,10
13027,9,5,8,10,10,10,9,8,6,10
13028,4,4,8,4,8,4,7,7,6,10
13029,6,5,10,7,8,10,8,8,7,10
13030,4,0,10,7,8,9,8,0,7,10
13031,8,10,8,9,10,10,9,10,10,10
13032,0,0,8,7,8,6,10,0,5,10
13033,4,0,8,4,8,9,6,6,5,10
13034,0,0,0,0,0,0,0,0,0,0
13036,7,6,10,5,8,10,8,8,8,10
13037,0,0,0,0,0,0,0,0,0,0
13038,5,7,8,8,8,10,8,8,5,10
13039,8,9,9,9,9,10,10,10,8,10
13040,0,0,6,6,6,10,6,6,5,8
13041,4,5,9,6,7,10,8,7,7,10
13042,4,6,8,6,8,10,8,7,5,10
13043,4,6,7,8,6,8,10,8,8,10
13044,0,0,0,0,0,0,0,0,0,0
13045,0,0,10,0,0,5,5,0,0,4
13046,0,0,9,4,0,5,8,0,8,8
13047,0,0,8,0,4,7,8,0,0,10
13048,4,4,6,6,7,9,8,8,0,10
13049,4,4,6,4,0,5,6,0,6,6
13050,0,0,0,0,0,0,0,0,0,5
13051,0,0,0,0,0,0,0,0,0,0
13052,4,0,8,0,4,9,5,0,6,10
13053,0,0,0,0,0,0,0,0,0,0
13054,0,0,0,0,0,0,0,0,0,0
13055,8,4,10,7,7,10,10,8,8,10
13056,7,7,10,6,4,10,8,8,8,9
