Seat No,DSA,PYTH,LINUX,OST,DMT,DST,SS,PR101,PR102,PR103,PR104,PR105,PR106,Total,CGPA
20001,10,14,12,10,10,12,12,8,10,10,10,8,9,135,6.75
20002,0,0,8,8,0,14,0,0,0,0,0,0,0,30,0.00
20003,18,20,18,16,20,18,14,10,10,10,10,9,10,183,9.15
20004,16,16,10,14,0,0,0,0,0,0,0,0,0,56,0.00
20005,12,0,12,12,14,16,10,9,8,9,10,6,9,127,0.00
20006,0,0,0,10,0,0,14,8,5,0,9,4,9,59,0.00
20007,14,10,12,12,16,12,16,10,8,8,10,10,8,146,7.30
20008,8,10,0,12,0,12,14,9,5,5,10,4,0,89,0.00
20009,16,20,16,18,18,18,16,10,8,10,10,10,10,180,9.00
20010,8,0,0,14,0,0,12,4,0,8,6,0,4,56,0.00
20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20014,12,0,8,12,0,8,10,10,8,4,9,8,7,96,0.00
20015,0,0,0,8,0,8,12,10,0,5,8,4,7,62,0.00
20016,0,0,0,0,0,0,8,6,0,0,4,0,0,18,0.00
20017,0,0,0,0,0,0,10,10,0,0,10,5,4,39,0.00
20018,8,12,16,10,10,12,10,10,9,10,10,8,8,133,6.65
20019,14,12,16,16,10,10,16,10,10,10,10,9,8,151,7.55
20020,10,0,10,8,0,0,12,7,4,9,10,4,8,82,0.00
20021,8,0,10,8,0,10,12,10,4,5,9,4,4,84,0.00
20022,0,0,0,0,0,0,8,6,6,0,10,0,4,34,0.00
20023,8,12,10,12,0,0,14,6,10,8,8,4,4,96,0.00
20024,8,0,14,8,0,8,10,10,0,0,10,4,7,79,0.00
20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20026,0,0,0,0,0,0,10,10,0,0,10,4,4,38,0.00
20027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20028,10,0,12,10,0,0,12,10,4,4,9,4,8,83,0.00
20029,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0.00
20030,18,20,18,18,16,18,16,10,10,8,10,9,10,181,9.05
20031,14,18,18,12,14,0,16,10,10,10,10,8,10,150,0.00
20032,8,0,0,8,0,0,10,10,5,0,4,0,0,45,0.00
20033,10,8,12,16,0,0,14,10,8,6,10,7,4,105,0.00
20034,18,20,20,18,20,20,16,10,10,10,10,10,10,192,9.60
20035,0,16,16,10,14,12,10,10,10,10,8,6,9,131,0.00
20036,10,0,14,10,0,10,14,10,9,8,8,10,7,110,0.00
20037,10,0,12,10,0,10,14,9,4,8,10,4,0,91,0.00
20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20039,14,12,10,8,0,8,12,10,8,4,10,10,9,115,0.00
20040,8,0,0,0,0,0,10,10,4,5,10,4,4,55,0.00
20041,0,0,0,0,0,0,10,10,8,4,10,0,7,49,0.00
20042,10,0,10,16,0,8,16,10,4,6,10,4,6,100,0.00
20043,10,0,12,12,10,0,10,10,9,10,10,0,7,100,0.00
20044,14,16,16,16,12,16,16,10,8,9,8,8,10,159,7.95
20045,10,10,10,0,0,8,10,6,8,4,8,4,8,86,0.00
20046,18,20,16,12,18,20,16,10,10,9,10,10,10,179,9.00
20047,10,10,8,8,10,0,16,10,8,9,10,4,6,109,0.00
20048,10,0,0,0,0,0,12,10,4,9,10,7,9,71,0.00
20049,8,0,0,0,0,0,8,10,0,9,6,0,0,41,0.00
20050,0,0,0,0,0,0,0,10,0,0,8,4,8,30,0.00
20051,8,0,0,0,0,0,10,7,8,9,10,5,4,61,0.00
20052,10,8,14,12,8,0,14,10,0,7,10,6,7,106,0.00
20053,8,0,0,8,8,8,12,9,4,6,10,7,9,89,0.00
20054,16,20,20,18,18,20,16,10,6,10,10,10,10,184,9.20
20055,0,0,8,8,0,0,12,10,4,7,10,6,0,65,0.00
20056,0,0,8,8,0,0,14,10,6,9,9,4,10,78,0.00
20057,10,8,8,8,10,0,10,10,0,7,9,7,6,93,0.00
20058,12,12,16,10,16,10,16,10,10,10,10,10,10,152,7.60
20059,14,10,16,8,12,18,14,10,8,10,10,10,10,150,7.50
20060,0,0,0,0,0,0,12,0,0,6,10,0,4,32,0.00
20061,14,14,16,10,16,18,14,10,10,8,10,10,10,160,8.00
20062,0,0,10,8,0,0,14,0,0,4,9,0,4,49,0.00
20063,0,0,0,0,0,0,10,4,0,0,4,0,5,23,0.00
