Seat No,DSA,PYTH,LINUX,OST,DMT,DST,SS,PR101,PR102,PR103,PR104,PR105,PR106
20001,5,7,6,5,5,6,6,8,10,10,10,8,9
20002,0,0,4,4,0,7,0,0,0,0,0,0,0
20003,9,10,9,8,10,9,7,10,10,10,10,9,10
20004,8,8,5,7,0,0,0,0,0,0,0,0,0
20005,6,0,6,6,7,8,5,9,8,9,10,6,9
20006,0,0,0,5,0,0,7,8,5,0,9,4,9
20007,7,5,6,6,8,6,8,10,8,8,10,10,8
20008,4,5,0,6,0,6,7,9,5,5,10,4,0
20009,8,10,8,9,9,9,8,10,8,10,10,10,10
20010,4,0,0,7,0,0,6,4,0,8,6,0,4
20011,0,0,0,0,0,0,0,0,0,0,0,0,0
20012,0,0,0,0,0,0,0,0,0,0,0,0,0
20013,0,0,0,0,0,0,0,0,0,0,0,0,0
20014,6,0,4,6,0,4,5,10,8,4,9,8,7
20015,0,0,0,4,0,4,6,10,0,5,8,4,7
20016,0,0,0,0,0,0,4,6,0,0,4,0,0
20017,0,0,0,0,0,0,5,10,0,0,10,5,4
20018,4,6,8,5,5,6,5,10,9,10,10,8,8
20019,7,6,8,8,5,5,8,10,10,10,10,9,8
20020,5,0,5,4,0,0,6,7,4,9,10,4,8
20021,4,0,5,4,0,5,6,10,4,5,9,4,4
20022,0,0,0,0,0,0,4,6,6,0,10,0,4
20023,4,6,5,6,0,0,7,6,10,8,8,4,4
20024,4,0,7,4,0,4,5,10,0,0,10,4,7
20025,0,0,0,0,0,0,0,0,0,0,0,0,0
20026,0,0,0,0,0,0,5,10,0,0,10,4,4
20027,0,0,0,0,0,0,0,0,0,0,0,0,0
20028,5,0,6,5,0,0,6,10,4,4,9,4,8
20029,0,0,0,0,0,0,0,0,0,0,4,0,0
20030,9,10,9,9,8,9,8,10,10,8,10,9,10
20031,7,9,9,6,7,0,8,10,10,10,10,8,10
20032,4,0,0,4,0,0,5,10,5,0,4,0,0
20033,5,4,6,8,0,0,7,10,8,6,10,7,4
20034,9,10,10,9,10,10,8,10,10,10,10,10,10
20035,0,8,8,5,7,6,5,10,10,10,8,6,9
20036,5,0,7,5,0,5,7,10,9,8,8,10,7
20037,5,0,6,5,0,5,7,9,4,8,10,4,0
20038,0,0,0,0,0,0,0,0,0,0,0,0,0
20039,7,6,5,4,0,4,6,10,8,4,10,10,9
20040,4,0,0,0,0,0,5,10,4,5,10,4,4
20041,0,0,0,0,0,0,5,10,8,4,10,0,7
20042,5,0,5,8,0,4,8,10,4,6,10,4,6
20043,5,0,6,6,5,0,5,10,9,10,10,0,7
20044,7,8,8,8,6,8,8,10,8,9,8,8,10
20045,5,5,5,0,0,4,5,6,8,4,8,4,8
20046,9,10,8,6,9,10,8,10,10,9,10,10,10
20047,5,5,4,4,5,0,8,10,8,9,10,4,6
20048,5,0,0,0,0,0,6,10,4,9,10,7,9
20049,4,0,0,0,0,0,4,10,0,9,6,0,0
20050,0,0,0,0,0,0,0,10,0,0,8,4,8
20051,4,0,0,0,0,0,5,7,8,9,10,5,4
20052,5,4,7,6,4,0,7,10,0,7,10,6,7
20053,4,0,0,4,4,4,6,9,4,6,10,7,9
20054,8,10,10,9,9,10,8,10,6,10,10,10,10
20055,0,0,4,4,0,0,6,10,4,7,10,6,0
20056,0,0,4,4,0,0,7,10,6,9,9,4,10
20057,5,4,4,4,5,0,5,10,0,7,9,7,6
20058,6,6,8,5,8,5,8,10,10,10,10,10,10
20059,7,5,8,4,6,9,7,10,8,10,10,10,10
20060,0,0,0,0,0,0,6,0,0,6,10,0,4
20061,7,7,8,5,8,9,7,10,10,8,10,10,10
20062,0,0,5,4,0,0,7,0,0,4,9,0,4
20063,0,0,0,0,0,0,5,4,0,0,4,0,5
