Seat No,DAA,APP,C++,DBSY,CALC,STAT,E-COM,PR201,PR202,PR203,PR204,PR205,PR206,Total,CGPA
20001,16,16,14,14,8,8,12,10,10,9,10,4,8,139,6.95
20002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20003,20,20,20,18,16,20,20,10,10,10,10,8,10,192,9.60
20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20005,14,16,14,16,16,20,16,8,10,10,10,6,9,165,8.25
20006,10,10,0,10,0,10,16,0,4,6,6,0,5,77,0.00
20007,12,14,14,14,12,16,16,10,4,9,10,8,8,147,7.35
20008,10,10,12,10,8,14,16,4,6,6,6,4,8,114,5.70
20009,16,20,18,18,20,20,16,10,10,10,10,9,10,187,9.35
20010,0,0,0,8,0,0,12,0,0,9,7,0,0,36,0.00
20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20014,0,0,8,8,0,8,12,0,0,0,7,0,0,43,0.00
20015,0,0,0,8,0,10,8,6,4,0,8,0,4,48,0.00
20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20018,10,16,12,10,8,8,14,10,10,10,10,4,10,132,6.60
20019,12,20,18,16,14,18,16,9,8,9,10,10,6,166,8.30
20020,8,8,12,10,0,8,16,9,4,8,9,4,4,100,0.00
20021,8,8,10,10,8,10,14,4,8,8,8,4,5,105,5.25
20022,0,0,0,0,0,0,8,0,0,6,8,0,0,22,0.00
20023,8,14,8,14,0,8,14,0,7,4,9,4,0,90,0.00
20024,12,18,14,10,8,12,16,10,8,4,8,4,4,128,6.40
20025,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.00
20026,0,0,8,8,0,0,10,6,6,6,9,0,8,61,0.00
20027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20029,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0.00
20030,16,20,20,16,20,20,20,10,8,10,10,10,10,190,9.50
20031,16,16,14,14,10,10,10,10,10,10,10,4,10,144,7.20
20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
20033,8,14,12,12,8,10,16,9,0,0,8,4,7,108,0.00
20034,20,20,20,18,20,20,20,10,10,10,10,10,10,198,9.90
20035,14,12,12,10,0,10,16,10,10,9,9,0,9,121,0.00
20036,8,0,10,16,16,16,12,6,6,9,10,6,5,120,0.00
20037,8,12,8,12,0,10,14,4,0,9,5,4,10,96,0.00
20038,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0.00
20039,8,12,12,14,12,16,16,10,8,9,0,5,10,132,0.00
20040,8,8,8,14,0,10,14,8,0,4,10,0,6,90,0.00
20041,8,8,8,8,8,10,12,4,7,6,10,4,8,101,5.05
20042,8,0,14,14,8,12,14,4,7,9,10,4,9,113,0.00
20043,8,0,8,8,0,14,12,4,0,10,9,5,9,87,0.00
20044,8,16,16,14,18,16,20,10,8,10,10,7,8,161,8.05
20045,8,10,14,10,8,10,16,8,4,7,10,4,0,109,0.00
20046,14,20,20,18,20,20,18,9,10,10,10,10,10,189,9.45
20047,8,8,12,10,0,10,12,10,8,9,8,6,8,109,0.00
20048,10,8,8,12,10,14,8,9,6,8,8,8,9,118,5.90
20049,0,0,0,0,0,8,8,0,0,0,0,0,0,16,0.00
20050,0,0,0,8,8,10,8,10,6,7,6,4,4,71,0.00
20051,0,0,10,10,0,10,14,0,7,4,10,4,4,73,0.00
20052,8,10,10,8,8,10,14,8,6,6,8,4,7,107,5.35
20053,8,8,8,8,8,12,10,6,6,4,6,4,10,98,4.90
20054,20,20,20,18,20,20,20,10,9,10,10,9,10,196,9.80
20055,8,8,0,0,0,8,12,9,5,5,8,0,4,67,0.00
20056,8,8,0,8,0,10,16,4,4,4,8,0,4,74,0.00
20057,8,0,8,8,8,14,10,4,4,6,10,5,0,85,0.00
20058,10,18,16,16,10,20,16,7,8,4,10,7,8,150,7.50
20059,12,20,16,16,20,20,18,4,9,10,10,10,10,175,8.75
20060,0,0,0,0,0,0,8,0,0,4,6,4,4,26,0.00
20061,8,16,16,14,18,20,18,10,10,10,10,10,10,170,8.50
20062,0,0,0,8,0,0,8,0,0,0,0,0,0,16,0.00
20063,0,0,0,0,0,0,8,0,0,0,7,0,0,15,0.00
