Seat No,OBJEC,FUNDA,WEB A,NUMER,GIT,OB PR,FUNPR,WD PR,NM PR,SQ PR,Total,CGPA
19001,0,0,0,0,0,0,0,0,0,0,0,0.00
19002,0,8,14,8,8,8,8,12,12,8,86,0.00
19003,0,0,10,0,0,8,12,12,12,12,66,0.00
19004,0,0,0,0,0,0,0,0,0,0,0,0.00
19005,12,8,10,16,10,20,20,14,18,20,148,7.40
19006,20,18,18,20,16,20,20,20,20,20,192,9.60
19007,0,0,0,0,0,0,0,0,0,0,0,0.00
19008,16,8,14,16,8,20,10,8,12,12,124,6.20
19009,16,14,16,14,10,16,8,20,20,16,150,7.50
19010,16,20,20,18,12,20,18,20,18,20,182,9.10
19011,8,8,8,8,0,12,8,12,8,8,80,0.00
19012,12,8,12,8,0,0,14,16,16,8,94,0.00
19013,16,12,16,20,8,20,18,20,20,20,170,8.50
19014,8,8,10,8,10,8,14,16,16,12,110,5.50
19015,16,10,16,16,8,16,14,20,18,18,152,7.60
19016,0,0,0,0,0,0,0,0,0,0,0,0.00
19017,20,16,20,20,20,20,20,20,20,20,196,9.80
19018,0,8,10,8,8,8,14,12,16,16,100,0.00
19019,8,0,8,8,0,8,14,16,8,14,84,0.00
19020,12,8,16,16,10,14,8,16,20,14,134,6.70
19021,16,10,14,10,8,14,8,8,12,12,112,5.60
19022,12,10,8,8,0,16,16,12,18,8,108,0.00
19023,0,0,0,0,0,0,12,0,8,8,28,0.00
19024,16,8,16,20,8,18,8,18,20,20,152,7.60
19025,10,8,0,8,12,0,8,12,16,16,90,0.00
19026,8,10,8,8,8,8,8,12,8,8,86,4.30
19027,10,8,16,8,8,10,0,8,8,18,94,0.00
19028,14,16,12,14,12,8,12,20,18,12,138,6.90
19029,0,0,0,0,0,0,0,0,0,0,0,0.00
19030,12,0,14,18,8,14,12,20,20,12,130,0.00
19031,16,16,18,8,10,8,16,12,8,16,128,6.40
19032,20,18,20,20,18,20,20,20,20,20,196,9.80
19033,0,0,0,0,0,8,12,12,8,0,40,0.00
19034,8,0,8,8,0,8,20,12,8,12,84,0.00
19035,14,8,16,14,8,20,20,20,20,16,156,7.80
19036,10,0,8,0,0,8,8,18,20,8,80,0.00
19037,0,0,0,0,0,0,0,0,0,0,0,0.00
19038,18,16,16,14,16,8,12,20,18,20,158,7.90
19039,20,18,20,20,20,20,20,20,20,20,198,9.90
19040,0,0,12,0,0,12,0,8,8,8,48,0.00
19041,0,0,8,0,0,8,10,12,8,0,46,0.00
19042,0,0,0,0,0,0,0,0,0,0,0,0.00
19043,0,0,14,8,10,16,8,10,12,8,86,0.00
19044,10,0,16,16,10,20,12,18,16,16,134,0.00
