Seat No,OBJEC,FUNDA,WEB A,NUMER,GIT,OB PR,FUNPR,WD PR,NM PR,SQ PR,Total
19001,0,0,0,0,0,0,0,0,0,0,0
19002,34,40,57,43,41,20,20,27,25,20,327
19003,20,17,45,21,24,20,25,26,25,26,249
19004,0,0,0,0,0,0,0,0,0,0,0
19005,53,43,48,69,48,47,45,29,35,49,466
19006,86,70,73,91,63,48,48,49,48,49,625
19007,0,0,0,0,0,0,0,0,0,0,0
19008,62,41,55,64,41,38,23,22,25,26,397
19009,65,57,67,59,48,34,21,44,46,31,472
19010,68,77,77,72,54,48,37,46,35,49,563
19011,40,40,40,40,23,26,21,27,20,20,297
19012,50,40,50,42,28,13,28,32,30,20,333
19013,65,54,62,81,44,43,36,47,48,49,529
19014,43,42,47,42,47,20,28,30,30,26,355
19015,63,48,66,68,43,30,29,38,35,36,456
19016,0,0,0,0,0,0,0,0,0,0,0
19017,91,67,80,89,88,49,48,49,48,49,658
19018,29,40,47,41,44,20,28,25,30,34,338
19019,40,21,40,40,24,20,28,32,20,28,293
19020,53,40,62,69,45,29,21,34,48,29,430
19021,61,45,59,49,44,29,20,20,25,26,378
19022,53,46,42,40,33,32,30,27,36,20,359
19023,28,14,24,24,18,8,25,13,20,20,194
19024,63,43,67,80,43,35,20,35,46,49,481
19025,48,43,32,44,53,15,21,27,30,30,343
19026,43,48,42,44,40,15,21,25,20,20,318
19027,49,43,62,40,42,24,10,21,20,36,347
19028,56,60,51,58,50,22,25,47,35,26,430
19029,0,0,16,9,4,0,0,0,0,0,29
19030,54,37,59,79,42,28,26,47,43,26,441
19031,61,60,71,42,45,20,30,26,20,31,406
19032,96,74,90,92,73,48,45,49,48,49,664
19033,18,9,22,24,14,20,26,25,20,14,192
19034,42,20,43,40,32,20,46,26,20,25,314
19035,55,43,67,55,43,40,37,45,41,31,457
19036,47,25,43,29,31,20,21,39,40,20,315
19037,18,3,21,5,4,0,0,0,0,0,51
19038,72,66,65,59,67,20,26,38,35,41,489
19039,86,76,83,80,91,38,46,45,48,48,641
19040,29,32,50,28,22,26,9,21,22,20,259
19041,21,17,43,22,22,20,23,26,20,12,226
19042,0,0,0,0,0,0,0,0,0,0,0
19043,31,36,58,41,46,30,20,24,25,20,331
19044,48,36,60,64,48,48,25,38,32,31,430
19045,10,10,12,12,10,0,0,0,0,0,54
19046,84,51,82,60,73,48,47,42,40,48,575
19047,86,64,74,85,67,30,27,47,47,47,574
19048,62,50,51,56,51,34,20,40,38,49,451
19049,43,40,51,54,52,27,43,24,25,48,407
19050,69,52,78,56,76,45,45,35,30,40,526
19051,4,2,10,0,2,0,0,0,0,0,18
19052,0,0,0,0,0,0,0,0,0,0,0
19053,0,0,0,0,0,0,0,0,0,0,0
19054,40,43,43,50,30,20,21,20,30,22,319
19055,0,0,0,0,0,0,0,0,0,0,0
19056,56,40,52,56,43,43,36,43,31,39,439
19057,0,0,0,0,0,0,0,0,0,0,0
19058,45,64,76,60,56,37,36,41,40,47,502
19059,62,47,65,56,44,20,44,30,25,25,418
19060,49,44,53,34,44,22,43,27,35,15,366
19061,50,42,53,56,40,26,27,35,25,36,390
19062,25,26,31,24,44,20,40,21,25,12,268
19063,19,24,20,25,44,23,21,21,25,20,242
19064,0,0,0,0,0,0,0,0,0,0,0
19065,40,32,28,40,40,28,12,27,20,33,300
19066,55,50,45,55,51,32,21,37,42,26,414
19067,42,20,28,53,40,25,25,42,25,25,325
19068,41,35,47,40,43,25,10,24,25,20,310
19069,76,61,47,72,66,20,45,36,48,47,518
19070,17,7,24,30,28,5,0,0,2,0,113
19071,48,44,50,57,49,22,26,39,38,31,404
19072,50,50,51,67,43,20,26,35,47,31,420
19073,11,12,23,47,15,20,10,22,35,15,210
19074,79,69,70,72,70,33,47,49,47,47,583
19075,42,34,42,43,41,15,25,5,25,15,287
19076,45,29,47,53,42,35,20,36,23,22,352
19077,49,47,55,40,46,20,21,26,25,20,349
19078,0,0,0,0,0,0,0,0,0,0,0
19079,21,16,41,24,41,6,25,27,25,10,236
19080,20,13,30,15,19,20,35,25,5,20,202
19081,73,44,77,67,70,44,36,48,46,42,547
19082,42,49,56,27,40,20,20,35,20,15,324
19083,58,47,70,55,44,43,30,43,23,48,461
19084,89,83,95,78,95,48,46,49,40,48,671
19085,43,40,27,52,42,29,37,37,25,40,372
19086,46,30,56,43,27,28,31,26,30,28,345
19087,76,55,78,71,42,48,30,42,46,33,521
19088,66,51,63,56,53,33,37,47,42,47,495
19089,91,81,90,80,56,48,45,47,39,48,625
19090,0,0,0,0,0,0,0,0,0,0,0
19091,53,29,61,57,40,47,30,28,45,26,416
19092,91,82,91,91,81,49,47,48,48,45,673
19093,82,89,92,82,85,45,48,49,48,49,669
19094,22,21,18,16,10,0,0,0,0,0,87
19095,65,48,61,62,49,22,25,37,25,20,414
19096,26,28,57,41,30,20,21,27,25,20,295
19097,0,0,0,0,0,0,0,0,0,0,0
19098,40,28,42,42,47,20,37,27,35,25,343
19099,67,76,94,77,90,47,45,49,48,49,642
19100,42,30,51,40,49,6,10,26,20,30,304
19101,44,41,45,51,36,22,25,35,20,20,339
19102,73,63,69,75,70,47,45,48,46,37,573
19103,0,0,0,0,0,0,0,0,0,0,0
19104,26,10,14,10,10,0,0,0,0,0,70
19105,44,43,47,48,43,22,25,28,25,20,345
19106,29,43,45,43,43,23,30,27,25,26,334
19107,47,43,43,40,24,27,20,13,20,14,291
19108,40,29,42,40,40,33,35,22,20,20,321
19109,73,53,84,48,74,48,45,48,46,46,565
19110,53,40,73,45,62,20,45,47,25,36,446
19111,0,0,0,0,0,0,0,0,0,0,0
19112,65,49,74,51,55,30,20,31,28,39,442
19113,57,40,51,48,44,33,25,20,35,22,375
19114,77,40,81,63,49,48,46,49,41,49,543
19115,72,73,89,60,84,30,45,47,47,49,596
19116,29,23,42,7,28,0,10,13,0,33,185
19117,77,57,57,67,46,44,45,28,20,49,490
19118,76,62,75,65,47,44,46,48,30,43,536
19119,17,12,18,13,17,8,21,23,20,11,160
19120,54,49,49,41,43,33,30,37,25,47,408
19121,77,71,76,62,65,48,21,49,35,37,541
19122,40,23,42,7,18,0,0,0,0,0,130
19123,60,59,57,45,48,33,30,32,35,36,435
19124,93,84,93,87,81,48,48,49,47,49,679
19125,57,46,66,51,56,42,26,37,20,26,427
19126,45,49,50,51,44,32,26,32,23,34,386
19127,61,41,59,56,51,28,20,31,20,21,388
19128,0,0,0,0,0,0,0,0,0,0,0
19129,45,40,44,45,44,28,41,34,35,32,388
19130,89,77,82,75,75,48,45,46,45,49,631
19131,73,63,72,59,47,34,47,37,39,24,495
19132,64,41,56,51,41,46,48,39,27,48,461
19133,51,44,47,53,52,26,25,26,38,20,382
19134,45,30,45,74,40,43,21,13,40,22,373
19135,50,40,52,66,40,45,20,26,20,21,380
19136,45,10,34,47,31,42,42,27,45,22,345
19137,44,25,31,46,40,27,33,14,20,31,311
19138,40,28,48,40,34,21,25,25,10,20,291
