Seat No,FC,BOT1,BOT2,BOT3,BOT P,CHE1,CHE2,CHE3,CHE P
16001,5,4,6,5,10,4,4,5,10
16002,5,0,0,4,8,0,0,0,8
16003,6,4,4,4,7,6,6,5,10
16004,0,4,4,0,9,0,0,0,9
16005,5,4,4,0,9,0,0,4,10
16006,6,4,4,0,6,0,4,0,8
16007,7,6,0,4,8,4,4,4,9
16008,8,10,8,8,10,8,8,8,10
16009,6,5,4,4,10,4,4,4,10
16010,6,5,4,4,7,0,4,0,7
16011,0,6,4,5,8,4,5,4,9
16012,7,6,4,4,8,4,4,4,10
16013,5,7,5,4,4,0,4,4,9
16014,8,7,9,6,8,4,4,4,9
16015,0,0,0,4,7,0,4,4,9
16016,8,8,8,4,9,8,8,8,10
16017,7,4,6,6,8,4,7,7,10
16018,0,0,0,4,7,0,4,4,10
16019,8,10,8,9,10,10,10,10,10
16020,8,9,5,6,10,8,7,9,10
16021,10,10,10,7,10,10,8,10,10
16022,5,4,5,4,9,5,4,0,9
16023,0,8,6,5,9,7,7,0,10
16024,0,0,0,4,8,4,0,0,10
16025,6,0,4,4,9,0,0,4,8
16026,0,0,0,0,0,0,0,0,0
16027,6,5,4,4,10,5,5,4,10
16028,9,4,4,4,10,4,4,4,10
16029,0,0,0,0,0,0,0,0,0
16030,8,4,4,4,10,4,4,4,10
16031,0,0,0,0,0,0,0,0,0
16032,0,0,0,0,0,0,0,0,0
16033,5,0,0,4,7,4,4,4,4
16034,0,4,4,0,9,0,0,0,10
16035,0,0,0,0,7,0,0,0,7
16036,4,4,6,4,10,4,0,4,8
16037,8,9,6,9,10,7,10,8,10
16038,0,0,0,0,0,0,0,0,0
16039,5,4,5,4,10,4,4,4,10
16040,9,7,4,4,10,4,4,4,8
16041,5,4,6,4,9,7,7,6,8
16042,0,0,0,0,0,0,0,0,4
16043,0,0,0,0,0,0,0,0,0
16044,6,6,5,7,10,4,8,6,10
16045,9,6,0,4,10,7,4,6,9
16046,7,4,4,7,9,5,8,4,10
16047,0,4,0,0,10,0,0,0,8
16048,8,4,6,0,9,0,0,4,9
16049,8,7,6,5,10,0,7,4,9
16050,8,7,7,6,10,4,5,5,10
16051,5,4,9,6,10,4,5,0,10
16052,5,4,0,4,9,4,4,0,8
16053,7,4,7,6,10,6,6,5,10
16054,7,7,8,8,10,9,10,8,10
16055,6,0,0,4,9,4,0,0,9
16056,0,0,0,0,0,0,0,0,0
16057,5,8,5,4,9,5,5,8,10
16058,0,6,7,6,9,6,5,4,10
16059,5,4,5,4,9,4,6,4,10
16060,5,8,7,5,10,9,6,7,10
16061,6,5,8,4,10,7,7,8,10
16062,6,0,0,4,9,4,4,9,10
16063,8,0,4,4,7,7,6,7,10
16064,0,0,0,0,0,0,0,0,0
16065,5,4,6,6,10,10,8,10,10
16066,6,0,4,0,10,4,4,7,10
16067,0,0,0,0,10,0,0,4,7
16068,5,0,0,0,9,0,0,4,10
16069,9,10,10,8,10,7,10,10,10
16070,0,0,0,0,8,4,6,7,10
16071,8,7,4,5,10,8,6,9,10
16072,6,0,4,0,10,4,4,6,10
16073,6,0,0,0,10,0,4,4,10
16074,6,0,0,4,9,4,4,5,9
16075,6,6,4,6,10,6,5,8,10
16076,7,10,9,10,10,10,10,10,10
16077,6,4,4,5,10,7,7,10,9
16078,5,4,0,4,10,6,4,8,9
16079,0,0,7,5,9,5,5,6,10
16080,0,0,4,0,6,0,0,4,8
16081,0,0,0,4,9,0,0,4,8
16082,6,0,0,4,8,7,4,5,9
16083,6,4,4,4,10,4,4,7,10
16084,5,0,0,0,6,4,4,4,9
16085,0,0,0,0,9,4,4,4,8
16086,6,0,0,4,10,6,8,6,10
16087,0,0,4,4,8,9,6,10,10
16088,5,0,0,0,8,0,0,4,8
16089,0,0,0,0,0,0,0,0,0
16090,8,9,9,8,10,9,10,9,10
16091,7,4,6,8,9,9,7,10,10
16092,8,9,9,10,10,10,10,10,10
16093,0,0,0,0,0,0,0,0,0
16094,5,4,0,0,8,5,4,5,9
16095,0,0,0,0,6,4,0,4,8
16096,6,4,4,4,10,6,4,9,9
16097,6,4,5,5,8,6,8,6,10
16098,8,4,5,4,10,8,6,8,10
16099,6,0,0,4,8,4,4,5,10
16100,5,4,4,4,9,4,4,8,10
16101,8,0,0,0,6,4,4,5,8
16102,7,0,0,4,10,6,0,8,10
16103,6,6,6,6,10,6,6,6,10
16104,6,5,5,6,10,9,5,8,10
16105,6,8,9,8,10,8,8,10,10
16106,7,0,4,4,10,4,4,4,9
16107,6,7,5,5,10,5,4,8,10
16108,7,6,5,7,10,10,5,10,10
16109,7,4,6,4,10,4,6,8,10
16110,7,5,8,4,9,8,7,10,10
16111,10,8,8,9,10,10,10,10,10
16112,10,9,9,6,10,9,10,10,10
16113,6,4,7,4,10,8,5,10,10
