Seat No,TOC,TOCPR,CN,CNPR,SE,SEPR,IOT,IOTPR,ANDAD,ANDPR,ADVAD,ADVPR,RM,Total
25001,47,47,46,46,45,40,47,46,66,47,52,49,47,625
25002,56,36,54,45,44,36,56,45,74,38,63,33,54,634
25003,58,48,66,44,48,40,53,46,72,42,62,49,54,682
25004,22,43,44,46,25,34,47,30,47,42,30,30,46,486
25005,49,45,55,45,50,42,59,46,77,46,55,30,69,668
25006,54,40,52,47,46,30,72,45,77,35,68,31,59,656
25007,25,20,25,40,31,39,44,45,43,33,27,22,44,438
25008,56,33,51,46,53,41,64,44,74,46,71,25,57,661
25009,64,48,59,48,64,44,67,48,75,43,79,49,75,763
25010,40,40,37,41,41,39,47,36,50,43,47,35,47,543
25011,65,49,57,46,70,45,70,48,78,45,90,36,66,765
25012,51,32,57,44,65,42,81,40,58,33,63,34,60,660
25013,62,49,50,46,52,44,72,48,67,49,56,36,51,682
25014,45,7,47,49,47,41,51,45,50,35,42,31,46,536
25015,47,40,58,44,51,41,67,46,63,46,66,37,63,669
25016,55,45,53,37,51,45,62,48,59,40,77,24,60,656
25017,61,43,66,46,55,44,74,48,74,48,67,38,56,720
25018,39,35,53,38,43,35,43,44,46,43,51,32,44,546
25019,36,40,46,45,54,44,64,42,60,20,58,35,59,603
25020,51,25,48,40,41,37,49,22,44,22,55,14,42,490
25021,54,28,52,44,50,36,53,44,61,38,54,24,44,582
25022,78,35,77,46,71,41,77,47,79,42,84,49,65,791
25023,49,35,47,37,42,35,37,42,47,28,26,32,40,497
25024,77,40,56,42,56,44,58,46,54,30,59,33,49,644
25025,52,47,50,44,64,44,58,37,64,47,64,32,57,660
25026,69,45,59,47,52,44,60,47,58,47,71,49,52,700
25027,61,42,47,45,58,35,61,43,56,48,72,30,51,649
25028,62,30,58,43,62,41,70,40,66,34,75,25,58,664
25029,55,46,21,46,47,41,34,45,46,46,48,29,44,548
25030,42,25,20,39,46,30,18,28,32,28,24,33,46,411
25031,72,49,60,47,66,46,67,48,73,48,83,49,60,768
25032,45,38,46,46,48,40,47,44,48,42,29,5,52,530
25033,58,38,53,45,51,31,57,48,66,48,61,29,48,633
25034,62,48,60,47,56,44,58,45,59,20,72,36,61,668
25035,49,38,52,45,51,41,55,38,46,46,64,26,61,612
25036,43,20,40,46,49,28,40,30,51,46,46,33,46,518
25037,57,47,47,38,50,44,51,30,59,42,61,20,56,602
25038,43,42,40,30,43,37,46,28,44,33,45,34,44,509
25039,55,44,58,47,60,39,62,40,52,46,69,49,50,671
25040,45,12,47,45,54,46,48,25,44,36,48,26,51,527
25041,45,42,47,45,43,30,46,24,56,46,46,20,46,536
25042,45,38,23,45,47,41,41,30,47,47,33,22,43,502
25043,42,44,54,45,46,43,51,40,63,47,53,49,48,625
25044,22,20,35,34,49,33,53,20,50,20,34,9,45,424
25045,43,46,49,47,53,39,53,22,62,46,44,36,48,588
25046,64,48,42,48,57,46,71,48,76,48,56,40,67,711
25047,53,48,63,48,58,45,65,48,70,48,64,49,57,716
25048,56,42,46,47,58,40,67,48,74,45,64,35,71,693
25049,48,40,47,47,46,36,57,24,62,42,56,30,50,585
25050,33,25,37,46,49,43,45,36,40,46,43,31,45,519
25051,55,43,53,45,55,39,54,38,76,34,72,49,63,676
25052,48,27,50,39,48,40,64,22,70,46,43,20,46,563
25053,51,28,56,30,46,46,55,28,60,30,61,30,57,578
25054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25055,61,44,61,48,64,46,77,47,84,47,65,35,64,743
