Seat No,JAVA,CJP,IES,IESP,CST,CSTP,SE,SEP,CGA,CGAP,Total
24001,41,23,56,25,58,45,40,39,48,34,409
24002,28,12,43,33,52,30,40,20,46,20,324
24003,71,48,78,47,97,49,59,44,84,49,626
24004,15,8,22,20,30,25,30,24,48,28,250
24005,21,11,23,20,21,23,21,21,40,26,227
24006,49,34,18,37,45,45,41,44,44,45,402
24007,62,22,77,44,66,46,50,41,78,47,533
24008,18,0,22,3,21,0,40,20,45,20,189
24009,66,28,78,46,80,45,50,44,59,49,545
24010,41,9,26,24,53,45,28,21,36,20,303
24011,24,20,40,39,33,20,32,20,47,20,295
24012,10,10,29,25,41,20,17,25,12,14,203
24013,16,20,15,20,24,3,16,20,40,14,188
24014,40,20,40,37,55,40,35,42,52,35,396
24015,51,15,46,44,27,25,45,40,52,33,378
24016,50,32,48,36,40,22,25,20,45,41,359
24017,51,15,64,34,80,35,43,43,81,37,483
24018,47,25,49,28,57,39,47,32,72,44,440
24019,81,48,85,46,95,49,69,45,93,49,660
24020,40,15,46,29,45,30,26,37,47,37,352
24021,52,35,65,46,73,45,42,41,68,49,516
24022,12,20,13,13,45,22,25,41,40,29,260
24023,23,20,26,36,29,40,24,32,40,36,306
24024,43,20,27,31,50,30,43,43,40,29,356
24025,8,10,28,20,53,30,25,32,24,20,250
24026,54,30,40,25,56,47,42,30,51,43,418
24027,27,20,24,22,47,30,22,25,52,37,306
24028,14,20,18,22,29,41,9,25,23,30,231
24029,43,25,43,43,53,46,44,41,62,40,440
24030,61,46,57,48,83,45,42,40,59,49,530
24031,54,41,52,43,60,40,41,42,56,47,476
24032,44,32,67,45,55,43,49,29,71,48,483
24033,65,44,79,48,76,46,54,41,71,44,568
24034,57,20,53,46,69,33,41,42,59,43,463
24035,27,20,40,36,23,23,22,32,27,20,270
24036,35,12,41,36,48,35,19,40,50,37,353
24037,25,20,18,27,47,28,16,32,52,25,290
24038,30,25,40,44,49,45,20,22,51,37,363
24039,57,40,77,48,93,45,50,45,58,49,562
24040,49,32,52,45,70,30,47,39,63,48,475
24041,21,20,28,25,40,30,19,30,46,25,284
24042,0,0,0,0,0,0,0,0,0,0,0
24043,24,13,27,27,40,30,29,35,49,26,300
24044,41,20,52,31,45,25,28,43,25,20,330
24045,40,15,17,7,42,28,20,38,28,20,255
24046,64,23,70,40,90,48,45,46,77,47,550
24047,40,20,50,27,62,46,34,41,65,40,425
24048,62,34,78,47,70,40,45,46,69,49,540
24049,24,8,23,12,29,20,25,20,33,11,205
24050,48,20,56,40,56,45,29,41,52,43,430
24051,70,36,61,46,79,48,56,46,88,49,579
24052,73,42,67,46,76,48,50,46,66,49,563
24053,83,48,85,47,92,48,69,46,89,49,656
24054,54,20,42,40,59,40,44,40,55,44,438
24055,21,12,17,28,41,20,19,20,24,27,229
24056,79,48,65,45,83,48,47,42,60,49,566
24057,66,45,57,46,94,48,65,45,79,49,594
24058,35,15,30,30,51,25,31,39,43,38,337
24059,26,20,19,20,10,23,19,20,47,21,225
24060,40,21,62,40,64,45,46,28,53,46,445
24061,47,38,45,45,50,41,58,40,49,44,457
24062,50,22,52,45,68,43,26,44,58,39,447
24063,45,20,41,45,51,40,24,39,53,46,404
24064,28,20,41,30,59,32,26,26,46,20,328
24065,50,20,40,15,51,24,41,41,48,38,368
24066,27,20,16,26,29,30,17,39,30,20,254
24067,17,0,12,11,24,0,16,0,31,0,111
24068,42,20,40,45,45,35,20,40,28,43,358
24069,9,0,12,0,3,0,13,0,22,0,59
24070,30,20,28,43,53,25,21,35,49,47,351
24071,23,15,25,31,22,20,18,36,32,37,259
24072,25,11,29,25,40,30,18,20,26,20,244
24073,40,20,46,44,21,30,26,37,51,25,340
24074,48,20,45,29,53,32,42,41,58,38,406
24075,42,20,27,44,46,35,26,40,51,27,358
24076,40,20,56,45,77,35,27,30,58,48,436
