Seat No,EMFS,POM,FA,BC,FC1,BE,QM
17001,0,5,9,0,4,0,9
17002,8,8,10,9,8,8,10
17003,4,6,10,8,5,0,10
17004,5,6,10,7,4,5,8
17005,0,6,9,7,0,4,9
17006,0,4,6,4,4,0,6
17007,7,6,8,8,6,5,9
17008,9,8,10,10,7,10,10
17009,0,0,4,5,0,0,4
17010,6,8,10,8,8,6,10
17011,0,5,8,4,4,0,8
17012,0,4,7,6,0,0,6
17013,0,4,5,5,0,0,9
17014,0,5,8,7,4,0,5
17015,0,0,0,7,4,0,0
17016,4,7,10,9,5,5,10
17017,4,6,7,8,5,4,4
17018,0,4,8,4,0,0,8
17019,4,0,9,4,0,0,8
17020,5,8,9,9,5,6,9
17021,5,8,10,9,6,7,10
17022,5,8,10,8,7,5,10
17023,6,6,8,8,5,0,9
17024,5,5,8,9,5,0,9
17025,9,10,10,10,8,9,9
17026,0,5,8,8,0,0,0
17027,5,6,10,7,5,5,10
17028,0,4,4,6,4,0,0
17029,4,5,9,6,4,5,8
17030,0,4,6,0,0,0,0
17031,4,5,8,8,4,0,5
17032,4,8,9,9,5,0,4
17033,0,6,8,7,0,0,4
17034,4,4,8,7,4,4,8
17035,0,4,8,5,0,0,4
17036,0,4,8,7,4,0,4
17037,5,7,10,8,5,8,10
17038,5,7,10,8,4,6,10
17039,0,4,8,6,0,0,0
17040,5,5,10,9,4,4,10
17041,6,7,10,9,4,6,10
17042,0,0,0,0,0,0,0
17043,0,0,0,0,0,0,0
17044,6,9,10,8,5,8,10
17045,0,4,9,4,0,4,4
17046,6,8,10,9,4,7,8
17047,4,6,8,7,0,0,4
17048,9,9,10,10,8,6,10
17049,6,8,10,8,5,4,8
17050,4,5,9,9,4,4,10
17051,4,6,9,8,5,4,6
17052,6,7,10,10,6,4,10
17053,4,0,0,0,0,0,0
17054,0,4,8,6,0,0,7
17055,0,4,6,5,0,0,0
17056,4,0,9,4,5,0,8
17057,8,8,10,9,6,9,10
17058,4,4,10,5,5,5,6
17059,4,8,9,9,6,5,9
17060,6,6,10,8,5,5,10
17061,4,5,10,4,0,4,10
17062,0,5,9,6,4,4,9
17063,5,5,10,6,4,5,9
17064,5,7,10,8,5,0,9
17065,4,5,10,7,4,0,10
17066,0,0,6,4,0,0,4
17067,0,0,7,4,0,0,8
17068,7,8,10,9,6,7,10
17069,0,5,6,5,0,0,5
17070,4,6,5,6,0,0,4
17071,5,6,10,8,4,4,9
17072,5,7,10,9,4,4,8
17073,5,5,10,8,5,4,9
17074,4,5,10,6,4,4,7
17075,4,5,8,8,0,0,8
17076,0,0,4,4,0,0,0
17077,9,9,10,10,8,9,10
17078,9,8,10,10,6,6,10
17079,4,5,8,7,5,0,9
17080,0,5,8,4,5,0,5
17081,0,4,6,0,0,0,4
17082,0,4,8,4,0,0,4
17083,0,5,4,4,0,0,0
17084,0,6,9,5,0,0,7
17085,0,0,0,4,0,0,4
17086,4,5,7,8,0,0,4
17087,0,4,8,7,0,0,7
17088,4,6,9,9,4,4,10
17089,4,4,8,4,0,4,7
17090,0,5,5,7,0,0,5
17091,8,9,10,10,6,6,10
17092,4,7,10,8,5,5,10
17093,0,0,6,4,0,0,4
17094,0,0,0,0,0,0,0
17095,4,5,9,7,4,0,10
17096,4,6,10,6,0,6,9
17097,6,8,10,9,4,4,10
17098,7,8,10,8,4,7,10
17099,4,8,10,9,4,0,5
17100,0,5,9,7,4,0,6
17101,0,0,4,8,0,0,5
17102,0,6,9,8,4,5,9
17103,4,5,8,8,4,0,7
17104,4,5,5,6,0,0,0
17105,4,7,9,9,4,5,9
17106,4,4,9,8,0,0,9
17107,5,7,10,9,5,5,10
17108,8,9,10,9,5,8,10
17109,0,5,8,6,4,0,4
17110,4,9,8,9,7,4,4
17111,7,9,10,10,7,7,10
17112,0,4,8,7,0,4,4
17113,0,8,5,8,0,0,0
17114,0,6,9,9,4,0,7
17115,0,5,7,8,0,0,0
17116,0,6,9,9,4,4,5
17117,0,5,8,4,0,0,4
17118,5,7,10,9,4,4,5
17119,4,6,10,9,5,5,10
17120,0,6,8,6,0,5,4
17121,0,7,0,7,0,0,4
17122,4,6,9,8,0,0,7
17123,0,5,8,6,0,0,6
17124,6,9,9,8,4,4,7
17125,7,9,10,9,6,8,10
17126,0,4,9,5,0,0,4
17127,0,4,4,4,0,0,0
17128,4,6,10,9,4,5,9
17129,0,4,4,4,4,0,4
17130,4,0,6,8,4,0,0
17131,0,4,6,6,4,0,0
17132,4,5,10,8,4,0,8
17133,5,8,9,10,5,0,5
17134,6,8,10,9,4,5,10
17135,0,4,0,7,0,0,0
17136,8,10,10,10,7,5,10
17137,4,5,9,6,0,4,4
