Seat No,EMFS,POM,FA,BC,FC1,BE,QM,Total
17001,34,47,75,17,40,30,73,316
17002,68,63,91,75,63,67,89,516
17003,40,51,84,61,47,30,83,396
17004,45,54,78,59,42,47,69,394
17005,30,51,79,57,32,44,71,364
17006,35,40,54,42,40,28,51,290
17007,55,52,69,67,51,48,72,414
17008,70,68,89,80,59,77,82,525
17009,20,31,40,46,29,23,43,232
17010,53,61,94,67,61,52,81,469
17011,27,46,69,42,42,30,69,325
17012,29,42,55,54,32,26,52,290
17013,23,42,46,45,27,33,75,291
17014,19,48,64,57,40,24,48,300
17015,18,29,34,58,40,12,34,225
17016,42,57,80,75,48,45,79,426
17017,41,54,59,61,45,40,42,342
17018,18,40,60,42,32,21,69,282
17019,40,37,71,42,27,31,65,313
17020,46,65,75,71,48,50,72,427
17021,48,66,92,76,50,59,89,480
17022,47,63,97,63,56,49,88,463
17023,50,50,63,66,48,36,73,386
17024,46,46,63,77,45,31,78,386
17025,71,79,91,82,66,72,70,531
17026,24,45,69,67,33,30,15,283
17027,46,51,84,59,46,46,83,415
17028,26,43,43,54,40,15,30,251
17029,41,45,70,53,44,45,66,364
17030,27,42,50,23,29,23,34,228
17031,40,49,67,64,43,29,47,339
17032,43,64,71,78,46,24,43,369
17033,36,50,60,58,33,21,40,298
17034,40,42,69,58,42,43,65,359
17035,22,40,61,45,31,23,43,265
17036,17,43,66,55,42,25,42,290
17037,49,57,88,61,45,63,82,445
17038,49,56,87,63,44,51,82,432
17039,27,40,62,50,28,19,24,250
17040,45,47,82,75,44,44,80,417
17041,51,56,87,75,44,54,78,445
17042,10,12,18,16,12,14,17,99
17043,0,0,0,0,0,0,0,0
17044,52,71,93,68,45,60,90,479
17045,22,41,78,43,22,40,40,286
17046,52,62,97,75,44,56,60,446
17047,40,50,63,56,32,30,44,315
17048,72,72,94,81,66,52,85,522
17049,50,60,91,61,47,44,63,416
17050,40,46,72,74,43,40,82,397
17051,40,54,74,60,46,40,53,367
17052,54,59,86,79,52,42,88,460
17053,40,34,17,14,14,12,16,147
17054,36,43,60,50,31,25,59,304
17055,22,40,50,46,33,18,34,243
17056,40,29,75,44,45,31,66,330
17057,62,66,90,74,52,73,90,507
17058,40,43,88,45,46,45,50,357
17059,42,60,76,73,51,48,75,425
17060,53,54,78,69,46,45,86,431
17061,40,46,87,44,33,42,82,374
17062,26,46,78,52,43,40,76,361
17063,49,45,88,54,44,45,76,401
17064,48,55,94,60,49,23,77,406
17065,40,48,90,56,43,34,86,397
17066,17,28,54,40,22,19,40,220
17067,24,28,59,40,27,18,69,265
17068,56,66,90,74,54,56,80,476
17069,30,47,50,46,30,24,45,272
17070,40,50,46,54,35,31,44,300
17071,48,52,82,63,44,40,72,401
17072,45,59,88,71,43,44,68,418
17073,47,46,83,60,45,44,73,398
17074,42,48,79,52,42,41,57,361
17075,40,46,63,60,26,30,68,333
17076,19,30,43,40,25,13,24,194
17077,73,70,97,85,60,71,80,536
17078,71,69,92,83,54,51,81,501
17079,40,48,66,58,48,36,74,370
17080,36,47,62,44,47,25,49,310
17081,20,41,51,23,24,22,40,221
17082,26,41,63,42,31,18,40,261
17083,17,45,44,44,29,13,22,214
17084,24,50,78,47,32,25,56,312
17085,14,29,33,40,27,24,40,207
17086,40,48,57,66,35,21,40,307
17087,28,42,68,59,29,24,58,308
17088,40,53,73,73,42,40,77,398
17089,40,42,60,40,29,40,58,309
17090,29,47,47,57,34,17,49,280
17091,62,70,77,88,51,53,90,491
17092,41,57,87,67,45,45,89,431
17093,18,30,50,40,26,7,40,211
17094,16,26,36,27,24,18,24,171
17095,40,46,78,57,40,24,80,365
17096,41,53,81,54,34,53,70,386
17097,51,62,86,70,43,41,81,434
17098,58,64,90,66,42,58,86,464
17099,44,63,81,70,40,34,45,377
17100,26,45,74,57,43,34,50,329
17101,17,15,42,67,29,27,47,244
17102,35,54,79,60,43,48,75,394
17103,44,45,67,65,42,30,59,352
17104,40,48,45,54,29,27,25,268
17105,42,57,74,72,43,45,74,407
17106,42,44,76,63,32,30,73,360
17107,45,59,89,74,47,46,80,440
17108,69,70,98,73,48,63,89,510
17109,35,46,62,54,40,17,41,295
17110,40,71,69,72,58,42,44,396
17111,55,70,96,81,55,57,89,503
17112,36,43,63,57,30,40,41,310
17113,28,63,45,67,29,23,26,281
17114,27,54,72,71,42,26,57,349
17115,24,47,56,62,32,20,27,268
17116,35,50,77,72,43,43,49,369
17117,25,45,65,43,31,31,42,282
17118,45,56,82,76,43,41,48,391
17119,40,53,81,71,45,49,84,423
17120,35,50,60,54,35,47,42,323
17121,24,56,49,58,36,16,42,281
17122,40,53,72,69,31,30,58,353
17123,30,46,69,54,29,18,52,298
17124,54,70,72,68,42,43,58,407
17125,56,72,95,72,50,64,87,496
17126,29,44,72,46,22,19,40,272
17127,15,44,42,41,25,15,24,206
17128,42,50,88,72,42,47,75,416
17129,23,42,41,41,42,14,40,243
17130,40,28,54,60,43,24,33,282
17131,29,42,53,52,41,18,19,254
17132,42,48,89,63,44,31,63,380
17133,46,63,79,81,48,30,47,394
17134,50,66,92,72,43,45,86,454
17135,30,42,20,56,27,18,23,216
17136,60,79,97,85,57,46,90,514
17137,43,45,73,54,30,40,40,325
