Seat No,BIOTE,MICRO,BCHEM,BIOCH,GENET,MOLEC,CS,PR1,PR2,PR3,Total,CGPA
21001,20,18,20,20,20,20,20,20,20,20,198,9.90
21002,16,8,16,10,8,8,16,16,20,14,132,6.60
21003,18,12,20,20,14,10,18,18,20,20,170,8.50
21004,20,12,18,20,16,14,16,20,20,18,174,8.70
21005,18,20,16,20,16,18,18,20,20,20,186,9.30
21006,20,20,18,20,16,18,16,20,20,20,188,9.40
21007,0,0,0,0,0,0,0,0,0,0,0,0.00
21008,18,16,20,20,14,14,20,20,20,20,182,9.10
21009,16,10,18,20,14,14,18,20,20,20,170,8.50
21010,16,18,20,20,12,14,16,20,20,18,174,8.70
21011,20,20,16,20,18,18,20,20,20,20,192,9.60
21012,20,20,20,20,20,18,20,20,20,20,198,9.90
21013,20,16,20,20,16,18,20,20,20,20,190,9.50
21014,16,16,10,14,14,12,20,20,20,20,162,8.10
21015,16,18,20,20,20,20,20,20,20,20,194,9.70
21016,16,14,20,20,16,20,14,20,20,20,180,9.00
21017,10,10,8,0,8,8,18,18,20,18,118,0.00
21018,20,20,18,16,10,8,20,20,20,20,172,8.60
21019,10,0,8,10,8,0,20,20,20,20,116,0.00
21020,10,0,10,12,0,0,0,0,0,0,32,0.00
21021,8,0,18,20,8,0,14,20,20,18,126,0.00
21022,8,0,0,0,0,0,16,16,18,16,74,0.00
21023,18,20,20,20,14,14,20,18,20,20,184,9.20
21024,20,20,20,20,20,20,20,20,20,20,200,10.00
21025,16,12,20,20,14,14,16,20,20,20,172,8.60
21026,0,0,0,0,0,0,0,0,0,0,0,0.00
21027,0,0,0,0,0,0,14,20,18,12,64,0.00
21028,0,0,0,0,0,0,0,0,0,0,0,0.00
21029,20,10,20,20,12,10,20,20,20,14,166,8.30
21030,16,8,14,16,8,8,16,20,20,12,138,6.90
21031,10,10,12,14,8,10,20,18,20,18,140,7.00
21032,20,14,16,20,14,12,18,20,20,18,172,8.60
21033,0,0,0,0,0,0,0,0,0,0,0,0.00
21034,14,8,8,16,8,10,18,20,20,18,140,7.00
21035,18,16,16,18,10,10,20,20,20,20,168,8.40
21036,0,0,0,0,0,0,0,0,0,0,0,0.00
21037,8,0,0,0,0,8,0,18,14,12,60,0.00
21038,20,10,16,18,16,14,18,20,18,18,168,8.40
21039,10,12,14,12,12,10,14,18,20,16,138,6.90
21040,18,16,20,20,14,16,20,20,20,20,184,9.20
21041,20,20,16,18,14,12,20,20,20,20,180,9.00
21042,14,10,18,16,12,16,18,20,20,18,162,8.10
21043,0,0,0,0,0,0,0,16,18,16,50,0.00
