Seat No,BIOTE,MICRO,BCHEM,BIOCH,GENET,MOLEC,CS,PR1,PR2,PR3
21001,10,9,10,10,10,10,10,10,10,10
21002,8,4,8,5,4,4,8,8,10,7
21003,9,6,10,10,7,5,9,9,10,10
21004,10,6,9,10,8,7,8,10,10,9
21005,9,10,8,10,8,9,9,10,10,10
21006,10,10,9,10,8,9,8,10,10,10
21007,0,0,0,0,0,0,0,0,0,0
21008,9,8,10,10,7,7,10,10,10,10
21009,8,5,9,10,7,7,9,10,10,10
21010,8,9,10,10,6,7,8,10,10,9
21011,10,10,8,10,9,9,10,10,10,10
21012,10,10,10,10,10,9,10,10,10,10
21013,10,8,10,10,8,9,10,10,10,10
21014,8,8,5,7,7,6,10,10,10,10
21015,8,9,10,10,10,10,10,10,10,10
21016,8,7,10,10,8,10,7,10,10,10
21017,5,5,4,0,4,4,9,9,10,9
21018,10,10,9,8,5,4,10,10,10,10
21019,5,0,4,5,4,0,10,10,10,10
21020,5,0,5,6,0,0,0,0,0,0
21021,4,0,9,10,4,0,7,10,10,9
21022,4,0,0,0,0,0,8,8,9,8
21023,9,10,10,10,7,7,10,9,10,10
21024,10,10,10,10,10,10,10,10,10,10
21025,8,6,10,10,7,7,8,10,10,10
21026,0,0,0,0,0,0,0,0,0,0
21027,0,0,0,0,0,0,7,10,9,6
21028,0,0,0,0,0,0,0,0,0,0
21029,10,5,10,10,6,5,10,10,10,7
21030,8,4,7,8,4,4,8,10,10,6
21031,5,5,6,7,4,5,10,9,10,9
21032,10,7,8,10,7,6,9,10,10,9
21033,0,0,0,0,0,0,0,0,0,0
21034,7,4,4,8,4,5,9,10,10,9
21035,9,8,8,9,5,5,10,10,10,10
21036,0,0,0,0,0,0,0,0,0,0
21037,4,0,0,0,0,4,0,9,7,6
21038,10,5,8,9,8,7,9,10,9,9
21039,5,6,7,6,6,5,7,9,10,8
21040,9,8,10,10,7,8,10,10,10,10
21041,10,10,8,9,7,6,10,10,10,10
21042,7,5,9,8,6,8,9,10,10,9
21043,0,0,0,0,0,0,0,8,9,8
