Seat No,PPWC,DLA,FDMS,CLDS,TCS,PR1,PR2,PR3,PR4,PR5,Total,CGPA
19001,0,16,14,10,12,0,20,12,8,20,112,0.00
19002,0,0,0,0,0,8,8,8,12,18,54,0.00
19003,0,0,8,0,8,0,16,8,0,20,60,0.00
19004,0,0,0,0,8,12,0,8,0,14,42,0.00
19005,10,12,16,14,8,18,20,20,16,20,154,7.70
19006,12,8,12,14,16,8,16,18,8,12,124,6.20
19007,10,18,14,10,16,20,16,12,10,20,146,7.30
19008,16,18,18,16,0,16,20,20,18,20,162,0.00
19009,18,18,18,20,14,20,20,20,14,20,182,9.10
19010,12,10,14,12,10,18,12,18,12,20,138,6.90
19011,10,8,14,16,10,18,18,20,16,20,150,7.50
19012,20,20,20,18,16,20,20,20,12,20,186,9.30
19013,8,10,8,8,8,16,20,14,8,20,120,6.00
19014,0,0,8,0,10,0,0,12,0,20,50,0.00
19015,8,8,10,0,10,12,20,8,8,18,102,0.00
19016,0,0,0,0,12,0,8,0,0,14,34,0.00
19017,14,8,10,8,10,16,20,14,10,20,130,6.50
19018,18,16,20,14,16,20,18,20,18,20,180,9.00
19019,8,8,0,0,8,8,12,12,0,20,76,0.00
19020,10,10,10,10,10,20,12,20,8,20,130,6.50
19021,20,18,20,18,16,20,20,20,20,20,192,9.60
19022,16,14,10,12,8,12,18,8,16,20,134,6.70
19023,20,20,18,20,18,20,20,20,16,20,192,9.60
19024,8,0,0,8,12,0,0,10,8,18,64,0.00
19025,0,12,16,10,16,16,20,8,0,18,116,0.00
19026,0,0,8,0,0,0,8,8,8,20,52,0.00
19027,0,0,0,0,0,0,0,0,8,16,24,0.00
19028,0,10,10,10,16,0,18,8,0,20,92,0.00
19029,0,10,16,0,16,0,8,8,8,20,86,0.00
19030,14,14,16,8,10,18,8,20,10,20,138,6.90
19031,0,0,0,0,8,0,0,10,8,14,40,0.00
19032,0,10,0,12,8,8,16,12,12,16,94,0.00
19033,0,0,0,0,8,12,8,8,0,20,56,0.00
19034,16,16,14,16,16,16,20,20,16,20,170,8.50
19035,0,8,18,10,14,12,18,8,10,20,118,0.00
19036,14,10,14,14,16,20,20,20,18,20,166,8.30
19037,20,20,20,20,16,20,20,20,20,20,196,9.80
19038,0,0,12,0,10,8,0,0,16,16,62,0.00
19039,0,0,8,0,0,0,0,12,8,20,48,0.00
19040,12,14,0,10,8,12,20,16,14,20,126,0.00
19041,0,0,0,0,0,0,0,0,0,0,0,0.00
19042,8,8,8,8,12,20,12,16,8,20,120,6.00
19043,8,0,8,10,10,8,0,8,12,20,84,0.00
19044,8,16,10,10,0,12,8,8,16,20,108,0.00
19045,12,12,16,10,10,16,20,8,16,20,140,7.00
19046,8,8,0,0,10,12,16,8,8,20,90,0.00
19047,10,8,10,0,14,12,16,8,8,20,106,0.00
19048,10,16,12,12,12,8,20,20,18,20,148,7.40
19049,0,0,8,0,0,12,14,8,8,20,70,0.00
19050,0,0,0,0,0,0,0,0,0,0,0,0.00
19051,0,0,8,0,10,10,12,8,8,20,76,0.00
19052,20,20,18,14,16,20,20,18,20,20,186,9.30
19053,18,20,20,16,14,14,20,20,20,20,182,9.10
19054,0,0,0,0,0,8,12,14,8,20,62,0.00
19055,0,0,0,0,8,8,0,8,0,20,44,0.00
19056,18,18,16,18,18,20,20,20,20,20,188,9.40
19057,18,10,8,16,8,18,20,20,16,20,154,7.70
19058,0,14,8,0,8,12,10,8,12,20,92,0.00
19059,0,0,0,0,0,0,0,0,0,0,0,0.00
19060,0,0,0,0,0,0,0,0,0,0,0,0.00
19061,18,18,18,16,18,20,20,16,14,20,178,8.90
19062,14,18,16,14,16,20,18,16,12,20,164,8.20
19063,0,0,0,0,0,12,18,0,8,8,46,0.00
19064,14,8,14,14,14,20,16,20,14,20,154,7.70
19065,0,10,0,0,0,8,12,8,8,20,66,0.00
19066,0,10,10,10,12,16,12,14,10,20,114,0.00
19067,8,8,0,12,0,16,12,8,8,20,92,0.00
19068,10,8,8,12,8,20,8,12,10,20,116,5.80
19069,18,16,14,12,18,20,20,18,16,18,170,8.50
19070,16,14,10,14,14,20,20,16,16,20,160,8.00
19071,18,16,14,10,8,20,20,18,18,20,162,8.10
19072,20,14,20,16,18,20,20,20,20,20,188,9.40
19073,20,18,16,14,14,20,20,16,20,20,178,8.90
19074,10,8,8,10,8,20,18,8,10,20,120,6.00
19075,12,12,10,10,8,20,20,14,20,20,146,7.30
19076,18,18,16,18,16,20,20,20,18,20,184,9.20
19077,12,10,8,10,10,20,14,8,12,20,124,6.20
19078,14,8,12,10,10,20,12,20,8,20,134,6.70
19079,0,8,8,0,8,18,8,8,8,20,86,0.00
19080,8,8,10,0,10,16,20,16,16,20,124,0.00
19081,20,18,16,20,16,20,18,18,20,20,186,9.30
19082,10,10,8,10,0,20,20,16,10,20,124,0.00
19083,10,0,8,12,0,16,16,18,10,20,110,0.00
19084,18,16,14,14,10,20,18,20,16,20,166,8.30
19085,8,8,0,8,8,18,12,16,8,20,106,0.00
19086,20,10,16,16,20,20,18,20,12,20,172,8.60
19087,16,20,14,14,16,20,20,20,18,20,178,8.90
19088,0,8,10,0,8,0,0,12,12,20,70,0.00
