Seat No,I.LAW,FC2,ENG2,ENG3,ECO2,ECO3,POL2,POL3
14001,5,8,8,8,6,5,6,7
14002,0,6,8,8,4,4,4,5
14003,5,7,7,8,5,5,4,6
14004,5,0,4,4,6,4,0,0
14005,4,6,5,4,4,4,0,4
14006,5,6,8,8,4,4,5,4
14007,4,6,7,0,4,0,0,0
14008,6,8,9,8,4,5,5,4
14009,9,10,10,10,9,9,8,9
14010,5,7,8,6,4,4,0,4
14011,5,6,7,8,4,6,5,4
14012,0,6,4,4,4,4,0,4
14013,4,6,5,0,4,6,0,4
14014,4,5,4,4,4,4,0,4
14015,4,5,5,4,4,4,4,5
14016,4,6,4,5,4,0,0,4
14017,4,5,4,0,4,4,0,0
14018,4,0,5,4,4,4,0,4
14019,4,6,7,7,4,4,6,6
14020,8,8,8,8,8,8,8,9
14021,4,7,8,6,4,7,5,4
14022,8,8,9,8,6,6,6,8
14023,0,4,4,0,4,4,4,4
14024,7,8,9,8,6,6,5,8
14025,4,6,5,5,4,0,4,4
14026,6,0,6,4,0,4,0,4
14027,7,10,9,10,9,8,7,9
14028,6,8,8,6,6,5,6,5
14029,0,0,0,0,0,0,0,0
14030,0,5,7,4,4,0,0,0
14031,8,8,8,7,7,6,7,8
14032,8,7,8,7,6,4,6,7
14033,6,9,8,9,8,8,7,8
14034,4,6,4,0,4,0,0,0
14035,4,7,4,0,4,4,0,4
14036,5,8,8,6,5,5,4,4
14037,0,0,0,0,0,4,0,0
14038,5,6,0,4,4,4,4,4
14039,5,6,8,6,5,6,4,6
14040,4,5,4,4,4,4,0,4
14041,4,0,0,4,4,4,4,4
14042,9,9,8,9,9,8,8,9
14043,9,7,8,9,8,10,8,10
14044,4,5,0,0,0,4,0,0
14045,4,6,4,4,5,5,4,4
14046,6,6,8,4,4,4,4,4
14047,9,8,8,7,10,10,7,9
14048,7,8,8,8,6,8,5,7
14049,4,6,7,6,4,4,4,4
14050,8,0,0,5,5,7,5,0
14051,9,9,8,8,10,10,7,10
14052,0,5,0,0,0,0,0,0
14053,9,10,8,9,9,10,8,10
14054,8,5,8,7,5,7,5,6
14055,5,7,4,4,4,4,0,4
14056,4,5,0,4,4,4,0,4
14057,8,7,9,8,6,7,6,6
14058,10,9,9,8,10,9,7,9
14059,4,8,7,7,4,4,0,4
14060,0,6,7,4,4,0,0,0
14061,10,10,10,9,10,10,8,9
14062,4,5,6,4,4,5,0,4
14063,6,7,8,5,4,8,4,4
14064,6,7,8,6,5,6,4,4
14065,5,8,0,8,4,4,4,4
14066,0,6,4,4,5,0,0,4
14067,0,5,0,4,0,0,0,0
14068,6,7,8,7,7,8,5,7
14069,7,8,8,6,4,5,4,4
14070,6,0,0,4,4,8,5,0
14071,8,7,8,7,4,6,6,5
14072,7,7,8,8,5,8,7,8
14073,10,10,9,8,8,9,8,10
14074,9,8,8,8,0,8,5,5
14075,4,5,4,7,0,4,0,0
14076,6,6,5,5,6,5,5,7
14077,9,9,8,7,6,8,7,10
14078,6,7,8,8,4,8,4,8
14079,10,8,8,9,10,10,8,10
14080,8,7,5,6,6,8,7,8
14081,8,6,8,4,6,9,7,6
14082,10,10,10,9,9,10,8,10
14083,5,7,8,7,0,6,4,4
14084,6,7,7,6,4,4,4,4
14085,4,8,6,4,4,8,0,4
14086,10,8,6,5,9,9,6,8
14087,6,5,8,6,4,8,6,8
14088,8,5,7,6,0,6,6,5
14089,8,9,8,8,9,8,8,9
14090,4,6,0,4,0,0,0,4
14091,9,9,8,8,8,9,5,8
14092,9,9,8,8,0,0,7,0
14093,0,6,5,6,0,0,0,4
14094,10,7,8,8,9,9,8,8
14095,8,6,8,7,8,8,7,8
14096,6,8,8,7,6,6,4,7
14097,6,6,8,6,0,5,5,5
14098,6,9,8,8,5,7,6,7
14099,5,8,6,7,0,4,4,4
14100,0,5,0,4,0,0,4,5
14101,10,8,10,9,9,9,8,9
14102,9,8,8,8,5,8,6,8
14103,4,5,6,4,0,4,4,4
14104,4,7,8,7,4,4,4,0
14105,6,8,7,5,5,7,7,5
14106,0,0,4,0,0,0,0,0
14107,6,8,7,8,6,9,7,7
14108,4,7,5,6,0,0,4,5
14109,4,8,6,7,0,4,4,4
14110,4,6,0,4,0,4,0,0
14111,4,7,5,4,4,7,4,5
14112,4,6,4,4,4,6,4,4
14113,5,6,6,6,4,4,5,4
14114,5,7,4,7,4,0,4,4
14115,4,7,7,7,4,4,4,5
14116,8,5,7,6,7,8,7,5
14117,0,5,4,5,4,4,4,4
14118,4,5,5,4,4,4,4,4
14119,8,8,7,8,5,8,7,8
14120,10,10,10,9,8,10,8,10
14121,4,6,7,4,4,4,4,4
14122,6,8,6,8,5,4,6,6
14123,4,5,5,6,0,7,7,8
14124,6,8,8,8,4,8,6,8
14125,6,9,8,7,5,7,6,8
14126,5,9,8,8,4,4,4,8
14127,7,8,8,8,6,8,6,8
14128,8,6,8,6,4,4,7,4
14129,4,7,8,8,5,6,4,4
14130,0,5,8,7,4,7,4,6
14131,4,6,8,6,4,4,0,4
14132,4,5,4,4,6,5,4,4
14133,4,7,9,8,6,8,4,8
14134,4,7,7,5,6,9,6,8
14135,4,6,5,4,4,4,0,4
14136,4,5,4,6,4,6,4,4
14137,0,6,10,7,7,8,5,0
14138,0,8,5,6,5,7,4,6
14139,0,5,4,4,4,4,0,0
14140,0,5,4,4,4,4,0,0
14141,4,6,4,4,5,4,4,4
14142,7,5,6,8,7,7,4,5
14143,4,0,6,7,4,4,0,4
14144,8,0,0,6,5,8,0,4
14145,5,7,9,8,6,5,4,4
14146,0,0,8,8,5,4,4,7
14147,8,6,8,8,6,8,0,4
14148,4,5,4,5,0,4,4,4
14149,5,0,8,6,4,8,0,0
14150,4,7,8,8,7,7,0,4
14151,4,0,6,6,5,5,0,4
14152,0,5,5,4,4,5,0,4
14153,10,8,9,7,8,9,8,8
14154,7,6,5,7,5,6,5,5
14155,6,6,7,5,6,6,4,5
14156,0,5,4,4,4,4,0,4
14157,0,5,4,8,4,4,4,4
14158,8,6,9,9,8,9,4,8
14159,0,0,7,4,4,4,0,0
14160,8,5,8,4,7,8,6,8
14161,4,0,0,0,4,4,0,0
14162,4,6,7,4,4,4,4,4
14163,4,5,0,0,0,4,4,4
14164,4,6,5,6,0,5,5,4
14165,6,10,8,9,8,8,7,7
14166,8,8,8,6,6,6,5,7
14167,0,5,4,4,0,0,0,0
14168,4,6,6,8,0,0,0,0
14169,4,6,0,4,0,0,0,4
14170,0,6,0,4,0,0,4,4
14171,4,8,4,4,0,4,4,4
14172,6,8,7,7,4,8,5,7
14173,4,8,5,5,4,4,4,6
14174,4,8,7,8,0,5,6,4
14175,7,8,9,8,9,8,8,7
14176,0,0,0,4,0,0,0,0
14177,4,0,5,7,6,0,4,5
14178,4,6,4,4,4,0,4,4
14179,4,7,7,6,0,0,4,4
14180,4,6,0,7,0,0,0,0
14181,4,5,6,4,0,4,4,0
14182,4,6,6,7,4,4,4,0
14183,6,8,8,8,8,9,7,5
14184,4,6,6,5,4,5,4,4
14185,4,7,6,5,0,4,4,5
14186,0,5,4,5,0,4,4,4
14187,0,0,0,0,0,0,0,0
14188,8,8,8,8,5,8,6,5
14189,4,6,4,5,0,0,0,0
14190,0,0,5,4,4,0,0,0
14191,4,8,8,7,7,7,7,5
14192,4,5,4,4,0,4,0,0
14193,4,8,8,6,0,8,7,5
14194,4,5,5,4,4,5,4,6
14195,0,0,0,0,0,0,0,0
14196,6,6,7,6,5,6,5,7
14197,0,6,4,4,0,0,4,0
14198,4,7,7,8,4,8,4,6
14199,4,8,8,8,6,6,4,4
14200,4,7,5,7,0,5,4,4
14201,0,5,0,4,4,4,0,0
14202,0,6,6,4,6,6,7,6
14203,0,5,4,4,4,0,4,4
14204,4,6,4,8,6,6,5,6
14205,0,8,6,5,8,4,4,4
14206,0,0,0,0,0,0,0,0
14207,0,0,0,0,0,0,0,0
14208,0,5,6,4,5,4,4,4
14209,4,5,6,6,4,4,4,4
14210,0,6,4,6,5,4,4,4
14211,0,6,7,4,6,4,4,4
14212,0,7,8,6,6,6,4,4
14213,8,8,10,8,6,8,8,9
14214,4,5,6,6,4,4,5,4
14215,7,7,8,8,8,9,10,8
14216,0,5,4,5,4,4,4,5
14217,0,5,7,8,7,5,6,8
14218,0,6,4,4,4,4,4,4
14219,0,5,4,7,4,4,4,4
14220,0,0,0,0,0,0,0,0
14221,0,6,4,4,4,0,0,4
14222,7,9,10,9,8,9,9,10
14223,4,6,4,5,4,4,4,0
14224,0,0,4,4,4,4,0,0
14225,0,7,7,6,7,5,4,4
14226,4,7,8,8,8,8,8,8
14227,0,0,0,4,0,0,0,0
14228,8,9,10,9,8,9,9,9
14229,0,6,0,8,6,5,4,4
14230,4,7,6,7,6,6,4,4
14231,4,8,8,8,8,7,6,9
14232,4,6,5,5,4,4,4,4
14233,0,6,4,6,6,6,4,6
14234,0,0,0,0,0,0,0,0
14235,0,0,0,0,0,0,0,0
14236,0,6,6,6,4,5,5,4
14237,4,6,6,7,5,4,0,4
14238,5,7,8,7,5,4,4,8
14239,5,8,10,9,6,4,7,6
14240,4,0,5,4,4,4,4,5
14241,0,7,0,5,4,4,0,0
14242,0,5,0,5,4,4,4,4
14243,5,6,5,6,4,5,4,6
14244,0,7,8,8,7,6,5,4
14245,4,6,5,4,4,0,4,4
14246,0,4,6,6,4,4,7,8
14247,0,5,5,0,0,0,4,4
14248,0,6,6,4,7,4,5,4
14249,0,6,5,4,4,5,4,4
14250,0,6,5,6,4,4,5,4
14251,0,6,4,6,4,4,4,4
14252,4,4,4,4,4,0,4,4
14253,0,7,6,5,0,4,4,7
14254,0,0,0,0,0,0,0,0
14255,4,7,7,4,4,4,7,7
14256,4,5,5,4,5,4,4,4
14257,0,7,7,4,0,0,4,4
14258,4,5,5,4,4,0,5,5
14259,7,6,6,4,4,4,4,4
14260,0,7,6,4,0,0,4,4
14261,0,7,7,4,4,4,5,5
14262,0,6,5,5,4,4,6,5
14263,4,8,10,7,4,7,7,8
14264,0,7,4,4,4,4,6,6
14265,0,0,4,4,0,0,4,4
14266,4,8,10,9,6,6,7,9
14267,0,7,7,4,4,6,6,8
14268,4,6,5,4,6,4,4,6
14269,4,7,9,9,4,8,6,7
14270,0,6,7,6,4,6,8,8
14271,0,0,0,4,0,0,0,0
14272,4,4,5,6,5,0,6,6
14273,4,5,4,4,4,4,4,4
14274,0,5,4,4,0,4,7,6
14275,4,5,5,4,0,4,4,4
14276,0,4,0,4,0,0,4,4
14277,0,6,7,6,4,4,5,4
14278,4,8,9,5,5,6,4,7
14279,4,5,7,4,8,7,6,4
14280,4,5,5,5,4,4,4,4
14281,0,5,4,4,4,4,4,4
14282,0,4,4,4,0,0,4,4
14283,0,7,8,4,5,6,7,7
14284,0,6,4,4,5,5,5,7
14285,0,6,0,4,4,0,5,5
14286,0,0,0,0,0,0,0,0
14287,0,5,0,4,4,6,7,4
14288,0,0,0,4,4,0,4,4
14289,4,6,8,5,8,7,7,6
14290,4,4,0,4,5,4,4,4
14291,0,5,4,4,6,4,6,5
14292,7,7,10,5,8,8,9,7
14293,4,6,7,8,7,8,7,6
14294,4,0,4,4,6,5,4,4
14295,0,6,0,4,4,4,6,4
14296,8,9,10,10,9,10,10,9
14297,0,5,0,4,5,6,6,7
14298,0,7,9,7,8,7,6,5
14299,0,7,8,4,7,5,6,8
14300,0,5,0,0,4,4,4,4
14301,0,4,4,4,5,4,8,6
14302,4,5,5,4,4,4,4,4
14303,0,6,4,4,4,4,6,5
14304,0,4,0,4,4,0,4,4
