Seat No,AFM,FAA,COM,BECO,ADVT,FC,B LAW,Total,CGPA
15001,30,30,30,30,30,20,27,197,9.85
15002,15,18,21,12,21,16,12,115,5.75
15003,30,30,24,15,27,16,21,163,8.15
15004,24,24,21,15,24,12,21,141,7.05
15005,0,0,0,0,0,0,0,0,0.00
15006,24,15,0,15,21,10,18,103,0.00
15007,30,12,21,24,24,16,18,145,7.25
15008,27,15,21,15,21,16,21,136,6.80
15009,24,21,21,21,27,18,21,153,7.65
15010,18,21,15,12,24,16,15,121,6.05
15011,12,18,18,12,21,16,12,109,5.45
15012,27,24,24,18,27,18,24,162,8.10
15013,12,21,12,12,12,16,12,97,4.85
15014,30,24,18,15,12,16,12,127,6.35
15015,15,12,12,0,12,10,0,61,0.00
15016,27,18,18,24,24,18,27,156,7.80
15017,27,24,18,18,24,18,24,153,7.65
15018,27,21,21,12,24,14,21,140,7.00
15019,30,24,24,27,24,16,24,169,8.45
15020,12,18,12,12,12,12,0,78,0.00
15021,21,15,15,24,21,16,21,133,6.65
15022,27,24,12,21,21,18,15,138,6.90
15023,0,0,12,12,21,0,12,57,0.00
15024,27,30,21,24,27,20,24,173,8.65
15025,12,12,12,0,15,10,0,61,0.00
15026,18,15,12,12,18,14,15,104,5.20
15027,24,18,18,24,24,14,15,137,6.85
15028,12,12,12,15,18,14,12,95,4.75
15029,21,12,12,0,12,0,0,57,0.00
15030,27,24,12,12,18,14,0,107,0.00
15031,15,27,12,12,18,16,12,112,5.60
15032,30,24,12,12,15,10,12,115,5.75
15033,24,24,12,21,27,14,12,134,6.70
15034,30,27,15,21,27,18,24,162,8.10
15035,12,12,12,0,12,14,0,62,0.00
15036,30,30,21,21,24,16,24,166,8.30
15037,24,24,15,18,21,14,12,128,6.40
15038,24,27,18,21,27,14,12,143,7.15
15039,27,18,18,12,21,16,18,130,6.50
15040,27,30,18,18,12,12,15,132,6.60
15041,0,12,0,0,12,16,0,40,0.00
15042,30,24,24,18,24,16,30,166,8.30
15043,15,24,18,15,21,16,15,124,6.20
15044,30,30,21,12,18,14,12,137,6.85
15045,30,15,12,12,21,16,21,127,6.35
15046,27,15,24,24,27,18,24,159,7.95
15047,21,18,12,12,21,14,15,113,5.65
15048,12,12,12,0,12,14,12,74,0.00
15049,12,12,12,12,18,10,12,88,4.40
15050,30,15,15,12,18,12,18,120,6.00
15051,30,27,21,12,27,16,24,157,7.85
15052,30,15,18,12,21,16,12,124,6.20
15053,24,27,12,12,12,14,12,113,5.65
15054,30,24,12,12,12,12,12,114,5.70
15055,12,12,12,0,0,14,0,50,0.00
15056,27,27,21,12,18,10,18,133,6.65
15057,21,27,12,12,18,12,21,123,6.15
15058,12,12,12,0,15,14,12,77,0.00
15059,12,12,12,12,18,16,12,94,4.70
15060,30,24,21,24,27,18,18,162,8.10
15061,0,0,0,0,0,0,0,0,0.00
15062,27,24,12,18,18,14,0,113,0.00
15063,24,30,12,12,15,8,15,116,5.80
15064,24,24,15,24,24,12,24,147,7.35
15065,0,0,0,0,0,0,0,0,0.00
15066,24,24,18,12,24,16,21,139,6.95
15067,0,0,0,0,0,0,0,0,0.00
15068,30,27,27,30,30,18,27,189,9.45
15069,30,24,24,24,24,18,27,171,8.55
15070,12,0,12,0,0,16,0,40,0.00
15071,24,12,15,12,12,10,15,100,5.00
15072,30,24,24,15,24,10,18,145,7.25
15073,12,21,18,15,18,16,12,112,5.60
15074,12,0,12,12,12,12,0,60,0.00
15075,15,12,15,24,24,16,15,121,6.05
15076,27,21,18,18,27,16,12,139,6.95
15077,18,12,12,15,15,14,0,86,0.00
15078,15,12,18,24,27,18,12,126,6.30
15079,21,18,21,18,27,20,15,140,7.00
15080,30,24,12,15,18,12,15,126,6.30
15081,12,0,12,12,12,0,0,48,0.00
15082,12,0,0,12,0,10,0,34,0.00
15083,30,12,15,12,12,16,12,109,5.45
15084,30,24,18,18,24,12,18,144,7.20
15085,27,30,27,24,27,16,24,175,8.75
15086,12,12,15,12,21,16,12,100,5.00
15087,12,12,12,12,18,16,15,97,4.85
15088,12,12,0,0,0,16,12,52,0.00
15089,30,21,12,12,15,10,12,112,5.60
15090,24,12,15,12,18,14,12,107,5.35
15091,24,12,18,12,21,14,18,119,5.95
15092,27,18,12,12,15,12,12,108,5.40
15093,30,27,21,24,30,16,24,172,8.60
15094,24,12,12,15,21,16,12,112,5.60
15095,18,18,12,12,24,16,12,112,5.60
15096,30,24,12,12,12,16,12,118,5.90
15097,12,0,12,12,12,12,0,60,0.00
15098,30,30,24,0,30,18,27,159,0.00
15099,24,24,12,0,15,12,12,99,0.00
15100,24,30,18,15,18,12,12,129,6.45
15101,24,24,15,12,15,14,12,116,5.80
15102,24,21,15,24,21,16,12,133,6.65
15103,18,18,12,15,12,12,12,99,4.95
15104,21,24,12,18,18,14,15,122,6.10
15105,24,24,12,21,18,18,18,135,6.75
15106,27,24,15,12,12,16,15,121,6.05
15107,27,21,15,18,24,16,24,145,7.25
15108,12,0,12,0,12,12,12,60,0.00
15109,12,12,12,12,0,10,12,70,0.00
15110,12,12,12,15,18,14,12,95,4.75
15111,18,18,12,12,15,16,12,103,5.15
15112,21,24,0,15,12,16,12,100,0.00
15113,18,24,12,12,24,12,18,120,6.00
15114,0,15,12,12,21,16,12,88,0.00
15115,24,24,12,12,15,12,18,117,5.85
15116,24,30,12,12,18,12,12,120,6.00
15117,12,12,0,12,12,12,0,60,0.00
15118,12,24,12,12,15,16,12,103,5.15
15119,24,15,12,12,21,16,12,112,5.60
