Seat No,FC,BOT 1,BOT 2,BOT 3,BOT P,CHE 1,CHE 2,CHE 3,CHE P
16001,7,5,4,4,8,4,4,4,10
16002,8,8,7,6,8,5,6,6,10
16003,8,0,0,0,4,0,0,4,7
16004,8,7,7,5,9,6,8,7,10
16005,7,9,5,7,9,6,5,6,10
16006,5,7,7,5,9,6,7,5,10
16007,8,6,5,4,9,4,4,4,10
16008,8,5,4,4,7,4,4,4,6
16009,9,9,8,7,9,5,5,8,10
16010,8,4,4,0,8,4,6,4,10
16011,8,10,6,7,10,5,7,9,10
16012,6,0,0,0,7,0,0,4,10
16013,8,4,5,4,8,4,4,4,9
16014,5,5,0,0,6,6,4,5,10
16015,8,9,8,4,9,9,9,9,10
16016,7,5,4,4,8,6,6,8,10
16017,9,7,7,4,8,9,9,8,10
16018,5,0,0,0,5,4,4,4,9
16019,8,7,9,4,10,10,10,9,10
16020,6,7,4,4,8,7,9,9,10
16021,8,6,5,4,8,8,7,10,10
16022,7,8,8,4,4,8,9,10,10
16023,5,5,4,4,7,7,5,8,10
16024,10,10,8,7,8,9,9,10,10
16025,10,7,4,4,9,6,8,8,10
16026,7,4,4,4,8,5,6,6,9
16027,8,7,10,7,10,8,8,9,10
16028,0,0,4,0,0,4,4,0,0
16029,8,7,5,0,7,8,9,9,10
16030,6,6,4,4,8,7,6,9,10
16031,9,9,8,5,9,8,9,10,10
16032,7,5,4,4,7,7,7,9,10
16033,8,8,5,4,8,6,8,7,10
16034,8,6,5,4,8,8,9,10,10
16035,6,4,5,4,6,8,8,8,10
16036,8,4,4,4,9,7,6,0,10
16037,7,4,4,5,10,9,7,6,10
16038,9,0,0,0,10,0,0,0,9
16039,8,4,0,6,10,7,6,7,10
16040,0,0,0,0,0,0,0,0,0
16041,8,8,10,9,10,10,9,9,10
16042,10,4,4,4,10,6,10,0,9
16043,6,4,0,0,10,0,0,0,9
16044,6,4,0,0,10,6,6,6,10
16045,0,0,0,0,0,0,0,0,10
16046,10,10,10,10,10,10,10,9,10
16047,7,0,0,0,8,7,7,0,9
16048,5,0,0,4,6,6,6,0,6
16049,6,7,8,8,10,7,6,10,10
16050,6,4,4,4,10,6,6,0,10
16051,8,4,4,7,10,10,7,6,10
16052,9,4,0,4,9,6,6,7,0
16053,6,9,10,10,10,10,10,10,10
16054,5,4,0,4,8,0,6,7,8
16055,10,10,10,10,10,10,10,9,10
16056,9,8,9,8,10,10,8,7,10
16057,8,4,5,0,5,8,0,6,0
16058,5,5,0,4,9,7,0,7,10
16059,6,0,0,0,9,9,0,5,9
16060,8,7,4,5,8,8,9,8,9
16061,9,4,4,7,10,9,0,6,9
16062,0,0,0,4,8,4,0,0,8
16063,6,0,0,4,10,4,5,4,10
16064,8,0,0,5,8,6,5,7,10
16065,5,0,4,4,10,4,5,0,9
16066,8,4,4,7,10,7,8,8,10
16067,8,4,4,0,8,6,8,8,10
16068,8,0,4,4,10,4,7,6,10
16069,0,0,0,0,0,0,0,4,0
16070,8,0,4,7,10,8,8,8,10
16071,6,0,4,0,10,4,4,0,9
16072,7,0,4,4,8,4,4,0,8
16073,4,0,0,4,10,5,6,4,9
16074,8,10,9,8,10,10,9,10,10
16075,5,0,0,4,9,4,4,5,9
16076,9,10,10,8,10,9,10,10,10
16077,8,9,7,8,10,9,10,10,10
16078,8,9,8,9,10,9,9,10,10
16079,8,6,4,5,10,5,6,4,10
16080,7,4,0,4,10,4,4,4,8
16081,9,4,0,4,10,5,8,8,10
16082,7,0,0,4,9,5,8,8,10
16083,9,4,4,4,10,5,7,5,10
16084,7,4,4,6,0,5,8,8,0
16085,5,0,0,0,9,4,5,5,9
16086,5,0,0,4,10,5,6,5,10
16087,5,0,0,0,9,0,4,4,8
16088,7,0,4,4,10,7,5,7,10
16089,8,8,5,5,10,7,9,9,10
16090,0,4,4,4,8,0,5,4,7
16091,7,8,10,8,10,8,9,7,10
16092,0,4,0,4,9,4,5,6,10
16093,10,8,6,6,10,8,9,9,10
16094,9,10,7,6,10,9,10,9,10
16095,8,5,5,7,10,8,10,9,10
16096,9,8,8,6,9,8,10,10,10
16097,9,6,8,4,10,8,8,7,10
16098,9,4,5,4,9,8,8,7,10
16099,9,5,7,7,10,8,9,10,10
16100,7,0,0,4,8,6,8,8,10
16101,0,0,0,0,0,0,0,0,0
16102,6,4,4,4,10,4,5,6,9
16103,7,7,5,7,9,7,7,8,10
16104,9,8,7,8,10,7,8,8,10
16105,9,10,10,10,10,8,9,10,10
16106,9,4,6,5,8,8,8,9,10
16107,8,10,10,10,10,10,10,10,10
16108,8,10,10,10,10,10,10,9,10
16109,6,8,10,10,10,8,8,8,10
16110,8,10,10,10,10,10,10,10,10
16111,6,0,5,4,8,6,0,0,9
16112,8,10,10,9,10,10,10,10,10
16113,6,6,9,6,10,10,7,6,10
16114,8,10,9,10,10,10,9,9,10
16115,6,10,10,10,10,10,10,10,10
16116,7,10,9,9,10,10,7,10,10
16117,7,0,6,4,7,6,0,6,8
16118,5,5,0,0,7,0,0,0,10
16119,6,8,8,7,9,0,0,6,10
16120,6,6,7,5,8,8,6,6,10
16121,7,0,4,0,5,6,0,0,9
16122,7,10,10,10,10,10,10,10,10
16123,6,10,10,10,10,10,7,10,10
16124,5,10,10,10,10,10,9,10,10
16125,6,10,10,8,10,10,10,9,10
16126,5,9,10,8,10,7,7,9,10
16127,7,10,10,10,10,10,8,10,10
16128,7,8,9,10,10,9,6,9,10
16129,6,8,10,9,10,10,8,7,10
16130,7,10,10,10,10,8,8,10,10
16131,8,9,9,8,10,9,7,7,10
16132,6,10,9,8,10,8,8,8,10
16133,5,5,7,9,10,9,9,9,10
16134,0,0,5,5,8,6,0,0,8
16135,8,10,10,10,10,10,10,10,10
16136,5,8,8,0,10,8,8,9,10
16137,6,10,10,10,10,8,8,10,10
16138,5,8,8,8,9,10,8,9,10
16139,8,10,10,8,10,10,9,10,10
16140,9,10,10,10,10,10,10,10,10
16141,5,10,10,10,10,7,6,9,10
