Seat No,FC,BOT 1,BOT 2,BOT 3,BOT P,CHE 1,CHE 2,CHE 3,CHE P,Total
16001,57,49,40,40,100,43,40,40,132,541
16002,60,66,59,53,100,48,52,50,126,614
16003,63,14,17,20,61,11,22,40,83,331
16004,69,55,58,45,108,53,67,56,131,642
16005,59,71,46,55,115,54,48,53,131,632
16006,48,59,55,47,111,53,58,45,138,614
16007,68,50,49,42,106,40,40,40,129,564
16008,67,49,40,40,83,40,40,44,81,484
16009,76,71,60,57,113,49,49,65,118,658
16010,67,43,40,27,90,43,52,44,132,538
16011,64,77,52,55,117,47,55,77,138,682
16012,50,17,16,26,89,20,30,40,120,408
16013,61,40,46,40,98,44,40,40,113,522
16014,48,46,22,27,75,53,42,48,128,489
16015,65,75,65,42,109,74,72,72,142,716
16016,56,46,40,40,93,53,50,61,134,573
16017,70,58,57,40,93,73,76,64,140,671
16018,48,19,17,18,68,43,40,40,115,408
16019,61,56,73,41,119,77,80,70,145,722
16020,53,57,40,40,103,58,72,71,137,631
16021,69,54,49,40,94,65,59,78,134,642
16022,59,61,66,40,62,68,71,78,132,637
16023,45,49,41,40,83,55,48,67,131,559
16024,82,79,69,56,100,71,75,88,137,757
16025,77,58,42,40,114,54,63,64,130,642
16026,57,40,40,40,90,46,53,54,114,534
16027,68,56,82,55,118,66,63,75,147,730
16028,30,3,40,17,0,40,40,25,0,195
16029,69,55,48,20,84,62,73,73,135,619
16030,51,51,42,42,100,55,54,71,129,595
16031,70,73,69,49,113,68,73,81,142,738
16032,56,48,40,40,86,58,56,71,123,578
16033,66,61,47,40,91,53,64,57,135,614
16034,69,53,47,44,95,68,74,80,133,663
16035,52,40,46,40,79,63,62,60,142,584
16036,64,40,40,40,117,59,53,42,120,575
16037,59,41,41,47,131,71,56,53,120,619
16038,79,15,20,22,130,28,24,23,108,449
16039,62,40,29,53,130,55,53,55,123,600
16040,0,0,0,0,0,0,0,0,0,0
16041,66,64,77,70,137,93,71,75,147,800
16042,90,40,40,40,126,54,80,44,108,622
16043,52,40,29,27,130,34,30,35,107,484
16044,51,42,27,26,126,53,53,53,132,563
16045,16,19,22,21,0,27,22,34,124,285
16046,77,83,77,87,146,92,100,71,143,876
16047,58,16,20,25,104,55,58,28,108,472
16048,47,14,21,40,77,52,52,28,75,406
16049,50,55,63,69,123,57,52,87,138,694
16050,50,40,43,40,132,53,51,36,135,580
16051,61,40,40,55,124,80,58,54,139,651
16052,70,40,30,40,116,52,50,55,51,504
16053,53,72,77,84,132,78,93,91,140,820
16054,46,40,24,40,103,42,50,59,90,494
16055,79,89,80,77,130,82,96,75,135,843
16056,71,64,71,68,125,83,67,57,117,723
16057,62,41,46,24,68,66,18,52,35,412
16058,49,48,23,40,114,59,40,58,127,558
16059,52,19,28,25,115,71,28,49,106,493
16060,63,56,40,48,101,61,70,60,109,608
16061,76,40,40,57,120,74,42,50,119,618
16062,34,16,17,40,95,40,24,25,93,384
16063,52,20,28,42,132,43,48,41,121,527
16064,60,27,25,47,98,54,45,56,130,542
16065,47,27,40,41,121,40,49,4,112,481
16066,64,40,31,56,133,56,60,62,141,643
16067,65,40,40,28,101,51,61,69,128,583
16068,62,26,40,40,131,40,59,51,129,578
16069,21,6,30,25,0,19,22,40,0,163
16070,67,23,40,57,126,60,60,62,132,627
16071,53,26,40,27,126,40,40,23,112,487
16072,55,24,40,40,102,40,40,20,97,458
16073,43,26,30,43,127,47,52,43,113,524
16074,69,80,73,66,144,77,73,90,143,815
16075,45,24,31,40,112,40,40,45,105,482
16076,76,87,78,62,137,76,92,84,147,839
16077,65,76,57,64,127,70,83,89,144,775
16078,61,72,63,72,123,75,74,91,140,771
16079,69,50,40,46,139,48,54,42,123,611
16080,55,40,15,40,128,40,43,40,92,493
16081,71,40,28,40,134,49,68,60,129,619
16082,55,27,24,42,105,45,65,61,125,549
16083,74,40,40,40,132,45,59,49,123,602
16084,57,40,41,50,0,47,69,63,0,367
16085,48,20,31,14,117,40,46,47,108,471
16086,47,27,26,40,128,47,51,45,129,540
16087,47,11,15,22,115,26,40,40,101,417
16088,58,25,40,40,126,57,47,56,133,582
16089,68,64,45,49,144,56,71,73,137,707
16090,36,40,40,40,92,22,46,42,87,445
16091,59,64,81,66,130,65,73,56,141,735
16092,36,40,28,40,107,40,49,52,125,517
16093,77,60,52,50,126,66,72,71,139,713
16094,72,85,55,51,124,70,79,73,140,749
16095,62,46,49,59,121,66,78,75,141,697
16096,74,60,68,52,112,65,80,92,145,748
16097,74,54,60,40,130,67,66,58,142,691
16098,76,40,49,40,109,60,60,57,133,624
16099,72,46,58,57,120,62,74,79,139,707
16100,59,20,29,40,95,51,65,65,126,550
16101,0,0,0,0,0,0,0,0,0,0
16102,52,40,30,40,122,44,48,54,115,545
16103,58,57,46,57,111,55,59,63,136,642
16104,74,60,58,65,125,56,61,69,137,705
16105,74,82,79,83,121,61,73,87,139,799
16106,75,41,53,46,103,62,68,70,123,641
16107,65,94,96,99,144,98,93,87,138,914
16108,68,84,88,88,139,78,77,71,138,831
16109,53,64,87,80,143,67,62,63,134,753
16110,65,100,99,96,148,88,94,91,143,924
16111,50,19,47,40,91,53,31,37,107,475
16112,68,77,94,73,136,94,91,83,147,863
16113,50,50,76,53,120,84,55,54,129,671
16114,65,82,71,79,129,87,70,70,144,797
16115,54,90,97,90,140,93,83,84,136,867
16116,56,78,75,75,127,81,55,90,122,759
16117,56,30,54,41,86,54,37,50,92,500
16118,48,47,32,34,88,43,38,29,121,480
16119,51,62,65,56,110,22,36,50,132,584
16120,50,50,56,47,92,60,50,53,126,584
16121,58,20,43,26,73,52,29,44,115,460
16122,55,92,96,93,146,99,89,93,144,907
16123,54,82,92,100,150,85,58,86,142,849
16124,47,92,98,99,150,85,70,95,143,879
16125,51,81,84,69,137,92,80,72,134,800
16126,47,75,81,61,129,55,59,72,136,715
16127,56,89,98,88,147,88,68,91,143,868
16128,59,68,74,78,119,74,52,74,137,735
16129,52,64,79,72,119,82,63,59,143,733
16130,57,91,92,87,148,69,62,91,146,843
16131,64,74,71,61,120,75,58,56,140,719
16132,54,81,74,61,131,63,62,66,138,730
16133,48,48,58,70,135,75,76,74,142,726
16134,34,32,47,46,103,54,33,30,104,483
16135,60,100,99,94,150,97,81,96,145,922
16136,48,63,60,43,129,60,64,73,134,674
16137,53,83,89,78,144,68,69,89,146,819
16138,48,69,66,61,115,87,61,73,145,725
16139,64,84,90,68,133,95,70,86,134,824
