Seat No,CHE 1,CHE 2,CHE P,ZOO 1,ZOO 2,ZOO P,FC 2,PHY1,PHY2,PHYP,Total,CGPA
13001,8,8,20,8,16,20,14,0,12,20,126,0.00
13002,8,10,20,18,16,20,16,12,12,20,152,7.60
13004,8,10,20,16,18,20,16,12,10,18,148,7.40
13005,0,0,0,0,0,0,0,0,0,0,0,0.00
13006,0,0,16,8,12,18,12,12,12,20,110,0.00
13007,0,8,20,10,8,20,12,12,12,16,118,0.00
13008,16,16,18,20,20,20,20,18,20,20,188,9.40
13009,8,12,20,18,18,20,20,14,20,20,170,8.50
13010,0,8,20,16,18,20,18,12,14,20,146,0.00
13011,8,0,20,8,12,18,16,0,12,18,112,0.00
13012,0,0,8,16,18,20,12,10,0,18,102,0.00
13013,0,0,16,0,0,8,16,0,0,12,52,0.00
13014,14,8,18,18,18,20,18,16,14,20,164,8.20
13015,0,0,18,8,12,16,12,12,12,20,110,0.00
13016,0,0,0,0,0,0,0,0,0,0,0,0.00
13017,0,0,18,8,8,14,16,0,0,0,64,0.00
13018,10,14,8,14,20,20,20,12,14,20,152,7.60
13019,0,0,0,0,0,0,0,0,0,0,0,0.00
13020,0,0,12,8,14,0,10,0,12,14,70,0.00
13021,8,8,18,8,12,8,16,10,12,16,116,5.80
13022,16,14,18,16,18,20,18,16,20,20,176,8.80
13023,0,8,16,14,18,20,18,10,18,18,140,0.00
13024,0,0,20,0,0,0,0,0,0,18,38,0.00
13025,0,0,0,0,0,0,0,0,0,0,0,0.00
13026,12,8,20,18,18,20,20,18,18,20,172,8.60
13027,18,10,16,20,20,20,18,16,12,20,170,8.50
13028,8,8,16,8,16,8,14,14,12,20,124,6.20
13029,12,10,20,14,16,20,16,16,14,20,158,7.90
13030,8,0,20,14,16,18,16,0,14,20,126,0.00
13031,16,20,16,18,20,20,18,20,20,20,188,9.40
13032,0,0,16,14,16,12,20,0,10,20,108,0.00
13033,8,0,16,8,16,18,12,12,10,20,120,0.00
13034,0,0,0,0,0,0,0,0,0,0,0,0.00
13036,14,12,20,10,16,20,16,16,16,20,160,8.00
13037,0,0,0,0,0,0,0,0,0,0,0,0.00
13038,10,14,16,16,16,20,16,16,10,20,154,7.70
13039,16,18,18,18,18,20,20,20,16,20,184,9.20
13040,0,0,12,12,12,20,12,12,10,16,106,0.00
13041,8,10,18,12,14,20,16,14,14,20,146,7.30
13042,8,12,16,12,16,20,16,14,10,20,144,7.20
13043,8,12,14,16,12,16,20,16,16,20,150,7.50
13044,0,0,0,0,0,0,0,0,0,0,0,0.00
13045,0,0,20,0,0,10,10,0,0,8,48,0.00
13046,0,0,18,8,0,10,16,0,16,16,84,0.00
