Seat No,CHE 1,CHE 2,CHE P,ZOO 1,ZOO 2,ZOO P,FC 2,PHY1,PHY2,PHYP,Total
13001,43,42,87,44,69,90,58,37,52,83,605
13002,40,49,95,70,68,86,61,52,50,85,656
13004,40,48,77,61,74,79,64,52,49,74,618
13005,0,0,0,0,0,0,0,0,0,0,0
13006,15,19,65,42,54,74,53,51,51,82,506
13007,21,40,87,47,43,84,51,53,54,64,544
13008,65,65,75,82,84,95,83,76,92,93,810
13009,40,50,84,70,73,95,82,58,79,82,713
13010,23,40,80,65,70,95,73,54,59,90,649
13011,40,21,80,44,53,78,66,39,51,78,550
13012,22,27,44,61,77,85,53,47,29,74,519
13013,21,20,66,0,0,42,64,21,31,53,318
13014,58,41,73,75,73,78,71,67,57,80,673
13015,18,26,79,43,52,67,51,51,53,84,524
13016,0,0,0,0,0,0,0,0,0,0,0
13017,11,25,71,40,42,57,63,24,27,15,375
13018,49,59,36,57,77,90,77,53,58,84,640
13019,0,0,0,0,0,0,0,0,0,0,0
13020,22,30,54,42,57,31,48,33,50,57,424
13021,40,44,79,40,52,32,67,48,50,66,518
13022,61,56,75,60,71,87,70,63,80,81,704
13023,24,40,68,56,71,87,74,49,73,78,620
13024,10,9,85,15,16,14,43,22,28,73,315
13025,0,0,0,0,0,0,0,0,0,0,0
13026,50,40,86,74,73,87,79,74,75,91,729
13027,71,47,61,77,80,89,76,64,53,85,703
13028,40,40,65,41,60,42,59,57,52,77,533
13029,50,48,83,59,69,83,68,69,59,77,665
13030,40,28,81,59,66,72,63,33,59,93,594
13031,63,80,69,73,87,93,72,81,81,92,791
13032,16,12,66,57,68,54,85,24,49,81,512
13033,40,22,65,40,65,72,51,51,48,81,535
13034,0,0,0,0,0,0,0,0,0,0,0
13036,59,52,86,49,65,91,62,62,61,82,669
13037,0,0,0,0,0,0,0,0,0,0,0
13038,49,57,66,66,67,78,65,63,49,82,642
13039,68,71,70,73,72,93,86,95,67,95,790
13040,18,27,52,51,52,81,51,52,48,69,501
13041,40,47,72,51,55,84,62,56,55,84,606
13042,40,53,69,51,61,81,66,57,47,77,602
13043,44,52,56,68,50,67,77,64,62,95,635
13044,0,0,0,0,0,0,0,0,0,0,0
13045,12,15,89,18,18,47,47,19,33,40,338
13046,25,28,75,40,27,49,68,36,63,61,472
13047,25,18,68,23,40,59,63,29,27,80,432
13048,40,40,52,53,59,73,60,62,30,90,559
13049,40,40,53,40,21,48,52,37,51,53,435
13050,15,12,0,3,5,31,12,0,21,47,146
13051,0,0,0,0,0,0,0,0,0,0,0
13052,40,26,66,27,40,73,48,33,50,89,492
13053,0,0,0,0,0,0,0,0,0,0,0
13054,0,0,0,0,0,0,0,0,0,0,0
13055,64,41,95,59,58,86,77,69,61,90,700
13056,57,57,81,52,40,85,68,67,68,71,646
13057,41,49,81,65,51,77,72,50,55,81,622
13058,23,23,57,13,40,51,50,27,30,65,379
13059,13,18,0,15,17,0,31,1,29,0,124
13060,24,42,66,42,45,78,78,53,65,92,585
13061,16,25,59,10,20,44,57,49,50,49,379
13062,68,67,84,59,52,89,69,63,72,98,721
13063,52,51,82,68,61,90,76,51,66,90,687
13064,40,53,89,40,49,72,69,51,45,58,566
13065,40,44,92,53,47,76,75,59,53,79,618
13066,53,51,66,59,64,89,81,67,68,94,692
13067,40,26,50,21,44,64,68,33,35,81,462
13068,14,40,0,18,40,0,50,27,30,0,219
13069,0,0,0,0,0,0,0,0,0,0,0
13070,20,40,63,41,26,61,69,50,55,80,505
13071,23,17,39,40,13,53,75,37,49,57,403
13072,0,0,0,0,0,0,0,0,0,0,0
13073,8,8,34,14,21,40,49,28,31,42,275
