Seat No,DSA,PYTH,LINUX,OST,DMT,DST,SS,PR101,PR102,PR103,PR104,PR105,PR106,Total
20001,48,57,53,47,48,51,50,32,46,46,47,32,36,593
20002,22,18,41,40,33,57,10,0,0,0,0,0,0,221
20003,70,77,75,63,77,76,56,46,50,42,48,39,42,761
20004,63,69,48,58,38,25,18,0,0,0,0,0,0,319
20005,54,40,52,51,56,64,46,38,33,35,48,25,35,577
20006,32,24,22,46,24,29,58,32,23,12,35,20,35,392
20007,55,46,50,53,65,53,63,46,30,33,40,43,33,610
20008,42,49,32,53,33,51,57,35,24,24,42,20,13,475
20009,63,82,69,70,72,71,65,48,34,41,45,43,44,747
20010,42,20,17,56,25,35,50,20,12,32,25,15,20,369
20011,12,10,11,10,16,10,18,0,0,0,0,0,0,87
20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20013,11,12,11,10,17,13,18,0,0,0,0,0,0,92
20014,50,15,43,50,34,44,46,46,30,21,38,34,28,479
20015,28,23,25,40,26,41,50,48,13,23,31,20,29,397
20016,22,19,18,25,13,21,42,27,11,7,20,14,12,251
20017,24,12,22,22,14,16,47,43,16,10,44,23,21,314
20018,43,53,63,47,46,51,48,48,35,46,48,30,30,588
20019,55,50,61,60,45,45,63,45,37,37,48,38,31,615
20020,49,27,49,42,22,27,52,28,20,35,40,21,34,446
20021,42,30,49,40,26,45,53,46,20,24,38,20,20,453
20022,15,24,24,25,10,19,44,26,27,13,46,6,20,299
20023,40,53,47,50,28,29,58,25,40,30,33,20,21,474
20024,41,26,56,42,31,40,45,48,11,14,42,20,29,445
20025,15,19,20,11,19,12,17,0,0,0,0,0,0,113
20026,27,15,20,25,13,19,45,42,9,10,42,22,20,309
20027,13,17,14,14,15,14,14,0,0,0,0,0,0,101
20028,45,29,50,45,19,25,51,48,22,22,37,22,33,448
20029,16,10,14,13,17,16,16,15,5,5,20,4,7,158
20030,72,77,76,74,63,70,67,48,37,33,43,39,40,739
20031,57,76,73,51,58,39,60,48,47,46,46,32,43,676
20032,41,22,30,41,25,30,49,46,24,7,20,8,13,356
20033,48,44,52,60,41,37,56,42,32,27,45,28,20,532
20034,71,92,79,74,91,80,64,49,50,48,48,49,49,844
20035,32,62,62,49,56,50,47,44,44,47,32,26,36,587
20036,47,27,56,45,32,47,55,48,37,32,32,40,28,526
20037,46,30,53,45,23,45,56,35,22,32,46,22,9,464
20038,10,3,14,12,10,12,15,0,0,0,0,0,0,76
20039,59,52,46,43,31,43,51,48,32,21,46,40,37,549
20040,44,36,33,30,16,27,45,44,20,24,42,21,20,402
20041,34,16,34,35,19,27,45,45,33,20,44,10,29,391
20042,46,24,48,66,27,40,60,45,20,25,43,20,27,491
20043,47,30,51,51,46,31,46,42,35,45,46,10,28,508
20044,57,62,68,63,54,60,69,40,30,36,32,31,47,649
20045,45,48,45,29,26,43,48,25,34,20,30,20,30,443
20046,72,83,65,53,76,81,63,49,50,36,46,45,49,768
20047,45,47,44,43,45,30,60,45,30,35,42,20,26,512
20048,47,17,29,33,31,32,52,45,20,36,40,29,39,450
20049,40,15,22,23,19,28,44,43,10,37,25,15,7,328
20050,30,21,29,22,28,31,14,40,12,5,30,20,32,314
20051,42,27,39,37,28,36,45,28,32,37,45,23,22,441
20052,49,41,55,54,43,31,56,48,14,29,46,26,29,521
20053,44,25,26,41,42,43,54,37,20,26,46,28,35,467
20054,69,80,79,70,74,85,69,46,25,41,42,44,47,771
20055,26,22,40,40,34,32,53,48,20,28,44,25,15,427
20056,32,20,40,40,37,34,57,45,26,36,38,20,41,466
20057,46,42,42,42,47,32,48,45,14,29,36,29,27,479
20058,52,54,63,45,66,45,61,49,50,38,37,40,43,643
20059,57,46,66,44,50,71,55,46,31,37,46,44,46,639
20060,24,12,22,13,18,21,51,12,10,27,44,6,20,280
20061,56,58,66,47,62,71,56,49,46,34,46,41,49,681
20062,27,17,48,40,15,35,55,13,13,20,38,16,21,358
20063,25,6,21,21,12,19,46,20,14,16,20,6,23,249
