Seat No,OBJEC,FUNDA,WEB A,NUMER,GIT,OB PR,FUNPR,WD PR,NM PR,SQ PR
19001,0,0,0,0,0,0,0,0,0,0
19002,0,4,7,4,4,4,4,6,6,4
19003,0,0,5,0,0,4,6,6,6,6
19004,0,0,0,0,0,0,0,0,0,0
19005,6,4,5,8,5,10,10,7,9,10
19006,10,9,9,10,8,10,10,10,10,10
19007,0,0,0,0,0,0,0,0,0,0
19008,8,4,7,8,4,10,5,4,6,6
19009,8,7,8,7,5,8,4,10,10,8
19010,8,10,10,9,6,10,9,10,9,10
19011,4,4,4,4,0,6,4,6,4,4
19012,6,4,6,4,0,0,7,8,8,4
19013,8,6,8,10,4,10,9,10,10,10
19014,4,4,5,4,5,4,7,8,8,6
19015,8,5,8,8,4,8,7,10,9,9
19016,0,0,0,0,0,0,0,0,0,0
19017,10,8,10,10,10,10,10,10,10,10
19018,0,4,5,4,4,4,7,6,8,8
19019,4,0,4,4,0,4,7,8,4,7
19020,6,4,8,8,5,7,4,8,10,7
19021,8,5,7,5,4,7,4,4,6,6
19022,6,5,4,4,0,8,8,6,9,4
19023,0,0,0,0,0,0,6,0,4,4
19024,8,4,8,10,4,9,4,9,10,10
19025,5,4,0,4,6,0,4,6,8,8
19026,4,5,4,4,4,4,4,6,4,4
19027,5,4,8,4,4,5,0,4,4,9
19028,7,8,6,7,6,4,6,10,9,6
19029,0,0,0,0,0,0,0,0,0,0
19030,6,0,7,9,4,7,6,10,10,6
19031,8,8,9,4,5,4,8,6,4,8
19032,10,9,10,10,9,10,10,10,10,10
19033,0,0,0,0,0,4,6,6,4,0
19034,4,0,4,4,0,4,10,6,4,6
19035,7,4,8,7,4,10,10,10,10,8
19036,5,0,4,0,0,4,4,9,10,4
19037,0,0,0,0,0,0,0,0,0,0
19038,9,8,8,7,8,4,6,10,9,10
19039,10,9,10,10,10,10,10,10,10,10
19040,0,0,6,0,0,6,0,4,4,4
19041,0,0,4,0,0,4,5,6,4,0
19042,0,0,0,0,0,0,0,0,0,0
19043,0,0,7,4,5,8,4,5,6,4
19044,5,0,8,8,5,10,6,9,8,8
19045,0,0,0,0,0,0,0,0,0,0
19046,10,6,10,8,9,10,10,10,10,10
19047,10,8,9,10,8,8,6,10,10,10
19048,8,6,6,7,6,8,4,10,10,10
19049,4,4,6,6,6,6,10,5,6,10
19050,8,6,10,7,9,10,10,9,8,10
19051,0,0,0,0,0,0,0,0,0,0
19052,0,0,0,0,0,0,0,0,0,0
19053,0,0,0,0,0,0,0,0,0,0
19054,4,4,4,6,0,4,4,4,8,4
19055,0,0,0,0,0,0,0,0,0,0
19056,7,4,6,7,4,10,9,10,8,10
19057,0,0,0,0,0,0,0,0,0,0
19058,5,8,9,8,7,10,9,10,10,10
19059,8,5,8,7,4,4,10,8,6,6
19060,5,4,6,0,4,4,10,6,9,0
19061,6,4,6,7,4,6,6,9,6,9
19062,0,0,0,0,4,4,10,4,6,0
19063,0,0,0,0,4,5,4,4,6,4
19064,0,0,0,0,0,0,0,0,0,0
19065,4,0,0,4,4,7,0,6,4,8
19066,7,6,5,7,6,8,4,10,10,6
19067,4,0,0,6,4,6,6,10,6,6
19068,4,0,5,4,4,6,0,5,6,4
19069,9,8,5,9,8,4,10,9,10,10
19070,0,0,0,0,0,0,0,0,0,0
19071,5,4,6,7,5,4,6,10,10,8
19072,6,6,6,8,4,4,6,9,10,8
19073,0,0,0,5,0,4,0,4,9,0
19074,10,8,9,9,9,8,10,10,10,10
19075,4,0,4,4,4,0,6,0,6,0
19076,5,0,5,6,4,9,4,9,5,4
19077,5,5,7,4,5,4,4,6,6,4
19078,0,0,0,0,0,0,0,0,0,0
19079,0,0,4,0,4,0,6,6,6,0
19080,0,0,0,0,0,4,9,6,0,4
19081,9,4,10,8,9,10,9,10,10,10
19082,4,5,7,0,4,4,4,9,4,0
19083,7,5,9,7,4,10,8,10,5,10
19084,10,10,10,10,10,10,10,10,10,10
19085,4,4,0,6,4,7,9,9,6,10
19086,5,0,7,4,0,7,8,6,8,7
19087,9,7,10,9,4,10,8,10,10,8
19088,8,6,8,7,6,8,10,10,10,10
19089,10,10,10,10,7,10,10,10,10,10
19090,0,0,0,0,0,0,0,0,0,0
19091,6,0,8,7,4,10,8,7,10,6
19092,10,10,10,10,10,10,10,10,10,10
19093,10,10,10,10,10,10,10,10,10,10
19094,0,0,0,0,0,0,0,0,0,0
19095,8,5,8,8,5,4,6,10,6,4
19096,0,0,7,4,0,4,4,6,6,4
19097,0,0,0,0,0,0,0,0,0,0
19098,4,0,4,4,5,4,9,6,9,6
19099,8,9,10,10,10,10,10,10,10,10
19100,4,0,6,4,5,0,0,6,4,8
19101,4,4,5,6,0,4,6,9,4,4
19102,9,8,8,9,9,10,10,10,10,10
19103,0,0,0,0,0,0,0,0,0,0
19104,0,0,0,0,0,0,0,0,0,0
19105,4,4,5,5,4,4,6,7,6,4
19106,0,4,5,4,4,5,8,6,6,6
19107,5,4,4,4,0,6,4,0,4,0
19108,4,0,4,4,4,8,9,4,4,4
19109,9,6,10,5,9,10,10,10,10,10
19110,6,4,9,5,8,4,10,10,6,9
19111,0,0,0,0,0,0,0,0,0,0
19112,8,5,9,6,7,8,4,8,7,10
19113,7,4,6,5,4,8,6,4,9,4
19114,10,4,10,8,5,10,10,10,10,10
19115,9,9,10,8,10,8,10,10,10,10
19116,0,0,4,0,0,0,0,0,0,8
19117,10,7,7,8,5,10,10,7,4,10
19118,9,8,9,8,5,10,10,10,8,10
19119,0,0,0,0,0,0,4,5,4,0
