Seat No,FC,BOT1,BOT2,BOT3,BOT P,CHE1,CHE2,CHE3,CHE P,Total,CGPA
16001,10,8,12,10,30,8,8,10,30,126,6.30
16002,10,0,0,8,24,0,0,0,24,66,0.00
16003,12,8,8,8,21,12,12,10,30,121,6.05
16004,0,8,8,0,27,0,0,0,27,70,0.00
16005,10,8,8,0,27,0,0,8,30,91,0.00
16006,12,8,8,0,18,0,8,0,24,78,0.00
16007,14,12,0,8,24,8,8,8,27,109,0.00
16008,16,20,16,16,30,16,16,16,30,176,8.80
16009,12,10,8,8,30,8,8,8,30,122,6.10
16010,12,10,8,8,21,0,8,0,21,88,0.00
16011,0,12,8,10,24,8,10,8,27,107,0.00
16012,14,12,8,8,24,8,8,8,30,120,6.00
16013,10,14,10,8,12,0,8,8,27,97,0.00
16014,16,14,18,12,24,8,8,8,27,135,6.75
16015,0,0,0,8,21,0,8,8,27,72,0.00
16016,16,16,16,8,27,16,16,16,30,161,8.05
16017,14,8,12,12,24,8,14,14,30,136,6.80
16018,0,0,0,8,21,0,8,8,30,75,0.00
16019,16,20,16,18,30,20,20,20,30,190,9.50
16020,16,18,10,12,30,16,14,18,30,164,8.20
16021,20,20,20,14,30,20,16,20,30,190,9.50
16022,10,8,10,8,27,10,8,0,27,108,0.00
16023,0,16,12,10,27,14,14,0,30,123,0.00
16024,0,0,0,8,24,8,0,0,30,70,0.00
16025,12,0,8,8,27,0,0,8,24,87,0.00
16026,0,0,0,0,0,0,0,0,0,0,0.00
16027,12,10,8,8,30,10,10,8,30,126,6.30
16028,18,8,8,8,30,8,8,8,30,126,6.30
16029,0,0,0,0,0,0,0,0,0,0,0.00
16030,16,8,8,8,30,8,8,8,30,124,6.20
16031,0,0,0,0,0,0,0,0,0,0,0.00
16032,0,0,0,0,0,0,0,0,0,0,0.00
16033,10,0,0,8,21,8,8,8,12,75,0.00
16034,0,8,8,0,27,0,0,0,30,73,0.00
16035,0,0,0,0,21,0,0,0,21,42,0.00
16036,8,8,12,8,30,8,0,8,24,106,0.00
16037,16,18,12,18,30,14,20,16,30,174,8.70
16038,0,0,0,0,0,0,0,0,0,0,0.00
16039,10,8,10,8,30,8,8,8,30,120,6.00
16040,18,14,8,8,30,8,8,8,24,126,6.30
16041,10,8,12,8,27,14,14,12,24,129,6.45
16042,0,0,0,0,0,0,0,0,12,12,0.00
16043,0,0,0,0,0,0,0,0,0,0,0.00
16044,12,12,10,14,30,8,16,12,30,144,7.20
16045,18,12,0,8,30,14,8,12,27,129,0.00
16046,14,8,8,14,27,10,16,8,30,135,6.75
16047,0,8,0,0,30,0,0,0,24,62,0.00
16048,16,8,12,0,27,0,0,8,27,98,0.00
16049,16,14,12,10,30,0,14,8,27,131,0.00
16050,16,14,14,12,30,8,10,10,30,144,7.20
16051,10,8,18,12,30,8,10,0,30,126,0.00
16052,10,8,0,8,27,8,8,0,24,93,0.00
16053,14,8,14,12,30,12,12,10,30,142,7.10
16054,14,14,16,16,30,18,20,16,30,174,8.70
16055,12,0,0,8,27,8,0,0,27,82,0.00
16056,0,0,0,0,0,0,0,0,0,0,0.00
16057,10,16,10,8,27,10,10,16,30,137,6.85
16058,0,12,14,12,27,12,10,8,30,125,0.00
16059,10,8,10,8,27,8,12,8,30,121,6.05
16060,10,16,14,10,30,18,12,14,30,154,7.70
16061,12,10,16,8,30,14,14,16,30,150,7.50
16062,12,0,0,8,27,8,8,18,30,111,0.00
16063,16,0,8,8,21,14,12,14,30,123,0.00
16064,0,0,0,0,0,0,0,0,0,0,0.00
16065,10,8,12,12,30,20,16,20,30,158,7.90
16066,12,0,8,0,30,8,8,14,30,110,0.00
16067,0,0,0,0,30,0,0,8,21,59,0.00
16068,10,0,0,0,27,0,0,8,30,75,0.00
16069,18,20,20,16,30,14,20,20,30,188,9.40
16070,0,0,0,0,24,8,12,14,30,88,0.00
16071,16,14,8,10,30,16,12,18,30,154,7.70
16072,12,0,8,0,30,8,8,12,30,108,0.00
16073,12,0,0,0,30,0,8,8,30,88,0.00
16074,12,0,0,8,27,8,8,10,27,100,0.00
16075,12,12,8,12,30,12,10,16,30,142,7.10
16076,14,20,18,20,30,20,20,20,30,192,9.60
16077,12,8,8,10,30,14,14,20,27,143,7.15
16078,10,8,0,8,30,12,8,16,27,119,0.00
16079,0,0,14,10,27,10,10,12,30,113,0.00
16080,0,0,8,0,18,0,0,8,24,58,0.00
16081,0,0,0,8,27,0,0,8,24,67,0.00
16082,12,0,0,8,24,14,8,10,27,103,0.00
16083,12,8,8,8,30,8,8,14,30,126,6.30
16084,10,0,0,0,18,8,8,8,27,79,0.00
16085,0,0,0,0,27,8,8,8,24,75,0.00
16086,12,0,0,8,30,12,16,12,30,120,0.00
16087,0,0,8,8,24,18,12,20,30,120,0.00
16088,10,0,0,0,24,0,0,8,24,66,0.00
16089,0,0,0,0,0,0,0,0,0,0,0.00
16090,16,18,18,16,30,18,20,18,30,184,9.20
16091,14,8,12,16,27,18,14,20,30,159,7.95
16092,16,18,18,20,30,20,20,20,30,192,9.60
16093,0,0,0,0,0,0,0,0,0,0,0.00
16094,10,8,0,0,24,10,8,10,27,97,0.00
16095,0,0,0,0,18,8,0,8,24,58,0.00
16096,12,8,8,8,30,12,8,18,27,131,6.55
16097,12,8,10,10,24,12,16,12,30,134,6.70
16098,16,8,10,8,30,16,12,16,30,146,7.30
16099,12,0,0,8,24,8,8,10,30,100,0.00
