Seat No,FC,BOT1,BOT2,BOT3,BOT P,CHE1,CHE2,CHE3,CHE P,Total
16001,45,43,54,45,117,44,40,46,119,553
16002,47,26,20,40,99,13,23,20,92,380
16003,54,40,43,40,84,53,53,48,135,550
16004,34,40,43,21,105,19,11,27,116,416
16005,49,40,41,26,106,28,14,40,123,467
16006,52,40,42,24,77,29,40,19,101,424
16007,59,51,22,40,99,41,40,43,108,503
16008,61,81,64,64,129,60,68,69,127,723
16009,53,47,40,40,126,40,40,40,131,557
16010,50,45,40,40,86,19,40,21,86,427
16011,36,54,40,46,96,40,46,40,114,512
16012,58,53,40,43,102,40,40,40,125,541
16013,45,58,45,40,64,27,40,40,117,476
16014,68,57,70,50,98,42,40,42,110,577
16015,39,26,24,40,84,16,42,40,115,426
16016,62,60,63,42,114,68,66,66,140,681
16017,58,42,51,53,98,40,57,59,129,587
16018,38,20,8,40,85,28,40,40,129,428
16019,65,80,67,72,131,80,79,83,143,800
16020,66,74,45,53,122,60,55,73,143,691
16021,79,80,86,55,125,78,67,93,145,808
16022,45,44,46,40,114,46,40,29,116,520
16023,32,64,54,47,116,57,58,25,132,585
16024,36,27,15,40,99,40,23,16,127,423
16025,54,22,40,40,107,28,25,43,99,458
16026,0,0,0,0,0,0,0,0,0,0
16027,50,45,40,40,120,48,45,40,132,560
16028,70,41,40,40,123,42,40,40,131,567
16029,0,0,0,0,0,0,0,0,0,0
16030,60,40,30,40,133,40,40,40,124,547
16031,0,0,0,0,0,0,0,0,0,0
16032,0,0,0,0,0,0,0,0,0,0
16033,49,21,30,40,86,40,40,41,60,407
16034,31,40,40,20,114,20,14,24,126,429
16035,32,28,27,14,83,11,16,14,89,314
16036,44,40,51,40,127,40,4,43,100,489
16037,62,74,50,74,130,59,86,60,140,735
16038,0,0,0,0,0,0,0,0,0,0
16039,48,40,46,40,130,40,40,40,134,558
16040,71,59,44,42,122,40,40,40,101,559
16041,48,40,53,40,112,59,59,51,92,554
16042,33,16,22,20,0,20,12,3,60,186
16043,0,0,0,0,0,0,0,0,0,0
16044,53,50,46,59,119,41,63,50,138,619
16045,70,54,26,40,120,55,40,53,111,569
16046,56,41,40,55,112,46,60,40,125,575
16047,32,40,26,18,125,20,6,23,102,392
16048,64,40,52,24,113,12,20,40,114,479
16049,61,56,50,46,123,0,55,42,110,543
16050,61,56,55,50,118,40,47,49,141,617
16051,48,40,70,54,124,41,45,26,123,571
16052,46,40,31,40,114,44,40,7,92,454
16053,56,40,55,53,137,50,51,49,140,631
16054,59,57,61,60,121,74,82,61,140,715
16055,51,25,5,40,105,40,17,21,108,412
16056,28,0,15,0,0,20,16,5,0,84
16057,46,60,47,43,116,49,45,61,129,596
16058,37,54,58,53,118,52,45,41,127,585
16059,47,40,48,40,109,40,50,40,135,549
16060,48,62,57,45,138,72,50,59,134,665
16061,50,46,60,44,133,59,55,65,143,655
16062,52,5,18,40,105,40,40,71,130,501
16063,61,29,41,40,84,58,51,59,137,560
16064,0,0,0,0,0,0,0,0,0,0
16065,46,41,52,53,133,77,69,77,132,680
16066,54,25,40,21,122,40,40,58,121,521
16067,40,12,10,9,125,20,18,40,86,360
16068,49,12,7,8,117,24,19,40,125,401
16069,70,78,80,69,132,59,77,89,147,801
16070,39,25,28,21,95,40,50,56,129,483
16071,60,55,44,48,140,69,53,73,139,681
16072,52,16,40,24,127,43,40,53,133,528
16073,50,23,24,28,130,18,40,40,123,476
16074,51,20,28,40,116,40,43,48,115,501
16075,43,53,40,51,135,52,47,65,123,609
16076,59,83,70,81,119,97,90,90,137,826
16077,53,40,40,45,130,58,57,80,111,614
16078,47,40,28,40,124,52,40,65,110,546
16079,41,29,57,47,119,49,46,50,123,561
