Seat No,TOC,TOCPR,CN,CNPR,SE,SEPR,IOT,IOTPR,ANDAD,ANDPR,ADVAD,ADVPR,RM
25001,5,10,5,10,5,10,5,10,8,10,6,10,5
25002,7,9,6,10,4,9,7,10,9,10,8,8,6
25003,7,10,8,10,5,10,6,10,9,10,8,10,6
25004,0,10,4,10,0,8,5,8,5,10,0,8,5
25005,5,10,7,10,6,10,7,10,10,10,7,8,8
25006,6,10,6,10,5,8,9,10,10,9,8,8,7
25007,0,4,0,10,0,9,4,10,4,8,0,4,4
25008,7,8,6,10,6,10,8,10,9,10,9,6,7
25009,8,10,7,10,8,10,8,10,9,10,10,10,9
25010,4,10,0,10,4,9,5,9,6,10,5,9,5
25011,8,10,7,10,9,10,9,10,10,10,10,9,8
25012,6,8,7,10,8,10,10,10,7,8,8,8,8
25013,8,10,6,10,6,10,9,10,8,10,7,9,6
25014,5,0,5,10,5,10,6,10,6,9,4,8,5
25015,5,10,7,10,6,10,8,10,8,10,8,10,8
25016,7,10,6,10,6,10,8,10,7,10,10,5,8
25017,8,10,8,10,7,10,9,10,9,10,8,10,7
25018,0,9,6,9,4,9,4,10,5,10,6,8,4
25019,0,10,5,10,6,10,8,10,8,4,7,9,7
25020,6,6,5,10,4,9,5,4,4,4,7,0,4
25021,6,7,6,10,6,9,6,10,8,10,6,5,4
25022,10,9,10,10,9,10,9,10,9,10,10,10,8
25023,5,9,5,9,4,9,0,10,5,7,0,8,4
25024,10,10,7,10,7,10,7,10,6,8,7,8,5
25025,6,10,6,10,8,10,7,10,8,10,8,8,7
25026,8,10,7,10,6,10,8,10,7,10,9,10,6
25027,8,10,5,10,7,9,8,10,7,10,9,8,6
25028,8,8,7,10,8,10,9,10,8,8,9,6,7
25029,7,10,0,10,5,10,0,10,5,10,5,7,4
25030,4,6,0,9,5,8,0,7,0,7,0,8,5
25031,9,10,8,10,8,10,8,10,9,10,10,10,8
25032,5,9,5,10,5,10,5,10,5,10,0,0,6
25033,7,10,6,10,6,8,7,10,8,10,8,7,5
25034,8,10,8,10,7,10,7,10,7,4,9,9,8
25035,5,10,6,10,6,10,7,10,5,10,8,6,8
25036,4,4,4,10,5,7,4,8,6,10,5,8,5
25037,7,10,5,10,6,10,6,8,7,10,8,4,7
25038,4,10,4,8,4,10,5,7,4,8,5,8,4
25039,7,10,7,10,8,10,8,10,6,10,8,10,6
25040,5,0,5,10,6,10,5,6,4,9,5,6,6
25041,5,10,5,10,4,8,5,5,7,10,5,4,5
25042,5,9,0,10,5,10,4,8,5,10,0,4,4
25043,4,10,6,10,5,10,6,10,8,10,6,10,5
25044,0,4,0,8,5,8,6,4,6,4,0,0,5
25045,4,10,5,10,6,10,6,4,8,10,4,9,5
25046,8,10,4,10,7,10,9,10,9,10,7,10,8
25047,6,10,8,10,7,10,8,10,9,10,8,10,7
25048,7,10,5,10,7,10,8,10,9,10,8,9,9
25049,5,10,5,10,5,9,7,5,8,10,7,8,6
25050,0,6,0,10,5,10,5,9,4,10,4,8,5
25051,7,10,6,10,7,10,6,10,9,8,9,10,8
25052,5,6,6,10,5,10,8,4,9,10,4,4,5
25053,6,7,7,8,5,10,7,7,8,8,8,8,7
25054,0,0,0,0,0,0,0,0,0,0,0,0,0
25055,8,10,8,10,8,10,10,10,10,10,8,9,8
