Seat No,JAVA,CJP,IES,IESP,CST,CSTP,SE,SEP,CGA,CGAP,Total,CGPA
24001,8,10,14,12,14,20,8,20,10,16,132,6.60
24002,0,0,8,16,12,16,8,8,10,8,86,0.00
24003,18,20,20,20,20,20,14,20,20,20,192,9.60
24004,0,0,0,8,0,12,0,10,10,14,54,0.00
24005,0,0,0,8,0,10,0,8,8,12,46,0.00
24006,10,16,0,18,10,20,8,20,8,20,130,0.00
24007,16,8,20,20,16,20,12,20,20,20,172,8.60
24008,0,0,0,0,0,0,8,8,10,8,34,0.00
24009,16,14,20,20,20,20,12,20,14,20,176,8.80
24010,8,0,0,10,12,20,0,8,0,8,66,0.00
24011,0,8,8,18,0,8,0,8,10,8,68,0.00
24012,0,0,0,12,8,8,0,12,0,0,40,0.00
24013,0,8,0,8,0,0,0,8,8,0,32,0.00
24014,8,8,8,18,14,20,0,20,12,18,126,0.00
24015,12,0,10,20,0,12,10,20,12,16,112,0.00
24016,12,16,10,18,8,8,0,8,10,20,110,0.00
24017,12,8,16,16,20,18,8,20,20,18,156,7.80
24018,10,12,10,14,14,18,0,16,18,20,132,0.00
24019,20,20,20,20,20,20,16,20,20,20,196,9.80
24020,8,0,10,14,0,16,0,18,10,18,94,0.00
24021,12,18,16,20,18,20,8,20,16,20,168,8.40
24022,0,8,0,0,10,8,0,20,8,14,68,0.00
24023,0,8,0,18,0,20,0,16,8,18,88,0.00
24024,8,8,0,16,12,16,8,20,8,14,110,0.00
24025,0,0,0,8,12,16,0,16,0,8,60,0.00
24026,12,16,8,12,14,20,8,16,12,20,138,6.90
24027,0,8,0,8,10,16,0,12,12,18,84,0.00
24028,0,8,0,8,0,20,0,12,0,16,64,0.00
24029,8,12,8,20,12,20,8,20,16,20,144,7.20
24030,16,20,14,20,20,20,8,20,14,20,172,8.60
24031,12,20,12,20,16,20,8,20,14,20,162,8.10
24032,8,16,16,20,14,20,10,14,18,20,156,7.80
24033,16,20,20,20,18,20,12,20,18,20,184,9.20
24034,14,8,12,20,16,16,8,20,14,20,148,7.40
24035,0,8,8,18,0,10,0,16,0,8,68,0.00
24036,0,0,8,18,10,18,0,20,12,18,104,0.00
24037,0,8,0,12,10,14,0,16,12,12,84,0.00
24038,0,12,8,20,10,20,0,8,12,18,108,0.00
24039,14,20,20,20,20,20,12,20,14,20,180,9.00
24040,10,16,12,20,18,16,10,20,16,20,158,7.90
24041,0,8,0,12,8,16,0,16,10,12,82,0.00
24042,0,0,0,0,0,0,0,0,0,0,0,0.00
24043,0,0,0,12,8,16,0,18,10,12,76,0.00
24044,8,8,12,16,10,12,0,20,0,8,94,0.00
24045,8,0,0,0,8,14,0,18,0,8,56,0.00
24046,16,10,18,20,20,20,10,20,20,20,174,8.70
24047,8,8,12,12,16,20,0,20,16,20,132,0.00
24048,16,16,20,20,18,20,10,20,16,20,176,8.80
24049,0,0,0,0,0,8,0,8,0,0,16,0.00
24050,10,8,14,20,14,20,0,20,12,20,138,0.00
24051,18,18,16,20,20,20,14,20,20,20,186,9.30
24052,18,20,16,20,18,20,12,20,16,20,180,9.00
24053,20,20,20,20,20,20,16,20,20,20,196,9.80
24054,12,8,8,20,14,20,8,20,14,20,144,7.20
24055,0,0,0,14,0,8,0,8,0,12,42,0.00
24056,20,20,16,20,20,20,10,20,16,20,182,9.10
24057,16,20,14,20,20,20,16,20,20,20,186,9.30
24058,0,0,0,16,12,12,0,18,8,18,84,0.00
