Seat No,EMFS,POM,FA,BC,FC1,BE,QM,Total,CGPA
17001,0,15,27,0,8,0,27,77,0.00
17002,24,24,30,27,16,24,30,175,8.75
17003,12,18,30,24,10,0,30,124,0.00
17004,15,18,30,21,8,15,24,131,6.55
17005,0,18,27,21,0,12,27,105,0.00
17006,0,12,18,12,8,0,18,68,0.00
17007,21,18,24,24,12,15,27,141,7.05
17008,27,24,30,30,14,30,30,185,9.25
17009,0,0,12,15,0,0,12,39,0.00
17010,18,24,30,24,16,18,30,160,8.00
17011,0,15,24,12,8,0,24,83,0.00
17012,0,12,21,18,0,0,18,69,0.00
17013,0,12,15,15,0,0,27,69,0.00
17014,0,15,24,21,8,0,15,83,0.00
17015,0,0,0,21,8,0,0,29,0.00
17016,12,21,30,27,10,15,30,145,7.25
17017,12,18,21,24,10,12,12,109,5.45
17018,0,12,24,12,0,0,24,72,0.00
17019,12,0,27,12,0,0,24,75,0.00
17020,15,24,27,27,10,18,27,148,7.40
17021,15,24,30,27,12,21,30,159,7.95
17022,15,24,30,24,14,15,30,152,7.60
17023,18,18,24,24,10,0,27,121,0.00
17024,15,15,24,27,10,0,27,118,0.00
17025,27,30,30,30,16,27,27,187,9.35
17026,0,15,24,24,0,0,0,63,0.00
17027,15,18,30,21,10,15,30,139,6.95
17028,0,12,12,18,8,0,0,50,0.00
17029,12,15,27,18,8,15,24,119,5.95
17030,0,12,18,0,0,0,0,30,0.00
17031,12,15,24,24,8,0,15,98,0.00
17032,12,24,27,27,10,0,12,112,0.00
17033,0,18,24,21,0,0,12,75,0.00
17034,12,12,24,21,8,12,24,113,5.65
17035,0,12,24,15,0,0,12,63,0.00
17036,0,12,24,21,8,0,12,77,0.00
17037,15,21,30,24,10,24,30,154,7.70
17038,15,21,30,24,8,18,30,146,7.30
17039,0,12,24,18,0,0,0,54,0.00
17040,15,15,30,27,8,12,30,137,6.85
17041,18,21,30,27,8,18,30,152,7.60
17042,0,0,0,0,0,0,0,0,0.00
17043,0,0,0,0,0,0,0,0,0.00
17044,18,27,30,24,10,24,30,163,8.15
17045,0,12,27,12,0,12,12,75,0.00
17046,18,24,30,27,8,21,24,152,7.60
17047,12,18,24,21,0,0,12,87,0.00
17048,27,27,30,30,16,18,30,178,8.90
17049,18,24,30,24,10,12,24,142,7.10
17050,12,15,27,27,8,12,30,131,6.55
17051,12,18,27,24,10,12,18,121,6.05
17052,18,21,30,30,12,12,30,153,7.65
17053,12,0,0,0,0,0,0,12,0.00
17054,0,12,24,18,0,0,21,75,0.00
17055,0,12,18,15,0,0,0,45,0.00
17056,12,0,27,12,10,0,24,85,0.00
17057,24,24,30,27,12,27,30,174,8.70
17058,12,12,30,15,10,15,18,112,5.60
17059,12,24,27,27,12,15,27,144,7.20
17060,18,18,30,24,10,15,30,145,7.25
17061,12,15,30,12,0,12,30,111,0.00
17062,0,15,27,18,8,12,27,107,0.00
17063,15,15,30,18,8,15,27,128,6.40
17064,15,21,30,24,10,0,27,127,0.00
17065,12,15,30,21,8,0,30,116,0.00
17066,0,0,18,12,0,0,12,42,0.00
17067,0,0,21,12,0,0,24,57,0.00
17068,21,24,30,27,12,21,30,165,8.25
17069,0,15,18,15,0,0,15,63,0.00
17070,12,18,15,18,0,0,12,75,0.00
17071,15,18,30,24,8,12,27,134,6.70
17072,15,21,30,27,8,12,24,137,6.85
17073,15,15,30,24,10,12,27,133,6.65
17074,12,15,30,18,8,12,21,116,5.80
17075,12,15,24,24,0,0,24,99,0.00
17076,0,0,12,12,0,0,0,24,0.00
17077,27,27,30,30,16,27,30,187,9.35
17078,27,24,30,30,12,18,30,171,8.55
17079,12,15,24,21,10,0,27,109,0.00
17080,0,15,24,12,10,0,15,76,0.00
17081,0,12,18,0,0,0,12,42,0.00
17082,0,12,24,12,0,0,12,60,0.00
17083,0,15,12,12,0,0,0,39,0.00
17084,0,18,27,15,0,0,21,81,0.00
17085,0,0,0,12,0,0,12,24,0.00
17086,12,15,21,24,0,0,12,84,0.00
17087,0,12,24,21,0,0,21,78,0.00
17088,12,18,27,27,8,12,30,134,6.70
17089,12,12,24,12,0,12,21,93,0.00
17090,0,15,15,21,0,0,15,66,0.00
17091,24,27,30,30,12,18,30,171,8.55
17092,12,21,30,24,10,15,30,142,7.10
17093,0,0,18,12,0,0,12,42,0.00
17094,0,0,0,0,0,0,0,0,0.00
17095,12,15,27,21,8,0,30,113,0.00
17096,12,18,30,18,0,18,27,123,0.00
17097,18,24,30,27,8,12,30,149,7.45
17098,21,24,30,24,8,21,30,158,7.90
17099,12,24,30,27,8,0,15,116,0.00
17100,0,15,27,21,8,0,18,89,0.00
17101,0,0,12,24,0,0,15,51,0.00
17102,0,18,27,24,8,15,27,119,0.00
17103,12,15,24,24,8,0,21,104,0.00
17104,12,15,15,18,0,0,0,60,0.00
17105,12,21,27,27,8,15,27,137,6.85
17106,12,12,27,24,0,0,27,102,0.00
17107,15,21,30,27,10,15,30,148,7.40
17108,24,27,30,27,10,24,30,172,8.60
17109,0,15,24,18,8,0,12,77,0.00
17110,12,27,24,27,14,12,12,128,6.40
17111,21,27,30,30,14,21,30,173,8.65
17112,0,12,24,21,0,12,12,81,0.00
17113,0,24,15,24,0,0,0,63,0.00
17114,0,18,27,27,8,0,21,101,0.00
17115,0,15,21,24,0,0,0,60,0.00
17116,0,18,27,27,8,12,15,107,0.00
17117,0,15,24,12,0,0,12,63,0.00
17118,15,21,30,27,8,12,15,128,6.40
17119,12,18,30,27,10,15,30,142,7.10
17120,0,18,24,18,0,15,12,87,0.00
17121,0,21,0,21,0,0,12,54,0.00
17122,12,18,27,24,0,0,21,102,0.00
17123,0,15,24,18,0,0,18,75,0.00
17124,18,27,27,24,8,12,21,137,6.85
17125,21,27,30,27,12,24,30,171,8.55
17126,0,12,27,15,0,0,12,66,0.00
17127,0,12,12,12,0,0,0,36,0.00
