Seat No,DSA,PYTH,LINUX,OST,DMT,DST,SS,PR101,PR102,PR103,PR104,PR105,PR106,Total
20001,40,17,40,32,19,21,60,35,12,25,35,28,25,389
20002,66,74,84,57,74,79,79,37,32,46,42,42,48,760
20003,49,65,56,46,53,55,49,31,35,49,46,41,48,623
20004,46,55,52,43,39,58,43,36,31,28,30,38,33,532
20005,35,24,41,43,9,10,52,21,33,23,35,31,38,395
20006,60,76,71,53,51,50,67,39,48,45,43,46,48,697
20007,49,74,77,59,56,69,71,33,48,49,43,40,48,716
20008,20,30,49,28,26,16,24,15,26,20,40,20,25,339
20009,48,40,42,47,30,25,64,24,15,20,35,27,31,448
20010,52,44,73,45,58,35,66,35,43,30,40,36,48,605
20011,42,46,49,27,40,44,56,35,22,38,38,38,30,505
20012,56,51,59,41,74,54,64,37,35,30,40,39,34,614
20013,40,24,33,40,22,35,53,37,37,20,33,22,48,444
20014,30,42,58,58,5,6,72,24,26,20,30,27,25,423
20015,20,13,21,42,0,0,46,5,13,13,30,22,20,245
20016,47,58,50,58,63,59,66,33,14,47,43,37,48,623
20017,31,36,54,38,17,28,51,21,29,49,38,31,33,456
20018,50,72,60,55,77,85,50,23,45,40,42,46,48,693
20019,33,29,40,45,21,21,52,27,43,20,40,20,33,424
20020,23,19,20,40,15,13,40,22,12,7,33,23,12,279
20021,45,54,47,41,35,44,44,14,26,28,38,28,20,464
20022,32,47,43,33,24,22,56,30,21,35,40,25,34,442
20023,55,85,63,50,81,73,64,33,43,49,43,34,48,721
20024,32,72,64,58,23,36,61,37,48,42,45,37,46,601
20025,28,30,30,27,49,44,50,34,28,35,42,33,32,462
20026,23,24,44,45,29,29,51,23,28,40,40,25,32,433
20027,20,17,11,29,9,5,40,21,15,7,13,13,13,213
20028,26,29,44,45,11,27,42,16,15,22,40,20,33,370
20029,48,57,57,46,45,43,63,29,20,20,43,27,20,518
20030,26,10,18,27,19,18,40,15,8,5,30,20,4,240
20031,49,64,29,47,57,40,54,24,15,20,35,20,30,484
20032,54,61,55,45,55,57,75,45,15,30,45,35,30,602
20033,24,16,19,43,20,19,40,28,29,30,38,23,22,351
20034,40,34,42,46,24,49,51,32,20,20,35,36,15,444
20035,77,68,60,48,64,55,70,42,32,40,40,38,48,682
20036,47,48,41,46,23,23,49,20,32,20,30,22,30,431
20037,64,60,57,48,70,57,67,40,35,35,35,44,30,642
20038,64,65,82,65,82,75,78,32,40,46,42,44,48,763
20039,48,46,56,57,46,41,62,20,28,38,38,41,41,562
20040,46,47,60,61,21,43,58,22,36,22,38,32,36,522
20041,54,56,67,47,47,51,51,27,15,45,32,36,35,563
20042,59,76,83,52,59,85,65,32,45,49,49,43,48,745
20043,30,43,42,42,18,28,49,37,30,38,30,23,43,453
20044,72,92,86,56,94,97,79,44,48,48,48,48,48,860
20045,50,55,51,44,22,48,60,27,33,25,38,30,35,518
20046,25,29,43,37,14,26,46,35,15,25,33,20,23,371
20047,45,51,58,45,50,63,53,35,29,38,45,33,48,593
20048,47,64,55,45,48,48,53,35,35,49,40,30,48,597
20049,14,22,13,17,12,21,51,29,20,15,20,30,32,296
20050,59,65,51,53,43,53,78,35,15,23,30,41,32,578
20051,23,31,41,45,18,23,55,22,15,40,35,25,20,393
20052,54,71,71,55,77,78,74,35,48,49,42,45,48,747
20053,40,29,53,45,18,52,60,36,15,20,42,23,20,453
20054,48,78,77,60,49,60,65,30,47,45,40,37,48,684
20055,49,80,74,58,45,56,73,32,48,49,45,36,48,693
20056,62,69,76,55,91,84,65,44,37,49,35,37,48,752
20057,47,46,54,46,46,53,60,40,20,20,45,37,20,534
20058,40,27,49,48,14,49,59,29,27,23,45,27,13,450
20059,40,40,46,50,18,30,59,26,15,20,43,27,20,434
20060,33,42,53,28,22,24,46,26,30,20,44,28,22,418
20061,82,85,91,58,84,93,94,42,43,49,46,40,48,855
20062,19,13,24,32,3,9,48,22,12,20,30,23,2,257
20063,59,55,60,50,24,42,66,44,30,45,38,25,20,558
20064,49,47,56,51,44,46,59,27,32,40,40,44,48,583
20065,77,72,62,53,65,47,71,45,20,30,43,38,27,650
20066,11,26,23,29,11,20,43,25,11,15,30,13,15,272
20067,58,51,52,52,53,63,67,40,25,35,44,36,40,616
20068,48,51,47,45,59,74,51,34,27,49,35,36,48,604
20069,53,40,40,34,47,70,50,37,28,49,33,39,31,551
