Seat No,PPWC,DLA,FDMS,CLDS,TCS,PR1,PR2,PR3,PR4,PR5
19001,0,8,7,5,6,0,10,6,4,10
19002,0,0,0,0,0,4,4,4,6,9
19003,0,0,4,0,4,0,8,4,0,10
19004,0,0,0,0,4,6,0,4,0,7
19005,5,6,8,7,4,9,10,10,8,10
19006,6,4,6,7,8,4,8,9,4,6
19007,5,9,7,5,8,10,8,6,5,10
19008,8,9,9,8,0,8,10,10,9,10
19009,9,9,9,10,7,10,10,10,7,10
19010,6,5,7,6,5,9,6,9,6,10
19011,5,4,7,8,5,9,9,10,8,10
19012,10,10,10,9,8,10,10,10,6,10
19013,4,5,4,4,4,8,10,7,4,10
19014,0,0,4,0,5,0,0,6,0,10
19015,4,4,5,0,5,6,10,4,4,9
19016,0,0,0,0,6,0,4,0,0,7
19017,7,4,5,4,5,8,10,7,5,10
19018,9,8,10,7,8,10,9,10,9,10
19019,4,4,0,0,4,4,6,6,0,10
19020,5,5,5,5,5,10,6,10,4,10
19021,10,9,10,9,8,10,10,10,10,10
19022,8,7,5,6,4,6,9,4,8,10
19023,10,10,9,10,9,10,10,10,8,10
19024,4,0,0,4,6,0,0,5,4,9
19025,0,6,8,5,8,8,10,4,0,9
19026,0,0,4,0,0,0,4,4,4,10
19027,0,0,0,0,0,0,0,0,4,8
19028,0,5,5,5,8,0,9,4,0,10
19029,0,5,8,0,8,0,4,4,4,10
19030,7,7,8,4,5,9,4,10,5,10
19031,0,0,0,0,4,0,0,5,4,7
19032,0,5,0,6,4,4,8,6,6,8
19033,0,0,0,0,4,6,4,4,0,10
19034,8,8,7,8,8,8,10,10,8,10
19035,0,4,9,5,7,6,9,4,5,10
19036,7,5,7,7,8,10,10,10,9,10
19037,10,10,10,10,8,10,10,10,10,10
19038,0,0,6,0,5,4,0,0,8,8
19039,0,0,4,0,0,0,0,6,4,10
19040,6,7,0,5,4,6,10,8,7,10
19041,0,0,0,0,0,0,0,0,0,0
19042,4,4,4,4,6,10,6,8,4,10
19043,4,0,4,5,5,4,0,4,6,10
19044,4,8,5,5,0,6,4,4,8,10
19045,6,6,8,5,5,8,10,4,8,10
19046,4,4,0,0,5,6,8,4,4,10
19047,5,4,5,0,7,6,8,4,4,10
19048,5,8,6,6,6,4,10,10,9,10
19049,0,0,4,0,0,6,7,4,4,10
19050,0,0,0,0,0,0,0,0,0,0
19051,0,0,4,0,5,5,6,4,4,10
19052,10,10,9,7,8,10,10,9,10,10
19053,9,10,10,8,7,7,10,10,10,10
19054,0,0,0,0,0,4,6,7,4,10
19055,0,0,0,0,4,4,0,4,0,10
19056,9,9,8,9,9,10,10,10,10,10
19057,9,5,4,8,4,9,10,10,8,10
19058,0,7,4,0,4,6,5,4,6,10
19059,0,0,0,0,0,0,0,0,0,0
19060,0,0,0,0,0,0,0,0,0,0
19061,9,9,9,8,9,10,10,8,7,10
19062,7,9,8,7,8,10,9,8,6,10
19063,0,0,0,0,0,6,9,0,4,4
19064,7,4,7,7,7,10,8,10,7,10
19065,0,5,0,0,0,4,6,4,4,10
19066,0,5,5,5,6,8,6,7,5,10
19067,4,4,0,6,0,8,6,4,4,10
19068,5,4,4,6,4,10,4,6,5,10
19069,9,8,7,6,9,10,10,9,8,9
19070,8,7,5,7,7,10,10,8,8,10
19071,9,8,7,5,4,10,10,9,9,10
19072,10,7,10,8,9,10,10,10,10,10
19073,10,9,8,7,7,10,10,8,10,10
19074,5,4,4,5,4,10,9,4,5,10
19075,6,6,5,5,4,10,10,7,10,10
19076,9,9,8,9,8,10,10,10,9,10
19077,6,5,4,5,5,10,7,4,6,10
19078,7,4,6,5,5,10,6,10,4,10
19079,0,4,4,0,4,9,4,4,4,10
19080,4,4,5,0,5,8,10,8,8,10
19081,10,9,8,10,8,10,9,9,10,10
19082,5,5,4,5,0,10,10,8,5,10
19083,5,0,4,6,0,8,8,9,5,10
19084,9,8,7,7,5,10,9,10,8,10
19085,4,4,0,4,4,9,6,8,4,10
19086,10,5,8,8,10,10,9,10,6,10
19087,8,10,7,7,8,10,10,10,9,10
19088,0,4,5,0,4,0,0,6,6,10
19089,0,5,0,0,0,4,10,8,4,10
19090,0,0,0,0,4,0,0,0,0,0
19091,0,4,0,0,0,6,6,6,0,10
19092,10,6,9,9,7,10,6,10,10,8
19093,6,9,8,8,4,10,10,9,8,10
19094,5,7,4,6,4,10,4,8,7,10
19095,4,6,4,5,8,10,6,7,4,5
19096,0,0,0,0,4,0,4,4,4,7
19097,9,8,9,9,9,10,10,10,8,10
19098,0,4,0,0,0,9,0,4,0,4
19099,0,0,0,0,7,9,4,4,4,10
19100,0,4,4,5,4,10,6,9,4,10
19101,0,4,4,6,0,9,6,6,6,4
19102,0,0,0,5,0,9,9,4,4,4
19103,8,7,9,7,7,10,10,10,4,10
19104,0,5,0,6,0,9,6,8,0,8
19105,8,9,8,9,7,9,8,10,6,10
19106,7,7,10,8,8,10,10,10,8,10
19107,0,0,0,0,4,0,4,4,0,7
19108,4,8,5,7,6,4,4,4,8,10
19109,0,0,0,0,0,4,0,4,4,9
19110,6,9,7,8,6,10,10,6,10,7
19111,8,6,6,6,4,10,5,8,10,7
19112,0,4,0,0,0,0,0,0,0,10
19113,5,6,4,5,4,10,4,4,10,10
19114,8,7,8,8,6,10,10,10,10,8
19115,0,5,5,5,8,5,6,8,4,10
19116,0,9,6,0,7,0,0,0,0,0
19117,0,4,0,4,0,6,9,8,6,10
19118,4,4,4,6,4,8,4,10,4,6
19119,6,8,4,8,6,6,10,8,4,10
19120,0,4,0,0,0,10,4,6,7,10
19121,9,10,9,10,8,10,10,10,10,10
19122,8,10,8,8,5,10,10,10,9,10
19123,0,0,0,0,5,0,0,0,0,9
19124,4,5,0,7,4,4,8,7,4,8
19125,5,0,4,4,4,6,6,5,0,10
19126,0,0,0,0,4,6,4,8,0,10
19127,8,10,9,9,8,10,10,10,8,10
19128,5,7,0,6,4,9,6,9,0,10
19129,0,0,0,4,0,6,0,7,0,8
19130,7,8,8,6,8,6,4,10,7,10
19131,10,10,6,10,5,10,10,9,8,10
19132,5,0,0,0,5,4,9,6,4,10
19133,4,5,0,0,5,9,10,4,4,10
19134,0,0,0,0,0,4,6,4,0,8
19135,5,4,5,5,7,6,6,7,0,10
19136,8,8,7,9,7,10,10,10,6,10
19137,9,7,9,6,6,10,6,10,5,10
19138,0,4,5,5,5,7,6,9,4,10
19139,8,10,6,8,4,10,10,10,8,10
19140,8,8,6,8,6,6,4,9,8,10
19141,0,4,0,0,0,6,4,4,5,6
19142,7,5,0,0,0,7,8,9,8,10
19143,0,0,0,0,0,8,10,4,4,10
