Seat No,PPWC,DLA,FDMS,CLDS,TCS,PR1,PR2,PR3,PR4,PR5,Total
19001,35,61,57,48,50,15,45,26,22,45,404
19002,20,30,20,30,44,20,20,20,25,35,264
19003,28,22,43,28,43,10,30,20,10,40,274
19004,14,35,29,18,40,27,15,20,15,28,241
19005,48,53,60,59,43,35,37,44,34,45,458
19006,50,43,51,55,60,20,31,35,21,25,391
19007,48,71,57,49,64,42,31,26,24,43,455
19008,66,70,74,67,19,34,46,48,37,46,507
19009,74,72,72,79,59,49,46,48,29,48,576
19010,53,49,59,53,47,36,26,35,25,38,421
19011,45,43,56,63,45,35,36,39,33,46,441
19012,84,79,81,71,68,49,41,47,25,38,583
19013,40,45,40,42,42,32,45,28,15,43,372
19014,35,23,40,29,46,10,15,27,15,48,288
19015,42,40,47,27,49,25,45,20,20,38,353
19016,21,24,23,28,53,10,20,13,15,29,236
19017,59,40,49,44,47,32,45,28,23,48,415
19018,70,61,85,56,66,48,36,37,35,46,540
19019,40,40,26,30,43,22,27,26,12,43,309
19020,48,47,49,49,45,49,27,37,20,46,417
19021,86,70,92,73,65,49,42,48,44,46,615
19022,60,56,49,51,44,27,36,22,32,43,420
19023,86,78,73,78,70,48,47,47,30,48,605
19024,44,27,35,43,50,14,8,24,20,38,303
19025,29,52,65,47,61,31,46,22,15,38,406
19026,19,32,40,33,26,13,21,20,20,46,270
19027,12,19,27,30,23,10,6,15,20,30,192
19028,40,47,48,49,69,10,36,22,15,43,379
19029,25,46,61,29,61,0,20,20,20,43,325
19030,55,59,64,44,49,36,21,37,23,48,436
19031,21,8,24,15,43,6,5,24,20,28,194
19032,33,47,28,50,42,20,31,25,25,30,331
19033,23,25,28,28,40,26,20,20,15,48,273
19034,61,60,56,62,63,31,44,39,31,48,495
19035,38,43,76,48,57,25,35,20,23,40,405
19036,58,47,55,57,60,37,46,45,35,47,487
19037,94,91,90,89,65,49,48,48,43,48,665
19038,30,29,54,32,46,20,10,12,32,30,295
19039,29,33,40,17,31,10,15,27,20,47,269
19040,50,55,28,47,44,25,46,30,28,46,399
19041,10,11,13,10,25,0,0,0,10,0,79
19042,40,42,42,41,53,47,26,31,20,46,388
19043,40,18,40,46,48,20,12,20,25,43,312
19044,41,64,47,46,25,25,22,20,34,46,370
19045,54,51,64,48,48,32,47,20,34,48,446
19046,40,43,27,34,48,25,32,20,20,45,334
19047,49,41,47,29,57,25,31,20,21,48,368
19048,48,64,51,51,51,20,44,47,36,48,460
19049,18,25,40,24,28,26,28,20,20,48,277
19050,10,2,3,5,10,0,0,0,0,0,30
19051,31,25,40,33,45,24,26,21,22,45,312
19052,78,80,70,58,66,46,41,35,38,48,560
19053,70,82,78,69,56,28,47,47,38,48,563
19054,16,18,10,13,16,20,26,29,21,45,214
19055,25,26,14,16,40,20,10,20,15,46,232
19056,75,76,65,75,76,46,46,44,37,45,585
19057,74,48,42,68,43,35,46,47,32,47,482
19058,16,57,44,28,40,25,24,20,26,48,328
19059,11,9,30,15,36,0,0,0,0,0,101
