Seat No,FMG,MA,OB,IT,FC,FMK,DT,Total,CGPA
22001,30,27,18,27,16,18,24,160,8.00
22002,0,18,18,30,16,12,12,106,0.00
22003,12,15,12,24,10,0,12,85,0.00
22004,21,18,12,27,18,18,15,129,6.45
22005,27,30,21,30,16,24,21,169,8.45
22006,27,27,0,27,16,18,21,136,0.00
22007,30,30,18,30,20,21,27,176,8.80
22008,24,15,12,24,10,0,12,97,0.00
22009,27,24,15,27,12,18,24,147,7.35
22010,12,12,12,18,10,0,12,76,0.00
22011,0,12,0,21,0,0,0,33,0.00
22012,12,0,0,21,0,0,0,33,0.00
22013,15,15,12,27,8,12,12,101,5.05
22014,21,24,0,24,8,12,15,104,0.00
22015,24,21,21,30,14,21,21,152,7.60
22016,18,15,15,24,12,12,12,108,5.40
22017,30,30,18,30,20,18,30,176,8.80
22018,15,24,12,30,12,12,12,117,5.85
22019,24,30,24,30,18,21,18,165,8.25
22020,30,30,24,27,20,30,24,185,9.25
22021,27,24,15,30,14,21,12,143,7.15
22022,30,30,24,30,20,24,24,182,9.10
22023,30,30,18,30,20,24,24,176,8.80
22024,0,0,0,27,8,0,0,35,0.00
22025,24,27,21,30,18,18,15,153,7.65
22026,30,30,18,30,18,18,15,159,7.95
22027,0,15,0,15,10,12,0,52,0.00
22028,30,30,30,30,20,30,30,200,10.00
22029,30,27,24,30,20,21,27,179,9.00
22030,30,30,30,30,20,30,30,200,10.00
22031,27,18,15,27,10,0,15,112,0.00
22032,12,18,12,24,14,12,15,107,5.35
22033,30,24,21,27,20,18,27,167,8.35
22034,18,21,0,30,8,0,15,92,0.00
22035,24,24,12,24,10,12,18,124,6.20
22036,24,27,21,30,16,24,18,160,8.00
22037,12,0,15,30,8,0,0,65,0.00
22038,24,21,15,30,10,12,15,127,6.35
22039,0,0,0,0,0,0,0,0,0.00
22040,12,15,0,24,8,0,12,71,0.00
22041,30,30,24,30,20,24,30,188,9.40
22042,30,30,24,30,18,18,27,177,8.85
22043,12,15,15,21,12,12,18,105,5.25
22044,30,30,27,30,18,24,24,183,9.15
22045,30,30,24,30,16,24,24,178,8.90
22046,18,21,12,30,12,15,21,129,6.45
22047,30,27,18,30,14,12,21,152,7.60
22048,24,18,0,21,8,0,0,71,0.00
22049,30,30,21,30,20,15,24,170,8.50
22050,27,27,21,27,14,0,15,131,0.00
22051,24,27,18,27,18,15,24,153,7.65
22052,21,24,15,27,16,12,18,133,6.65
22053,27,24,0,18,14,0,24,107,0.00
22054,24,24,0,24,8,0,21,101,0.00
22055,18,15,12,27,8,0,0,80,0.00
22056,30,27,18,27,18,12,24,156,7.80
22057,21,12,0,18,8,0,12,71,0.00
22058,30,21,15,27,18,0,24,135,0.00
22059,21,21,12,27,12,12,12,117,5.85
22060,21,18,12,27,10,0,0,88,0.00
22061,12,0,0,0,0,0,0,12,0.00
22062,30,30,21,30,16,21,24,172,8.60
22063,30,27,21,0,0,0,0,78,0.00
22064,27,24,15,21,20,0,24,131,0.00
22065,24,21,18,30,14,15,18,140,7.00
22066,30,27,15,24,18,15,30,159,7.95
22067,27,18,15,24,20,12,15,131,6.55
22068,27,24,18,27,16,15,15,142,7.10
22069,30,18,15,30,12,21,21,147,7.35
22070,30,24,15,24,10,12,18,133,6.65
22071,30,30,18,30,16,24,21,169,8.45
22072,24,21,18,30,18,24,15,150,7.50
22073,21,18,15,30,12,12,18,126,6.30
22074,27,30,21,30,18,21,24,171,8.55
22075,27,27,15,27,16,0,15,127,0.00
22076,21,15,15,30,8,18,12,119,5.95
22077,30,30,24,30,20,30,30,194,9.70
22078,30,27,15,27,16,21,18,154,7.70
22079,24,12,15,30,8,12,12,113,5.65
22080,18,15,15,24,10,12,12,106,5.30
22081,15,15,18,27,12,12,18,117,5.85
22082,30,30,24,27,20,30,30,191,9.55
22083,30,30,15,30,12,24,21,162,8.10
22084,30,21,24,30,16,21,15,157,7.85
22085,15,15,0,24,8,0,0,62,0.00
22086,27,27,15,27,14,15,24,149,7.45
22087,24,15,12,30,12,12,12,117,5.85
22088,27,15,12,30,8,12,21,125,6.25
22089,27,27,18,30,16,21,24,163,8.15
22090,30,30,24,30,20,24,30,188,9.40
22091,30,24,18,30,14,18,18,152,7.60
22092,0,0,0,27,8,12,12,59,0.00
22093,27,27,24,30,18,18,15,159,7.95
22094,15,21,0,27,12,0,21,96,0.00
