Seat No,FMG,MA,OB,IT,FC,FMK,DT
22001,10,9,6,9,8,6,8
22002,0,6,6,10,8,4,4
22003,4,5,4,8,5,0,4
22004,7,6,4,9,9,6,5
22005,9,10,7,10,8,8,7
22006,9,9,0,9,8,6,7
22007,10,10,6,10,10,7,9
22008,8,5,4,8,5,0,4
22009,9,8,5,9,6,6,8
22010,4,4,4,6,5,0,4
22011,0,4,0,7,0,0,0
22012,4,0,0,7,0,0,0
22013,5,5,4,9,4,4,4
22014,7,8,0,8,4,4,5
22015,8,7,7,10,7,7,7
22016,6,5,5,8,6,4,4
22017,10,10,6,10,10,6,10
22018,5,8,4,10,6,4,4
22019,8,10,8,10,9,7,6
22020,10,10,8,9,10,10,8
22021,9,8,5,10,7,7,4
22022,10,10,8,10,10,8,8
22023,10,10,6,10,10,8,8
22024,0,0,0,9,4,0,0
22025,8,9,7,10,9,6,5
22026,10,10,6,10,9,6,5
22027,0,5,0,5,5,4,0
22028,10,10,10,10,10,10,10
22029,10,9,8,10,10,7,9
22030,10,10,10,10,10,10,10
22031,9,6,5,9,5,0,5
22032,4,6,4,8,7,4,5
22033,10,8,7,9,10,6,9
22034,6,7,0,10,4,0,5
22035,8,8,4,8,5,4,6
22036,8,9,7,10,8,8,6
22037,4,0,5,10,4,0,0
22038,8,7,5,10,5,4,5
22039,0,0,0,0,0,0,0
22040,4,5,0,8,4,0,4
22041,10,10,8,10,10,8,10
22042,10,10,8,10,9,6,9
22043,4,5,5,7,6,4,6
22044,10,10,9,10,9,8,8
22045,10,10,8,10,8,8,8
22046,6,7,4,10,6,5,7
22047,10,9,6,10,7,4,7
22048,8,6,0,7,4,0,0
22049,10,10,7,10,10,5,8
22050,9,9,7,9,7,0,5
22051,8,9,6,9,9,5,8
22052,7,8,5,9,8,4,6
22053,9,8,0,6,7,0,8
22054,8,8,0,8,4,0,7
22055,6,5,4,9,4,0,0
22056,10,9,6,9,9,4,8
22057,7,4,0,6,4,0,4
22058,10,7,5,9,9,0,8
22059,7,7,4,9,6,4,4
22060,7,6,4,9,5,0,0
22061,4,0,0,0,0,0,0
22062,10,10,7,10,8,7,8
22063,10,9,7,0,0,0,0
22064,9,8,5,7,10,0,8
22065,8,7,6,10,7,5,6
22066,10,9,5,8,9,5,10
22067,9,6,5,8,10,4,5
22068,9,8,6,9,8,5,5
22069,10,6,5,10,6,7,7
22070,10,8,5,8,5,4,6
22071,10,10,6,10,8,8,7
22072,8,7,6,10,9,8,5
22073,7,6,5,10,6,4,6
22074,9,10,7,10,9,7,8
22075,9,9,5,9,8,0,5
22076,7,5,5,10,4,6,4
22077,10,10,8,10,10,10,10
22078,10,9,5,9,8,7,6
22079,8,4,5,10,4,4,4
22080,6,5,5,8,5,4,4
22081,5,5,6,9,6,4,6
22082,10,10,8,9,10,10,10
22083,10,10,5,10,6,8,7
22084,10,7,8,10,8,7,5
22085,5,5,0,8,4,0,0
22086,9,9,5,9,7,5,8
22087,8,5,4,10,6,4,4
22088,9,5,4,10,4,4,7
22089,9,9,6,10,8,7,8
22090,10,10,8,10,10,8,10
22091,10,8,6,10,7,6,6
22092,0,0,0,9,4,4,4
22093,9,9,8,10,9,6,5
22094,5,7,0,9,6,0,7
