Seat No,FMG,MA,OB,IT,FC,FMK,DT,Total
22001,79,76,53,70,61,54,62,455
22002,40,50,54,84,69,42,40,379
22003,44,47,43,66,45,23,44,312
22004,55,54,43,70,74,53,46,395
22005,76,84,59,80,67,64,55,485
22006,78,73,32,73,65,50,59,430
22007,91,89,54,79,79,55,74,521
22008,65,45,42,69,49,25,42,337
22009,73,61,48,70,51,53,61,417
22010,42,40,42,52,49,15,41,281
22011,25,40,21,59,25,19,29,218
22012,40,31,27,57,20,12,32,219
22013,46,47,44,70,41,40,41,329
22014,59,62,30,64,42,42,45,344
22015,69,55,56,83,55,57,56,431
22016,50,47,47,69,52,44,44,353
22017,82,82,51,83,77,51,78,504
22018,47,62,42,78,51,42,44,366
22019,67,86,64,85,74,59,52,487
22020,87,89,69,76,94,80,60,555
22021,72,64,47,78,59,57,44,421
22022,87,86,61,86,82,65,62,529
22023,90,83,54,79,92,63,63,524
22024,28,32,32,74,42,26,36,270
22025,60,74,59,80,71,53,46,443
22026,86,82,54,77,72,50,46,467
22027,33,47,34,45,45,43,18,265
22028,96,93,80,86,94,91,95,635
22029,88,72,64,83,89,59,71,526
22030,96,88,79,89,93,88,81,614
22031,72,53,45,76,48,30,48,372
22032,44,54,40,66,58,41,48,351
22033,85,60,59,75,81,51,73,484
22034,50,55,26,85,41,43,47,347
22035,67,64,43,69,49,42,50,384
22036,64,74,58,86,67,60,54,463
22037,41,28,47,82,41,29,27,295
22038,69,59,46,83,45,40,45,387
22039,33,17,21,27,21,11,17,147
22040,44,46,28,60,42,21,41,282
22041,91,93,65,88,92,64,77,570
22042,79,81,65,83,75,52,72,507
22043,43,45,46,58,53,40,50,335
22044,81,83,73,88,73,67,65,530
22045,85,86,68,85,68,68,64,524
22046,50,59,42,84,53,47,57,392
22047,84,70,50,77,56,44,56,437
22048,60,51,23,59,40,24,26,283
22049,84,94,59,81,83,45,64,510
22050,78,70,58,79,58,34,45,422
22051,61,72,50,74,73,47,64,441
22052,57,61,46,70,60,43,52,389
22053,74,62,36,54,56,27,68,377
22054,61,63,33,65,41,26,58,347
22055,54,48,44,76,40,29,39,330
22056,81,72,50,74,75,43,60,455
22057,55,40,31,53,41,23,41,284
22058,84,58,46,72,76,32,61,429
22059,58,57,40,74,51,40,44,364
22060,59,51,40,72,47,35,35,339
22061,42,29,17,29,26,16,25,184
22062,84,82,59,86,68,58,60,497
22063,82,79,57,20,21,10,16,285
22064,77,61,45,56,82,34,69,424
22065,67,55,53,84,59,48,50,416
22066,77,74,46,69,72,45,80,463
22067,73,54,49,67,78,44,47,412
22068,73,63,54,76,67,49,46,428
22069,82,54,47,77,53,58,56,427
22070,80,67,46,66,48,44,52,403
22071,81,79,52,88,65,63,55,483
22072,68,56,52,78,70,63,49,436
22073,55,51,49,79,52,43,50,379
22074,70,81,56,85,70,58,67,487
22075,71,70,49,79,60,29,49,407
22076,59,47,47,79,41,50,43,366
22077,92,89,67,82,92,78,89,589
22078,80,76,49,72,61,56,50,444
22079,63,44,45,78,40,42,40,352
22080,51,47,49,66,49,41,43,346
22081,46,46,50,75,50,44,53,364
22082,88,91,66,76,93,84,84,582
22083,83,86,48,82,52,61,59,471
22084,86,55,60,85,61,59,47,453
22085,49,45,33,66,40,17,25,275
22086,70,70,46,76,58,46,64,430
22087,62,49,44,79,54,42,43,373
22088,74,49,42,77,44,40,56,382
22089,74,76,51,82,69,56,62,470
22090,86,84,68,83,86,63,77,547
22091,78,66,52,78,55,54,53,436
22092,33,34,28,77,41,40,44,297
22093,70,73,62,89,70,52,47,463
22094,46,57,32,73,54,30,59,351
