Seat No,AFM,FAA,COM,BECO,ADVT,FC,B LAW
15001,10,10,10,10,10,10,9
15002,5,6,7,4,7,8,4
15003,10,10,8,5,9,8,7
15004,8,8,7,5,8,6,7
15005,0,0,0,0,0,0,0
15006,8,5,0,5,7,5,6
15007,10,4,7,8,8,8,6
15008,9,5,7,5,7,8,7
15009,8,7,7,7,9,9,7
15010,6,7,5,4,8,8,5
15011,4,6,6,4,7,8,4
15012,9,8,8,6,9,9,8
15013,4,7,4,4,4,8,4
15014,10,8,6,5,4,8,4
15015,5,4,4,0,4,5,0
15016,9,6,6,8,8,9,9
15017,9,8,6,6,8,9,8
15018,9,7,7,4,8,7,7
15019,10,8,8,9,8,8,8
15020,4,6,4,4,4,6,0
15021,7,5,5,8,7,8,7
15022,9,8,4,7,7,9,5
15023,0,0,4,4,7,0,4
15024,9,10,7,8,9,10,8
15025,4,4,4,0,5,5,0
15026,6,5,4,4,6,7,5
15027,8,6,6,8,8,7,5
15028,4,4,4,5,6,7,4
15029,7,4,4,0,4,0,0
15030,9,8,4,4,6,7,0
15031,5,9,4,4,6,8,4
15032,10,8,4,4,5,5,4
15033,8,8,4,7,9,7,4
15034,10,9,5,7,9,9,8
15035,4,4,4,0,4,7,0
15036,10,10,7,7,8,8,8
15037,8,8,5,6,7,7,4
15038,8,9,6,7,9,7,4
15039,9,6,6,4,7,8,6
15040,9,10,6,6,4,6,5
15041,0,4,0,0,4,8,0
15042,10,8,8,6,8,8,10
15043,5,8,6,5,7,8,5
15044,10,10,7,4,6,7,4
15045,10,5,4,4,7,8,7
15046,9,5,8,8,9,9,8
15047,7,6,4,4,7,7,5
15048,4,4,4,0,4,7,4
15049,4,4,4,4,6,5,4
15050,10,5,5,4,6,6,6
15051,10,9,7,4,9,8,8
15052,10,5,6,4,7,8,4
15053,8,9,4,4,4,7,4
15054,10,8,4,4,4,6,4
15055,4,4,4,0,0,7,0
15056,9,9,7,4,6,5,6
15057,7,9,4,4,6,6,7
15058,4,4,4,0,5,7,4
15059,4,4,4,4,6,8,4
15060,10,8,7,8,9,9,6
15061,0,0,0,0,0,0,0
15062,9,8,4,6,6,7,0
15063,8,10,4,4,5,4,5
15064,8,8,5,8,8,6,8
15065,0,0,0,0,0,0,0
15066,8,8,6,4,8,8,7
15067,0,0,0,0,0,0,0
15068,10,9,9,10,10,9,9
15069,10,8,8,8,8,9,9
15070,4,0,4,0,0,8,0
15071,8,4,5,4,4,5,5
15072,10,8,8,5,8,5,6
15073,4,7,6,5,6,8,4
15074,4,0,4,4,4,6,0
15075,5,4,5,8,8,8,5
15076,9,7,6,6,9,8,4
15077,6,4,4,5,5,7,0
15078,5,4,6,8,9,9,4
15079,7,6,7,6,9,10,5
15080,10,8,4,5,6,6,5
15081,4,0,4,4,4,0,0
15082,4,0,0,4,0,5,0
15083,10,4,5,4,4,8,4
15084,10,8,6,6,8,6,6
15085,9,10,9,8,9,8,8
15086,4,4,5,4,7,8,4
15087,4,4,4,4,6,8,5
15088,4,4,0,0,0,8,4
15089,10,7,4,4,5,5,4
15090,8,4,5,4,6,7,4
15091,8,4,6,4,7,7,6
15092,9,6,4,4,5,6,4
15093,10,9,7,8,10,8,8
15094,8,4,4,5,7,8,4
15095,6,6,4,4,8,8,4
15096,10,8,4,4,4,8,4
15097,4,0,4,4,4,6,0
15098,10,10,8,0,10,9,9
15099,8,8,4,0,5,6,4
15100,8,10,6,5,6,6,4
15101,8,8,5,4,5,7,4
15102,8,7,5,8,7,8,4
15103,6,6,4,5,4,6,4
15104,7,8,4,6,6,7,5
15105,8,8,4,7,6,9,6
15106,9,8,5,4,4,8,5
15107,9,7,5,6,8,8,8
15108,4,0,4,0,4,6,4
15109,4,4,4,4,0,5,4
15110,4,4,4,5,6,7,4
15111,6,6,4,4,5,8,4
15112,7,8,0,5,4,8,4
15113,6,8,4,4,8,6,6
15114,0,5,4,4,7,8,4
15115,8,8,4,4,5,6,6
15116,8,10,4,4,6,6,4
15117,4,4,0,4,4,6,0
15118,4,8,4,4,5,8,4
15119,8,5,4,4,7,8,4
15120,8,5,6,4,7,7,5
15121,8,10,10,8,10,10,10
15122,8,8,8,8,7,6,4
15123,8,0,4,4,5,5,4
15124,6,4,4,0,4,0,0
15125,9,8,4,6,6,8,6
15126,9,10,7,5,9,5,6
15127,10,10,10,9,10,10,10
15128,0,4,4,4,4,0,0
15129,5,5,5,5,5,8,0
15130,0,0,4,6,7,8,0
15131,8,8,5,4,7,7,4
15132,10,9,5,6,4,8,6
15133,6,4,4,4,5,6,4
15134,9,5,4,4,6,7,6
15135,9,9,5,7,7,8,4
15136,10,10,9,9,9,9,9
15137,10,9,7,8,8,10,6
15138,5,6,4,4,4,5,4
15139,0,5,4,7,4,6,4
15140,8,4,4,4,6,8,5
15141,10,9,6,8,9,7,6
15142,10,9,8,8,8,9,8
15143,10,10,7,8,6,8,6
15144,10,10,6,6,8,10,8
15145,0,0,4,0,4,6,0
15146,4,4,0,4,4,5,0
15147,10,8,8,10,9,10,8
15148,0,4,4,4,4,8,4
15149,5,4,0,5,4,7,0
15150,8,7,4,4,4,5,5
15151,4,4,4,4,5,6,7
15152,0,0,0,0,0,5,0
15153,10,9,7,9,9,10,8
15154,0,0,4,0,0,0,0
15155,6,8,4,5,4,8,0
15156,9,10,8,6,9,10,9
15157,4,4,4,0,4,6,4
15158,8,7,4,4,5,6,0
15159,7,5,6,8,7,8,6
15160,8,4,4,6,4,9,0
15161,9,8,6,6,7,8,6
15162,7,9,6,8,7,8,7
15163,10,8,7,6,8,10,4
15164,4,6,4,0,0,6,0
15165,9,7,6,5,4,8,4
15166,9,7,5,8,8,10,7
15167,9,5,4,9,7,9,0
15168,10,10,6,10,8,10,10
15169,4,4,4,4,0,5,4
15170,4,0,0,4,0,0,0
15171,4,4,4,0,4,5,4
15172,10,9,5,6,6,8,6
15173,10,10,9,8,9,10,10
15174,10,10,7,9,7,9,6
15175,9,5,4,7,7,9,4
15176,9,8,7,9,9,9,8
15177,5,4,4,4,0,5,0
15178,4,4,4,8,6,5,4
15179,10,9,8,8,8,8,8
15180,0,0,0,0,0,0,0
15181,6,4,5,5,7,7,4
15182,5,4,4,0,4,5,4
15183,8,4,4,6,8,5,4
15184,4,4,4,4,7,9,7
15185,5,4,4,4,4,8,4
15186,0,4,4,0,0,0,0
15187,9,9,7,8,6,8,7
15188,10,10,9,9,10,10,9
15189,5,4,4,4,6,8,6
15190,0,0,4,4,4,5,4
15191,9,6,4,6,6,8,4
15192,5,4,5,4,4,8,4
15193,4,4,4,5,5,6,4
15194,4,4,4,0,4,5,4
15195,10,7,7,8,9,8,8
15196,10,10,8,9,8,8,7
15197,10,10,7,8,10,8,8
15198,10,8,4,4,4,5,5
15199,9,8,5,4,7,7,4
15200,8,8,6,5,7,5,7
15201,6,9,5,8,6,7,6
15202,5,4,5,9,4,8,4
15203,6,4,4,7,4,5,4
15204,7,6,4,7,6,6,7
15205,0,0,0,0,0,0,0
15206,9,8,6,10,8,9,7
15207,8,9,6,6,6,7,4
15208,10,10,9,10,9,9,9
15209,6,4,6,9,6,5,8
15210,8,9,6,8,4,6,5
15211,4,4,0,0,0,5,0
15212,6,5,4,5,4,4,4
15213,9,9,8,10,8,8,6
15214,8,6,4,5,4,6,5
15215,10,9,8,10,8,9,6
15216,5,8,4,7,5,6,4
15217,10,8,7,8,8,7,7
15218,0,0,0,0,0,0,0
15219,5,7,8,7,8,7,6
15220,8,8,5,5,6,6,7
15221,0,4,4,4,4,5,4
15222,0,4,4,4,4,5,0
15223,9,6,8,10,7,9,8
15224,6,6,4,6,5,6,4
15225,10,7,4,8,6,6,4
15226,0,0,0,0,0,0,0
15227,10,9,8,8,9,8,9
15228,4,8,4,6,4,8,5
15229,10,9,8,7,6,8,10
15230,10,10,7,9,8,8,6
15231,0,4,4,5,4,7,4
15232,10,8,7,10,9,9,8
