Seat No,AFM,FAA,COM,BECO,ADVT,FC,B LAW,Total
15001,93,96,80,82,82,79,71,583
15002,48,51,55,44,59,61,40,358
15003,91,78,68,47,72,62,57,475
15004,63,67,55,49,66,53,58,411
15005,0,0,0,0,0,0,0,0
15006,69,48,0,45,59,48,51,320
15007,77,42,55,62,68,62,53,419
15008,71,49,58,47,57,65,57,404
15009,67,57,57,58,72,71,58,440
15010,50,55,49,40,60,67,47,368
15011,44,50,51,42,57,66,40,350
15012,73,65,61,54,71,75,69,468
15013,43,56,43,40,40,64,40,326
15014,86,68,51,46,41,62,43,397
15015,45,40,40,21,40,47,14,247
15016,71,53,54,66,60,72,71,447
15017,72,64,54,52,67,74,69,452
15018,76,56,57,40,69,57,59,414
15019,89,69,62,72,63,67,63,485
15020,43,50,40,40,40,54,24,291
15021,55,49,46,68,55,60,55,388
15022,75,64,40,56,59,71,48,413
15023,28,22,40,44,57,21,40,252
15024,75,89,59,66,72,77,62,500
15025,40,40,40,21,48,46,26,261
15026,50,48,42,42,54,56,45,337
15027,66,50,50,63,62,58,49,398
15028,40,40,40,45,54,59,40,318
15029,57,40,40,14,43,0,4,198
15030,72,61,41,40,51,59,21,345
15031,47,71,43,43,53,62,40,359
15032,83,60,44,40,45,47,40,359
15033,66,65,41,55,70,59,42,398
15034,79,73,49,56,72,72,64,465
15035,40,40,40,18,42,57,13,250
15036,84,80,57,58,67,67,61,474
15037,64,66,49,52,56,57,43,387
15038,61,75,52,55,71,59,41,414
15039,75,54,52,40,59,62,53,395
15040,72,82,53,51,43,53,45,399
15041,20,40,26,24,40,61,2,213
15042,87,69,60,54,66,67,77,480
15043,45,62,54,46,56,69,47,379
15044,86,79,56,42,52,59,41,415
15045,89,45,44,44,56,66,57,401
15046,76,47,63,61,75,76,60,458
15047,56,52,42,41,56,58,47,352
15048,40,40,41,25,40,57,40,283
15049,40,40,40,40,52,45,40,297
15050,83,46,46,42,54,53,53,377
15051,83,76,58,44,71,69,68,469
15052,77,45,52,41,56,65,43,379
15053,61,73,40,40,43,58,40,355
15054,80,63,40,40,42,50,40,355
15055,40,40,40,0,0,56,0,176
15056,73,72,57,40,53,46,53,394
15057,57,73,41,40,53,53,55,372
15058,40,40,40,16,47,56,40,279
15059,40,40,44,40,51,69,40,324
15060,92,69,57,60,75,73,53,479
15061,0,0,0,0,0,0,0,0
15062,76,68,42,52,52,57,28,375
15063,62,83,40,40,48,44,49,366
15064,67,64,45,61,69,53,64,423
15065,0,0,0,0,0,0,0,0
15066,67,65,54,43,66,67,55,417
15067,0,0,0,0,0,0,0,0
15068,79,74,72,78,92,79,78,552
15069,83,69,63,60,64,76,76,491
15070,40,14,40,24,28,60,5,211
15071,64,40,47,44,40,48,47,330
15072,87,67,62,48,65,49,54,432
15073,43,56,51,49,53,66,43,361
15074,40,26,40,40,41,52,6,245
15075,47,41,49,64,60,60,48,369
15076,70,57,50,53,74,63,44,411
15077,50,40,44,48,47,55,2,286
15078,49,40,52,67,70,75,40,393
15079,57,53,57,54,71,80,48,420
15080,83,65,40,49,50,54,45,386
15081,42,23,40,40,40,23,7,215
15082,40,13,8,40,20,48,26,195
15083,79,40,49,40,40,62,40,350
15084,92,69,52,53,67,52,52,437
15085,76,79,71,63,74,65,63,491
