Seat No,FC,BOT 1,BOT 2,BOT 3,BOT P,CHE 1,CHE 2,CHE 3,CHE P,Total,CGPA
16001,14,10,8,8,24,8,8,8,30,118,5.90
16002,16,16,14,12,24,10,12,12,30,146,7.30
16003,16,0,0,0,12,0,0,8,21,57,0.00
16004,16,14,14,10,27,12,16,14,30,153,7.65
16005,14,18,10,14,27,12,10,12,30,147,7.35
16006,10,14,14,10,27,12,14,10,30,141,7.05
16007,16,12,10,8,27,8,8,8,30,127,6.35
16008,16,10,8,8,21,8,8,8,18,105,5.25
16009,18,18,16,14,27,10,10,16,30,159,7.95
16010,16,8,8,0,24,8,12,8,30,114,0.00
16011,16,20,12,14,30,10,14,18,30,164,8.20
16012,12,0,0,0,21,0,0,8,30,71,0.00
16013,16,8,10,8,24,8,8,8,27,117,5.85
16014,10,10,0,0,18,12,8,10,30,98,0.00
16015,16,18,16,8,27,18,18,18,30,169,8.45
16016,14,10,8,8,24,12,12,16,30,134,6.70
16017,18,14,14,8,24,18,18,16,30,160,8.00
16018,10,0,0,0,15,8,8,8,27,76,0.00
16019,16,14,18,8,30,20,20,18,30,174,8.70
16020,12,14,8,8,24,14,18,18,30,146,7.30
16021,16,12,10,8,24,16,14,20,30,150,7.50
16022,14,16,16,8,12,16,18,20,30,150,7.50
16023,10,10,8,8,21,14,10,16,30,127,6.35
16024,20,20,16,14,24,18,18,20,30,180,9.00
16025,20,14,8,8,27,12,16,16,30,151,7.55
16026,14,8,8,8,24,10,12,12,27,123,6.15
16027,16,14,20,14,30,16,16,18,30,174,8.70
16028,0,0,8,0,0,8,8,0,0,24,0.00
16029,16,14,10,0,21,16,18,18,30,143,0.00
16030,12,12,8,8,24,14,12,18,30,138,6.90
16031,18,18,16,10,27,16,18,20,30,173,8.65
16032,14,10,8,8,21,14,14,18,30,137,6.85
16033,16,16,10,8,24,12,16,14,30,146,7.30
16034,16,12,10,8,24,16,18,20,30,154,7.70
16035,12,8,10,8,18,16,16,16,30,134,6.70
16036,16,8,8,8,27,14,12,0,30,123,0.00
16037,14,8,8,10,30,18,14,12,30,144,7.20
16038,18,0,0,0,30,0,0,0,27,75,0.00
16039,16,8,0,12,30,14,12,14,30,136,0.00
16040,0,0,0,0,0,0,0,0,0,0,0.00
16041,16,16,20,18,30,20,18,18,30,186,9.30
16042,20,8,8,8,30,12,20,0,27,133,0.00
16043,12,8,0,0,30,0,0,0,27,77,0.00
16044,12,8,0,0,30,12,12,12,30,116,0.00
16045,0,0,0,0,0,0,0,0,30,30,0.00
16046,20,20,20,20,30,20,20,18,30,198,9.90
16047,14,0,0,0,24,14,14,0,27,93,0.00
16048,10,0,0,8,18,12,12,0,18,78,0.00
16049,12,14,16,16,30,14,12,20,30,164,8.20
16050,12,8,8,8,30,12,12,0,30,120,0.00
16051,16,8,8,14,30,20,14,12,30,152,7.60
16052,18,8,0,8,27,12,12,14,0,99,0.00
16053,12,18,20,20,30,20,20,20,30,190,9.50
16054,10,8,0,8,24,0,12,14,24,100,0.00
