Seat No,BIOT,MEDIC,CHE1,FIB,IMMUN,MOLEC,BIOSA,PR1,PR2,PR3,Total,CGPA
26001,20,18,18,20,20,20,18,20,20,20,194,9.70
26002,20,20,20,20,20,20,20,20,20,20,200,10.00
26003,18,20,16,20,16,16,16,16,18,20,176,8.80
26004,20,20,20,20,20,20,18,20,18,20,196,9.80
26005,20,20,16,20,16,16,16,20,20,20,184,9.20
26006,18,16,16,18,18,14,16,18,20,20,174,8.70
26007,16,18,18,20,18,10,18,16,20,20,174,8.70
26008,16,16,14,16,20,10,16,16,18,20,162,8.10
26009,0,0,0,0,0,0,16,14,12,16,58,0.00
26010,0,8,10,10,8,8,12,12,16,16,100,0.00
26011,16,16,16,20,16,12,18,20,20,20,174,8.70
26012,20,18,16,20,16,16,20,20,20,20,186,9.30
26013,16,10,14,12,12,12,16,16,20,20,148,7.40
26014,10,18,14,18,16,16,20,20,18,20,170,8.50
26015,20,20,20,20,20,20,20,20,20,20,200,10.00
26016,20,20,20,20,20,20,20,20,20,20,200,10.00
26017,12,14,12,20,12,12,16,16,16,20,150,7.50
26018,10,12,10,14,12,12,12,16,18,20,136,6.80
26019,20,20,20,20,20,20,20,20,20,20,200,10.00
26020,20,20,18,20,20,20,20,20,20,20,198,9.90
26021,16,12,14,18,14,14,16,16,18,20,158,7.90
26022,20,20,20,20,20,20,20,20,20,20,200,10.00
26023,20,16,16,20,18,16,20,20,20,20,186,9.30
