Seat No,BIOT,MEDIC,CHE1,FIB,IMMUN,MOLEC,BIOSA,PR1,PR2,PR3
26001,10,9,9,10,10,10,9,10,10,10
26002,10,10,10,10,10,10,10,10,10,10
26003,9,10,8,10,8,8,8,8,9,10
26004,10,10,10,10,10,10,9,10,9,10
26005,10,10,8,10,8,8,8,10,10,10
26006,9,8,8,9,9,7,8,9,10,10
26007,8,9,9,10,9,5,9,8,10,10
26008,8,8,7,8,10,5,8,8,9,10
26009,0,0,0,0,0,0,8,7,6,8
26010,0,4,5,5,4,4,6,6,8,8
26011,8,8,8,10,8,6,9,10,10,10
26012,10,9,8,10,8,8,10,10,10,10
26013,8,5,7,6,6,6,8,8,10,10
26014,5,9,7,9,8,8,10,10,9,10
26015,10,10,10,10,10,10,10,10,10,10
26016,10,10,10,10,10,10,10,10,10,10
26017,6,7,6,10,6,6,8,8,8,10
26018,5,6,5,7,6,6,6,8,9,10
26019,10,10,10,10,10,10,10,10,10,10
26020,10,10,9,10,10,10,10,10,10,10
26021,8,6,7,9,7,7,8,8,9,10
26022,10,10,10,10,10,10,10,10,10,10
26023,10,8,8,10,9,8,10,10,10,10
