Seat No,BIOT,MEDIC,CHE1,FIB,IMMUN,MOLEC,BIOSA,PR1,PR2,PR3,Total
26001,86,74,76,92,82,81,76,80,80,94,821
26002,99,92,95,91,84,90,87,91,91,96,916
26003,74,82,68,79,67,64,68,68,72,84,726
26004,82,88,81,88,87,84,76,81,76,91,834
26005,85,80,69,80,66,62,69,78,87,87,763
26006,71,64,67,75,70,58,65,74,86,87,717
26007,62,75,75,92,70,47,76,65,79,87,728
26008,62,64,59,63,77,45,69,67,76,87,669
26009,40,43,47,39,42,30,69,58,53,66,487
26010,27,42,45,45,44,40,50,54,60,69,476
26011,61,68,61,79,67,54,72,83,83,94,722
26012,82,75,62,79,68,63,80,87,88,94,778
26013,60,48,56,53,50,53,68,65,83,80,616
26014,48,71,57,70,63,66,81,79,75,92,702
26015,78,91,79,80,84,85,88,83,92,97,857
26016,97,92,85,97,92,99,96,87,95,98,938
26017,53,56,52,87,54,52,69,62,68,92,645
26018,47,50,49,56,54,53,51,69,70,78,577
26019,96,80,87,80,88,81,92,87,79,95,865
26020,91,87,76,92,90,79,93,83,86,96,873
26021,68,53,56,73,57,55,65,65,71,78,641
26022,78,94,88,98,89,97,91,94,92,97,918
26023,77,62,67,84,76,67,78,86,92,94,783
