Seat No,POS,LAG,DS,ADC,JAVA,WET,CCW,POSPR,LAGPR,DSPR,ADCPR,JAVPR,WTPR,Total,CGPA
25001,10,16,14,12,12,12,12,8,10,10,10,6,10,142,7.10
25002,20,20,16,18,20,20,14,10,10,10,10,10,10,188,9.40
25003,0,12,0,0,0,0,8,7,6,7,8,0,4,52,0.00
25004,14,20,12,12,12,16,10,10,10,8,10,8,10,152,7.60
25005,10,16,10,10,8,14,12,10,8,8,4,4,5,119,5.95
25006,14,20,12,12,8,10,12,10,10,10,10,8,8,144,7.20
25007,10,20,12,12,14,16,14,10,9,4,10,0,8,139,0.00
25008,16,20,16,16,18,20,16,10,10,10,10,10,10,182,9.10
25009,8,16,10,8,8,12,10,10,10,9,9,8,8,126,6.30
25010,10,20,12,14,18,16,14,10,10,10,7,10,10,161,8.05
25011,10,16,10,8,8,12,12,6,5,8,6,4,4,109,5.45
25012,8,16,0,10,0,12,0,10,10,8,9,0,8,91,0.00
25013,10,16,12,12,12,14,14,10,10,6,6,4,10,136,6.80
25014,8,18,14,10,12,14,12,10,8,10,10,9,10,145,7.25
25015,8,20,14,10,10,16,12,10,10,10,10,9,10,149,7.45
25016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
25017,16,20,16,14,16,20,14,10,10,0,10,9,8,163,0.00
25018,16,20,18,18,20,20,16,10,10,10,10,10,10,188,9.40
25019,12,16,12,16,16,16,10,10,10,10,10,10,10,158,7.90
25020,12,20,10,12,14,16,16,7,10,0,9,4,9,139,0.00
25021,18,20,20,18,20,20,16,10,10,10,10,10,10,192,9.60
25022,8,12,16,14,12,16,12,10,10,9,8,6,7,140,7.00
25023,12,20,14,10,8,16,12,9,10,7,9,0,8,135,0.00
25024,14,18,12,10,0,14,12,10,6,6,6,6,8,122,0.00
25025,14,20,16,14,10,16,8,10,10,10,10,0,8,146,0.00
25026,0,0,0,0,0,0,8,7,9,4,0,0,4,32,0.00
25027,10,20,10,10,12,14,12,8,10,4,9,8,4,131,6.55
25028,10,18,10,12,0,10,10,7,10,0,9,9,10,115,0.00
25029,12,20,8,14,12,16,16,10,8,4,8,5,10,143,7.15
25030,8,16,0,10,0,12,12,6,6,4,8,0,8,90,0.00
25031,8,16,10,0,0,8,10,7,10,5,6,8,8,96,0.00
25032,12,20,10,16,20,16,12,10,10,8,10,7,10,161,8.05
25033,8,20,10,10,14,16,12,10,6,8,10,9,9,142,7.10
25034,14,20,18,16,20,20,14,10,10,10,10,10,10,182,9.10
25035,0,18,8,10,12,12,12,10,10,9,10,4,9,124,0.00
25036,8,20,10,12,12,10,10,10,10,10,10,5,8,135,6.75
25037,8,14,8,12,10,14,8,10,10,5,8,0,4,111,0.00
25038,8,16,10,12,10,12,10,9,9,4,8,0,9,117,0.00
25039,8,8,8,12,10,12,10,6,10,5,10,8,8,115,5.75
25040,8,18,8,10,0,8,8,7,9,0,6,6,7,95,0.00
25041,18,20,16,18,20,18,18,10,10,10,10,10,10,188,9.40
25042,0,8,0,8,0,10,10,9,8,0,6,0,6,65,0.00
25043,0,8,10,10,0,0,8,6,9,7,4,0,6,68,0.00
25044,8,16,10,10,0,10,8,10,10,10,9,7,8,116,0.00
25045,8,16,10,8,0,12,8,4,10,6,6,4,8,100,0.00
25046,12,20,14,18,18,16,14,10,10,10,10,10,10,172,8.60
25047,8,16,16,12,8,14,14,10,10,10,9,0,8,135,0.00
25048,10,20,16,16,18,18,16,10,10,10,10,10,9,173,8.65
25049,8,16,16,12,12,14,16,10,10,9,10,4,10,147,7.35
25050,12,20,12,16,12,16,16,10,10,10,10,7,10,161,8.05
25051,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0.00
25052,8,18,8,12,0,10,14,4,9,4,8,4,4,103,0.00
