Seat No,PP,PP PR,DS,DS PR,CN,CN PR,AM,MPPR,OS,OS PP,Total,CGPA
24001,12,8,16,16,16,16,8,16,10,16,134,6.70
24002,12,20,16,16,14,16,8,20,10,20,152,7.60
24003,18,20,20,20,20,20,16,20,18,20,192,9.60
24004,16,20,14,16,8,8,8,20,12,20,142,7.10
24005,16,12,16,16,16,12,10,16,8,20,142,7.10
24006,18,20,16,18,12,8,8,20,8,20,148,7.40
24007,18,20,18,20,18,20,16,20,20,20,190,9.50
24008,12,18,0,12,0,16,0,16,0,20,94,0.00
24009,0,16,12,8,10,10,8,16,8,16,104,0.00
24010,0,8,0,8,0,8,0,8,0,12,44,0.00
24011,20,20,18,20,16,20,10,20,16,20,180,9.00
24012,10,20,8,12,10,12,8,20,8,20,128,6.40
24013,18,18,18,18,12,20,8,20,14,20,166,8.30
24014,20,20,18,20,20,20,10,20,18,20,186,9.30
24015,10,12,16,18,12,18,0,18,8,20,132,0.00
24016,0,12,8,8,8,16,8,16,8,16,100,0.00
24017,18,16,16,14,14,20,10,20,12,20,160,8.00
24018,16,8,8,0,10,8,8,16,8,8,90,0.00
24019,0,0,0,12,8,8,0,16,8,20,72,0.00
24020,20,20,16,20,14,20,12,14,12,20,168,8.40
24021,0,10,8,8,16,12,0,16,8,20,98,0.00
24022,10,10,8,8,10,12,0,20,10,20,108,0.00
24023,10,8,8,14,10,12,0,16,8,10,96,0.00
24024,16,16,8,8,14,18,8,10,12,16,126,6.30
24025,0,0,0,0,0,0,0,0,0,0,0,0.00
24026,0,0,0,0,0,0,0,0,0,0,0,0.00
24027,12,20,10,20,16,20,14,20,10,20,162,8.10
24028,0,0,0,8,0,0,0,8,0,10,26,0.00
24029,14,18,16,8,16,20,8,20,16,16,152,7.60
24030,18,20,20,20,20,20,14,20,20,20,192,9.60
24031,0,16,8,0,10,8,0,12,8,20,82,0.00
24032,16,20,16,20,18,20,8,20,12,20,170,8.50
24033,8,16,8,8,14,20,8,18,8,20,128,6.40
24034,18,20,12,8,16,20,8,16,16,20,154,7.70
24035,14,20,12,8,16,20,0,18,12,20,140,0.00
24036,18,20,16,20,20,16,8,20,14,20,172,8.60
24037,20,18,18,18,20,20,8,20,16,20,178,8.90
24038,12,18,10,8,10,20,0,20,8,20,126,0.00
24039,14,20,12,12,14,20,8,16,14,20,150,7.50
24040,20,20,16,20,14,20,8,20,16,20,174,8.70
24041,20,20,18,20,18,20,14,20,16,20,186,9.30
24042,16,20,16,8,16,20,8,16,8,20,148,7.40
