Seat No,PP,PP PR,DS,DS PR,CN,CN PR,AM,MPPR,OS,OS PP,Total
24001,50,21,63,30,60,32,40,33,45,30,404
24002,54,41,66,30,58,30,43,44,49,38,453
24003,70,46,92,48,85,48,62,45,74,48,618
24004,60,41,57,30,43,20,42,41,51,37,422
24005,60,26,61,30,66,26,47,33,44,44,437
24006,72,46,69,36,53,20,43,38,44,45,466
24007,71,46,72,48,75,37,66,40,79,41,575
24008,50,36,28,26,30,30,26,30,21,44,321
24009,37,30,52,22,46,24,42,32,41,30,356
24010,13,20,18,20,21,21,4,21,7,25,170
24011,88,43,72,43,61,48,46,48,64,47,560
24012,49,40,44,26,47,26,40,41,44,37,394
24013,72,35,74,36,51,48,40,42,59,46,503
24014,90,44,73,48,87,48,49,47,73,48,607
24015,47,26,67,35,54,36,21,39,43,43,411
24016,27,26,41,20,41,31,40,33,40,30,329
24017,70,31,68,29,58,38,47,38,53,45,477
24018,62,20,44,10,47,21,40,33,42,22,341
24019,31,10,33,26,43,20,27,30,40,40,300
24020,80,42,66,48,55,48,50,28,50,45,512
24021,29,24,40,20,61,27,30,32,40,42,345
24022,45,23,42,20,46,26,30,43,46,41,362
24023,48,21,44,28,45,26,13,34,44,23,326
24024,65,31,42,21,59,36,40,24,50,30,398
24025,25,0,16,0,29,0,21,0,31,0,122
24026,0,0,0,0,0,0,0,0,0,0,0
24027,52,45,49,43,64,43,55,38,46,43,478
24028,29,12,20,20,27,14,9,20,14,24,189
24029,59,36,61,20,63,41,40,37,62,31,450
24030,76,48,86,48,90,48,59,40,84,48,627
24031,33,31,40,15,46,21,10,26,44,43,309
24032,66,41,69,48,70,48,43,42,52,45,524
24033,40,30,40,20,57,45,40,36,43,40,391
24034,74,46,53,20,62,38,40,31,61,37,462
24035,55,42,54,20,64,40,30,38,53,45,441
24036,73,43,61,37,79,32,41,44,57,43,510
24037,82,36,71,35,91,48,42,47,68,48,568
24038,51,36,45,20,49,42,27,42,43,41,396
24039,57,47,51,25,58,37,40,33,57,45,450
24040,77,46,69,48,56,43,40,48,62,41,530
24041,78,46,74,48,73,47,55,46,66,39,572
24042,68,45,61,20,64,48,40,34,43,45,468
24043,51,42,40,20,45,40,40,36,44,45,403
24044,61,40,65,30,79,41,40,37,52,46,491
24045,44,22,42,23,47,24,21,36,26,37,322
24046,63,47,70,42,50,48,25,46,45,43,479
24047,65,46,57,26,56,38,30,36,61,43,458
24048,45,20,55,21,52,37,41,26,57,26,380
24049,29,25,40,20,29,42,21,24,40,25,295
24050,59,36,40,25,51,26,40,35,44,41,397
24051,34,36,45,15,49,15,40,31,41,36,342
24052,31,36,36,20,37,26,17,34,22,43,302
24053,60,33,55,30,65,24,20,39,45,24,395
24054,42,20,40,20,28,27,23,34,25,36,295
24055,40,35,40,20,34,33,40,43,25,34,344
24056,62,46,64,25,68,43,55,47,55,43,508
24057,43,28,63,15,56,31,22,36,43,43,380
24058,59,45,64,45,51,37,40,34,44,27,446
24059,70,46,82,48,85,48,75,49,85,48,636
24060,43,45,45,35,41,23,28,20,41,33,354
24061,24,30,26,20,33,21,16,20,25,45,260
24062,73,48,67,42,62,48,54,49,55,47,545
24063,51,20,54,20,51,35,18,27,25,25,326
24064,40,35,62,40,53,46,43,37,54,44,454
24065,89,46,79,45,86,48,41,48,74,49,605
24066,53,40,56,43,40,37,40,43,40,40,432
24067,45,40,41,20,24,33,15,34,22,28,302
24068,63,45,59,45,54,43,29,45,61,43,487
24069,59,46,49,25,58,45,15,44,52,43,436
24070,75,48,73,48,74,45,43,49,65,44,564
24071,45,46,43,32,46,26,28,35,45,40,386
24072,82,41,89,48,90,48,51,48,77,45,619
24073,76,48,77,40,89,38,67,49,86,49,619
24074,53,30,58,35,73,32,27,45,60,43,456
24075,28,26,29,32,35,13,43,30,41,33,310
24076,75,40,80,48,82,48,57,47,75,48,600
24077,43,38,60,20,60,21,19,29,46,33,369
24078,32,30,47,30,54,31,23,28,48,40,363
24079,66,45,72,48,71,48,45,41,61,46,543
24080,51,20,42,48,55,48,30,45,51,31,421
24081,46,45,25,43,49,37,40,35,40,23,383
24082,34,26,52,20,59,21,28,34,27,25,326
24083,43,45,44,15,50,21,26,42,53,43,382
24084,45,45,60,20,68,42,40,42,48,46,456
24085,55,45,45,40,59,38,43,29,48,46,448
24086,53,41,54,27,72,41,46,46,52,37,469
24087,62,31,48,35,66,37,40,42,63,33,457
24088,77,48,62,48,61,48,46,44,52,49,535
24089,88,48,68,48,78,48,73,48,91,48,638
24090,57,45,59,45,64,48,67,37,60,40,522
24091,64,46,44,25,65,48,40,35,48,48,463
24092,41,23,43,8,51,13,26,29,10,12,256
24093,42,26,43,20,43,37,22,37,41,45,356
24094,77,41,71,38,78,40,42,46,68,45,546
24095,57,21,49,29,61,42,44,44,54,41,442
24096,82,48,89,48,79,48,63,47,57,49,610
24097,53,13,61,25,77,28,40,37,55,25,414
24098,16,11,10,10,24,8,8,21,16,11,135
24099,41,13,53,15,60,15,23,34,50,15,319
24100,40,13,50,25,46,35,14,34,41,40,338
24101,51,20,65,28,57,31,40,47,52,44,435
24102,45,11,20,15,44,15,9,34,29,43,265
24103,70,46,83,45,95,48,44,45,83,47,606
24104,59,32,67,20,70,25,40,47,53,21,434
24105,59,27,68,30,54,42,49,41,44,40,454
24106,68,47,67,48,52,45,41,39,46,47,500
24107,29,33,53,33,56,30,42,47,44,40,407
24108,29,27,64,27,51,37,67,44,42,40,428
24109,43,27,43,28,50,46,50,41,30,34,392
24110,24,41,35,28,43,31,40,34,20,40,336
24111,26,30,13,20,20,31,18,27,17,37,239
24112,21,20,41,15,46,21,14,25,40,35,278
